year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Tarro 33_11kV,01MAY2017,MW,8.02101,7.72515,7.58304,7.77689,7.42078,7.07079,6.88368,6.99878,6.70047,6.53604,6.41949,6.35209,6.34623,6.41226,6.53021,6.56937,6.73136,6.89768,7.28415,7.55274,8.16733,8.75917,9.19234,9.71193,10.35710,10.89407,11.35848,11.73911,12.03772,12.63583,13.11137,13.22416,13.30745,13.19713,13.19982,13.05476,12.76215,12.93395,12.74584,12.66596,12.36003,12.48212,12.57765,12.21544,12.46826,12.45493,12.51308,12.44539,12.37673,12.17698,11.96048,12.43840,12.62202,12.52856,12.44227,12.32213,12.70479,12.23711,12.35518,12.14331,12.19224,12.52869,12.63912,12.41656,12.14991,12.37540,12.26825,12.40111,12.56040,12.80907,13.02642,13.01883,13.08291,12.88196,12.64866,12.30994,12.09895,12.04660,11.84995,11.82712,11.37378,11.22420,11.29128,11.21537,11.09132,10.87336,10.88499,10.84954,11.49091,11.35591,11.73168,11.43283,11.54313,10.95196,10.77306,10.71425
2018,Tarro 33_11kV,02MAY2017,MW,10.44559,10.22737,9.64010,9.46790,9.44713,9.24845,9.59760,9.75848,9.12081,9.06152,8.74975,8.27428,7.98989,7.95498,8.15649,8.03285,8.91798,8.82482,9.03284,9.25681,9.93338,10.24579,10.45508,10.98367,11.80249,12.19555,12.61218,12.80796,12.98365,13.37755,13.62832,13.54037,13.66843,13.72687,13.69524,13.58680,13.34215,13.08523,12.91442,13.07651,13.13583,13.04049,12.92186,12.99208,12.98552,13.15282,13.37944,13.60461,13.14142,12.47560,12.88080,12.80850,12.90005,12.72229,12.88008,12.76612,12.56193,12.54135,12.89977,12.84858,12.91235,13.10850,13.00184,12.77064,12.85098,12.70370,12.88450,12.89033,13.09176,13.26460,13.40424,13.43843,13.12932,12.84782,12.79557,12.45561,12.30595,12.22562,12.12290,12.24532,11.85660,11.57716,11.50340,11.45030,11.37926,11.29889,11.50218,11.40172,12.26819,11.95950,11.94753,11.34544,11.52149,11.11707,11.37487,11.19306
2018,Tarro 33_11kV,03MAY2017,MW,11.13361,10.68810,10.53685,10.21731,9.94001,9.43741,9.29070,9.47745,9.07328,8.81939,8.54962,8.64243,8.55267,8.29640,8.30688,8.42081,8.36457,8.43498,8.56779,9.18033,9.33797,9.78866,10.17236,10.73350,11.38009,11.68234,11.87553,11.95878,12.04938,12.48976,12.86192,12.95693,13.02554,12.97525,12.96569,12.79331,12.65969,13.08629,13.24662,13.16751,13.09384,13.23936,13.28097,13.02247,12.63885,12.46637,12.73941,13.20530,12.82323,12.76165,12.73744,12.75885,12.93573,13.07568,12.93924,13.30257,12.98609,12.86485,12.97486,12.77999,12.60745,12.58318,12.48825,12.15090,12.07939,11.95712,12.15689,12.64506,12.56535,13.22382,13.39699,13.09368,13.01991,12.91186,12.88836,12.70051,12.45913,12.65909,12.58074,12.17412,12.02310,11.50505,11.32042,11.18011,10.99559,11.07656,10.97768,10.87441,11.59674,11.32915,11.61361,10.98777,11.07423,10.99240,10.85079,10.83918
2018,Tarro 33_11kV,04MAY2017,MW,10.54637,9.87322,10.20023,10.02303,9.67434,9.12896,9.01005,9.09113,8.61121,8.39037,8.15876,7.91056,8.00041,7.85463,7.96185,7.73701,7.74970,7.81601,8.04881,8.32547,8.76958,9.29508,9.56516,10.07794,10.74061,11.08745,11.44531,11.52709,11.84548,12.50217,12.85333,12.76481,12.17869,12.41640,12.88212,12.60956,12.71397,12.61510,12.51233,12.75053,12.78058,12.82806,12.67008,12.66014,12.71294,13.06575,12.72273,12.46857,12.39414,12.69020,12.91664,13.05383,12.74098,13.00959,13.04439,12.84595,12.41765,12.61271,12.91131,12.82353,12.84481,12.50467,12.20328,12.01968,12.00464,12.07497,12.46693,12.56890,12.67198,12.82127,12.84233,12.79913,12.75527,12.69273,12.22428,12.41700,12.44154,12.49308,12.29429,12.10777,12.13944,11.87722,11.69351,11.32507,11.36532,11.31160,11.54831,11.40239,11.98085,11.70905,12.00776,11.82839,12.22042,11.98057,11.73067,11.52378
2018,Tarro 33_11kV,05MAY2017,MW,11.48729,10.74831,10.65360,10.56147,10.29122,9.73589,9.35910,9.51085,9.09530,8.90684,8.72017,8.46400,8.25452,8.01203,8.05095,8.19375,8.08865,7.87560,7.97874,8.58784,9.27436,9.49879,9.62261,9.96568,10.64217,11.15047,11.48520,11.75020,11.71975,12.30700,12.48443,12.56244,12.57087,12.53557,12.81257,12.72919,12.19680,12.25372,12.13855,12.06939,12.28051,12.47984,12.47789,12.65879,12.58562,12.65384,12.85374,12.52711,12.33527,12.42670,12.54522,12.49718,11.95904,12.60692,12.46542,12.23892,12.19329,12.02265,11.79246,11.59996,11.76309,11.81208,11.91448,11.74957,11.59984,11.70499,11.59163,11.86679,11.69668,12.19703,12.32875,12.01738,11.74528,11.48685,11.29002,11.12994,11.25222,11.37613,11.43167,11.27575,11.14896,10.98608,10.58417,10.42596,10.22529,10.17981,10.12696,10.24774,10.85814,10.68212,10.99793,10.66778,10.75425,10.51533,10.43554,10.44659
2018,Tarro 33_11kV,06MAY2017,MW,10.29645,9.95010,9.71372,9.57779,9.31031,8.68169,8.18614,8.00273,8.35659,8.05572,7.56184,7.23928,7.05182,6.88655,6.97463,6.95892,7.27920,7.26910,7.15397,6.96203,6.55971,6.72370,6.76468,6.76186,6.88348,7.01873,7.59196,7.86455,7.92307,8.05545,8.25626,8.16192,8.09306,7.83197,8.40391,8.54045,8.74428,8.52891,8.22832,7.92903,7.85546,7.61824,7.42886,7.80012,7.65893,7.17994,7.29127,7.11639,6.82151,6.99650,6.85622,6.81043,6.60143,6.70293,6.77233,6.66064,6.62762,6.71538,6.68126,6.83864,6.81175,6.87898,7.06284,7.15412,7.23984,7.29678,7.49011,7.49494,7.69401,8.11542,8.43489,8.47773,8.46485,8.38236,8.15922,8.05917,8.00394,8.08321,7.76804,7.57732,7.56571,7.44953,7.60043,7.42640,7.27750,7.27420,7.72655,7.47096,7.24203,7.18689,7.84855,7.52034,7.76059,7.43053,6.98297,6.86464
2018,Tarro 33_11kV,07MAY2017,MW,6.78719,6.35033,6.41970,6.56215,6.26478,6.07450,5.76919,5.53588,5.74354,5.48715,5.39457,5.77043,5.73078,5.68325,5.61698,5.67386,5.90745,5.85459,5.85261,5.81469,5.89305,5.93437,5.95574,6.00859,6.25741,6.38406,6.46854,6.55836,6.41852,6.60434,6.78410,6.79524,6.85783,6.77496,7.07456,7.11880,7.18558,7.19286,7.10610,6.95906,6.87604,6.78038,6.65706,6.60026,6.42057,6.36770,6.40104,6.23201,6.03515,5.95047,5.96895,5.97685,5.93198,6.06222,6.14932,6.06762,6.10276,6.18080,6.25377,6.33717,6.56877,6.82764,6.82202,6.95351,7.05767,7.24003,7.52786,7.51421,7.91531,8.46746,8.71737,8.66082,8.70008,8.76417,8.69281,8.61273,8.58398,8.76899,8.48974,8.41252,8.81638,8.86916,8.76344,8.68389,8.65665,8.38745,8.86988,8.81800,8.59906,8.52163,9.00097,8.82484,9.31287,9.08458,8.81720,8.77703
2018,Tarro 33_11kV,08MAY2017,MW,8.62848,8.14210,8.06258,8.19269,7.93925,7.64767,7.51656,7.62346,7.43400,7.27535,7.12920,7.13214,7.06437,7.16032,7.33128,7.35809,7.66049,7.98077,8.46204,8.94653,9.06604,9.23659,9.50464,10.03694,10.74166,11.18426,12.02082,12.24098,12.60412,13.30469,13.42708,13.13452,13.15314,13.25423,13.21319,13.04197,12.87511,12.44195,12.49739,12.58063,12.82862,12.66740,12.86833,13.06494,12.75630,12.77720,12.44312,12.28448,12.34916,12.59069,12.48285,12.38291,12.49706,12.54194,12.58075,11.98818,12.00244,12.25613,12.14897,12.16403,11.83601,11.84954,11.89671,12.15336,12.10628,12.29697,12.22386,12.46402,12.40839,12.72202,12.77492,12.85533,12.94824,13.01064,12.84426,12.81621,12.73667,12.70993,12.43226,12.26065,11.99048,11.58607,11.45511,11.42437,11.32050,11.24976,11.33044,11.37563,12.06342,11.66900,11.96835,11.63289,11.76831,11.28174,11.00880,10.83713
2018,Tarro 33_11kV,09MAY2017,MW,10.92164,10.55818,10.15410,10.10445,9.90534,9.95113,9.93115,10.26513,9.77975,9.12617,8.77960,8.25758,8.29287,8.20512,8.38516,8.55038,8.67561,8.65890,8.81479,9.13398,9.66891,10.19226,10.55188,10.95742,11.37170,11.72034,12.13033,12.43082,12.56931,12.91234,13.27254,13.12718,12.94785,12.83174,12.88111,12.71777,12.66493,12.27105,12.39983,12.65107,12.66154,12.45164,12.43464,12.52591,12.47859,12.35651,12.64689,12.59221,12.25918,12.44507,12.49397,12.50794,12.87423,13.00873,12.92228,12.86272,12.73138,12.53949,12.50714,12.41515,12.19423,11.89395,11.89476,12.31532,12.15553,12.37314,12.39848,12.41051,12.72167,13.24003,13.38577,13.22880,12.81517,12.83951,12.77137,12.42145,12.45582,12.42910,12.48990,12.14612,11.83514,11.54092,11.38713,11.20340,11.10281,10.98831,10.83975,11.00605,11.83627,11.63021,11.97714,11.71491,11.90997,11.29877,11.30004,11.23776
2018,Tarro 33_11kV,10MAY2017,MW,10.83239,10.45251,10.50544,10.79256,10.58066,9.92957,10.00948,10.17567,9.71932,9.31836,8.90566,8.70098,8.66280,8.69089,8.73474,8.80649,8.84213,9.02921,9.36095,9.45843,9.47325,9.58184,10.14003,10.62585,11.42470,12.22739,12.25166,11.78829,12.00965,12.21850,12.45811,12.46948,12.74322,12.60445,12.18050,12.16810,12.12550,12.44266,12.40916,11.89496,12.00174,11.86126,11.93727,11.61228,11.39758,11.35775,11.74502,11.75250,11.56770,11.37800,11.65212,11.59845,11.58666,11.92931,12.30781,12.01305,11.99630,11.97514,12.04964,11.94536,11.50361,11.84703,11.94994,11.87334,11.96178,11.99712,12.31270,12.96441,13.60784,13.86099,14.17069,14.02640,13.81819,13.36825,12.83985,12.97417,12.97236,13.22051,12.90821,12.89879,12.54237,12.16475,12.00229,11.85165,11.75828,11.63056,11.82535,11.75534,12.25858,12.36257,12.41971,12.25054,12.43764,12.26283,12.25979,12.16920
