year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Telarah 33_11kV,01MAY2015,MW,5.16365,4.94380,4.70903,4.21674,3.89162,3.52661,3.35320,3.18726,3.00715,2.88586,2.73788,2.76628,2.66873,2.63997,2.51644,2.61527,2.64576,2.64472,2.61444,2.68095,2.80427,2.85238,2.94600,2.99478,3.23716,3.38571,3.53080,3.72691,3.74334,3.87885,4.02603,4.21729,4.27311,4.20142,4.03315,4.00784,4.04519,4.01128,3.91343,3.93349,3.85566,3.80313,3.86349,3.86331,3.86878,3.90713,3.90914,3.86157,3.81533,3.77861,3.81448,3.78288,3.73310,3.61902,3.70512,3.81264,3.79037,3.64969,3.66463,3.72813,3.73440,3.78522,3.83017,3.89713,4.07646,4.25821,4.45067,4.52292,4.70435,4.88551,5.22353,5.45282,5.51705,5.44866,5.44063,5.23359,5.09460,4.94779,4.92414,4.84164,4.69943,4.60026,4.50620,4.37378,4.27869,4.47526,4.60233,4.38457,4.32170,4.11826,3.96440,3.76804,5.26997,5.33378,5.09380,4.73834
2016,Telarah 33_11kV,02MAY2015,MW,5.22938,5.04887,4.75658,4.29058,3.88816,3.60223,3.37356,3.18530,3.06383,2.89713,2.72074,2.66099,2.67218,2.73187,2.76794,2.54786,2.54419,2.47857,2.52916,2.58178,2.64079,2.59485,2.59756,2.66222,2.81303,2.91447,2.89749,3.08042,3.14807,3.37813,3.54620,3.66691,3.97281,4.13734,4.24706,4.33518,4.20902,4.17417,4.02995,4.13384,4.22108,4.27430,4.17611,4.09441,4.27176,4.53672,4.50606,4.23332,4.23475,4.26003,4.29966,4.15444,4.10054,3.98847,3.99171,4.18571,4.26753,4.31885,4.19474,4.14125,4.14469,4.26615,4.39015,4.36703,4.51397,4.74157,4.70722,4.88469,5.23031,5.47724,5.84281,6.00217,5.95920,5.89158,5.76350,5.46597,5.39373,5.24330,5.17533,4.97297,4.82234,4.66877,4.51455,4.35603,4.27794,4.16108,4.19777,4.01474,3.94930,3.91624,3.80068,3.65848,3.80658,3.72627,3.70438,3.49100
2016,Telarah 33_11kV,03MAY2015,MW,3.30046,3.19820,3.19503,3.02580,2.93547,2.75714,2.70255,2.67875,2.66728,2.68866,2.67239,2.61097,2.61581,2.57388,2.57850,2.54281,2.53519,2.57582,2.53534,2.54169,2.57334,2.64326,2.55024,2.55276,2.60728,2.70785,2.77046,2.83896,3.04030,3.21577,3.39614,3.55202,3.70408,3.84101,4.03822,4.14449,4.25047,4.24782,4.31551,4.45908,4.48399,4.50271,4.37405,4.43588,4.40502,4.43810,4.30314,4.39788,4.46754,4.49580,4.51203,4.43735,4.45286,4.38112,4.35751,4.32052,4.39752,4.40636,4.22229,4.22438,4.19133,4.26360,4.39545,4.52191,4.64336,4.70261,4.91803,5.19692,5.48553,5.78133,6.12496,6.22842,6.24562,6.13088,6.02645,5.89512,5.83213,5.64117,5.44253,5.27710,5.17296,5.06196,4.93409,4.75250,4.70910,4.42111,4.31331,4.19872,4.06654,3.85760,3.74430,3.53891,3.74551,3.61933,3.55582,3.34847
2016,Telarah 33_11kV,04MAY2015,MW,3.17762,3.08480,3.04416,2.86668,2.80058,2.71521,2.65925,2.64257,2.57416,2.60031,2.50823,2.51515,2.51542,2.50267,2.49316,2.49238,2.50254,2.56668,2.56893,2.58134,2.72552,2.83541,2.93704,3.05856,3.21429,3.31332,3.38936,3.54753,3.46174,3.64315,3.81958,3.92042,4.04513,3.98260,3.85110,3.70630,3.71055,3.57182,3.63691,3.67395,3.81918,3.70787,3.71165,3.75517,3.76119,3.79333,3.77960,3.93419,3.95653,3.84613,3.85667,3.85181,3.83821,3.87377,3.80191,3.75435,3.79493,3.77986,3.78617,3.74525,3.67613,3.80280,3.82328,3.98718,4.19499,4.43653,4.55509,4.67478,5.00520,5.32623,5.64885,5.69814,5.66283,5.59469,5.57014,5.36722,5.24682,5.06577,4.99850,4.86650,4.68429,4.63252,4.49853,4.35406,4.38944,4.41808,4.50315,4.33309,4.15289,3.96579,3.81712,3.65119,5.19947,5.26984,5.02959,4.60261
2016,Telarah 33_11kV,05MAY2015,MW,5.08327,4.91032,4.50372,4.11488,3.76218,3.45229,3.19359,3.01796,2.94399,2.78470,2.70544,2.65684,2.60785,2.60749,2.61448,2.52425,2.61310,2.52019,2.58322,2.66126,2.66139,2.84998,2.91987,3.08491,3.17827,3.23213,3.27315,3.49404,3.56393,3.68176,3.71597,3.76869,3.68594,3.63489,3.48165,3.37924,3.25766,3.26457,3.21768,3.17582,3.23980,3.17412,3.15999,3.19754,3.22109,3.23597,3.30111,3.30783,3.23382,3.16023,3.37313,3.19465,3.24609,3.35467,3.53089,3.51329,3.43220,3.44826,3.43608,3.44352,3.48867,3.47533,3.48934,3.65875,3.77125,3.88391,3.94284,4.05423,4.42499,4.72301,5.18590,5.38773,5.44804,5.44525,5.32386,5.21287,4.99699,4.94671,4.79520,4.72410,4.60760,4.45232,4.35611,4.18346,4.13255,4.26341,4.37069,4.24435,4.02729,3.84231,3.66376,3.40228,4.94706,5.12013,4.87162,4.51160
2016,Telarah 33_11kV,06MAY2015,MW,5.03012,4.83106,4.46071,4.05672,3.74146,3.49067,3.33222,3.07308,2.92000,2.77282,2.66142,2.60259,2.59785,2.51444,2.58830,2.52727,2.55406,2.54590,2.56599,2.63108,2.75506,2.86406,2.96598,3.02562,3.24463,3.43460,3.63972,3.72152,3.62922,3.78509,3.81697,3.82713,3.88293,3.78375,3.61927,3.51258,3.51832,3.51842,3.38214,3.25816,3.21567,3.03650,3.04862,3.08025,3.08741,3.13291,3.12170,3.15452,3.08362,3.16401,3.12776,3.16040,3.20776,3.13650,3.15235,3.09316,3.15493,3.16244,3.21509,3.24836,3.20485,3.27689,3.33352,3.42269,3.61098,3.76229,3.95127,4.10003,4.47889,4.89298,5.24187,5.58140,5.61316,5.61513,5.67837,5.57024,5.42954,5.30750,5.20635,5.21464,5.11873,4.97891,4.89002,4.72016,4.60265,4.70756,4.81505,4.62905,4.47904,4.30619,4.17765,3.91791,5.40039,5.47467,5.16977,4.79328
2016,Telarah 33_11kV,07MAY2015,MW,5.32804,5.12459,4.80356,4.41385,4.12581,3.76300,3.52448,3.24697,3.13194,2.93892,2.86930,2.79550,2.74718,2.72692,2.70876,2.67354,2.70460,2.73086,2.78743,2.91218,3.10742,3.17436,3.29772,3.39356,3.67621,3.75925,3.94817,4.27064,4.11764,4.32727,4.39464,4.51523,4.47065,4.32424,4.15485,3.97692,3.84909,3.82512,3.72437,3.61209,3.54130,3.42407,3.36222,3.33382,3.29969,3.26337,3.19193,3.11993,3.10184,3.16393,3.17253,3.14515,3.12364,3.20935,3.18593,3.14168,3.18237,3.11528,3.14002,3.16057,3.13001,3.30989,3.36911,3.54099,3.67521,3.82969,4.08373,4.25002,4.63611,5.10894,5.52111,5.82953,5.86353,5.90394,5.81251,5.75515,5.69513,5.72871,5.64788,5.66006,5.44406,5.41309,5.22124,5.08649,4.93686,4.93280,5.04032,4.94667,4.83554,4.61088,4.26289,4.07922,5.55205,5.67038,5.42296,4.99400
2016,Telarah 33_11kV,08MAY2015,MW,5.52903,5.35488,4.95678,4.58131,4.22264,3.87904,3.56122,3.36621,3.18747,3.12172,2.94829,2.91042,2.88283,2.73816,2.72437,2.70389,2.80276,2.86805,2.89711,2.99708,3.16459,3.23770,3.41650,3.51509,3.76456,3.98688,4.28672,4.56901,4.53617,4.72981,4.77376,4.75609,4.76400,4.65258,4.50897,4.35362,4.19205,4.09393,3.90131,3.70376,3.61603,3.56446,3.49289,3.37201,3.31340,3.29979,3.27325,3.23230,3.18621,3.22887,3.17255,3.13080,3.18614,3.17451,3.21845,3.15203,3.16247,3.21454,3.22669,3.16131,3.15491,3.19345,3.30666,3.44500,3.65906,3.84425,3.97676,4.18691,4.56651,5.00055,5.35159,5.60951,5.71900,5.80361,5.72930,5.67811,5.59540,5.52578,5.44278,5.41173,5.29678,5.26207,5.25115,5.08216,4.98969,5.10083,5.17406,5.06836,4.94522,4.70415,4.50393,4.30950,5.73931,5.80409,5.60627,5.17086
2016,Telarah 33_11kV,09MAY2015,MW,5.71637,5.47526,5.15979,4.74845,4.37159,4.01982,3.79068,3.51040,3.34685,3.23136,3.08420,3.00722,2.84523,2.78998,2.73295,2.74491,2.82137,2.79908,2.84377,2.87044,2.95388,3.07873,3.07263,3.13294,3.22019,3.29927,3.46041,3.72441,4.03119,4.39858,4.50922,4.61774,4.80512,4.84231,4.75055,4.60945,4.54626,4.41811,4.29295,4.26413,4.12552,4.03330,3.82487,3.78736,3.76071,3.68360,3.57756,3.36720,3.27971,3.27221,3.32835,3.38951,3.33837,3.29177,3.31596,3.23467,3.30687,3.31656,3.24262,3.24055,3.39230,3.47380,3.52608,3.75419,3.90764,4.04438,4.26406,4.57706,4.99013,5.44766,5.86354,6.20020,6.17290,5.99794,5.96542,5.89250,5.75586,5.77522,5.77026,5.77357,5.58213,5.41900,5.35304,5.28643,5.15713,4.93443,4.87024,4.72219,4.60331,4.45993,4.31786,4.11987,4.27573,4.18977,4.02140,3.80039
2016,Telarah 33_11kV,10MAY2015,MW,3.56973,3.46423,3.41947,3.25204,3.17154,2.99464,2.91761,2.83206,2.84153,2.80097,2.78617,2.71112,2.74698,2.74625,2.68204,2.62906,2.63373,2.64640,2.69787,2.71467,2.84164,2.80030,2.87813,2.89486,2.97040,3.00030,3.10496,3.29787,3.59938,3.80870,3.95870,4.03474,4.17842,4.29245,4.38679,4.51970,4.51601,4.53367,4.38585,4.28355,4.18056,4.05964,3.85611,3.90184,3.80536,3.75180,3.67263,3.66457,3.53385,3.53995,3.57324,3.49709,3.39577,3.30586,3.20102,3.22887,3.18738,3.26622,3.32516,3.32737,3.40270,3.57753,3.58863,3.70624,3.93428,4.12527,4.42251,4.69958,5.17444,5.56299,6.00790,6.20686,6.32779,6.25069,6.14839,6.14457,6.02581,5.88441,5.83188,5.73466,5.59159,5.48051,5.38098,5.14247,5.05529,4.90956,4.79618,4.54632,4.37521,4.26355,3.93895,3.73875,3.95626,3.78848,3.62885,3.43725
