year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Thornton 33_11kV,01MAY2017,MW,8.52137,8.52137,8.52137,8.52137,8.20258,7.23808,6.98943,6.98943,6.98943,6.98943,6.98943,6.98943,6.98943,6.98943,6.98943,6.98943,6.98943,6.98943,6.98943,6.98943,6.98943,7.07361,7.52433,8.04264,8.59879,9.10682,9.67831,10.48572,10.53202,11.37061,11.93475,11.96821,11.96821,11.96821,11.68442,11.38899,11.01075,11.01075,11.01075,11.01075,10.15916,10.05330,9.84365,9.00009,8.86411,8.74257,8.66684,8.47009,8.42562,8.42562,8.42562,8.42562,8.85448,9.00009,8.62551,8.42562,8.62279,8.61711,8.61711,8.61711,8.61711,8.88765,8.73332,8.61711,8.65994,9.17946,9.69298,10.05330,10.66418,11.38736,11.94462,11.96821,11.96821,11.96821,11.96821,11.96821,11.67923,11.39374,11.39374,11.27036,10.91501,10.78708,10.34053,10.34053,10.03794,9.86180,9.86180,9.86180,10.05631,10.34053,9.92974,9.38308,10.15648,10.43628,10.43628,10.43628
2018,Thornton 33_11kV,02MAY2017,MW,11.18254,11.39374,10.98519,10.04943,9.69560,9.25035,8.61154,8.52137,8.36413,8.04264,7.82326,7.39184,7.08518,7.08518,7.08518,7.08518,7.08518,7.08518,7.08518,7.08518,7.08518,7.08518,7.60618,8.05611,8.67041,9.55206,10.13124,10.43628,10.43628,10.43628,10.43628,10.43628,10.86482,10.99297,10.91501,10.76846,9.95755,9.62953,9.00009,9.00009,8.79630,8.52137,8.52137,8.23862,8.12742,8.19595,8.04264,8.11462,8.19768,8.30704,8.35548,8.04264,8.23128,8.52137,8.52137,8.52137,8.52137,8.87698,9.18804,9.00009,9.00009,9.12774,9.47882,9.47882,9.47882,9.48025,9.95755,10.42851,10.53202,10.64873,11.32031,11.94885,12.25545,12.25545,12.21036,11.77672,11.77672,11.77672,11.43704,11.07145,10.81926,10.43212,10.24479,10.24479,10.04820,9.76606,9.76606,9.76606,10.14752,10.19519,9.61780,9.28733,10.04595,10.24479,10.24479,10.24479
2018,Thornton 33_11kV,03MAY2017,MW,10.57474,11.07469,10.95299,10.24479,9.58180,8.85966,8.53867,8.23413,8.10059,7.65965,7.65965,7.49259,7.18093,7.04413,6.70220,6.70220,6.70220,6.70220,6.70220,6.70220,7.10606,7.41029,7.75540,7.90498,8.36614,8.71286,9.08795,10.11803,10.14904,10.14904,10.18610,10.62777,10.62777,10.51476,10.14904,9.73604,9.92798,10.14904,10.14904,10.14904,10.14904,10.14904,9.70967,8.99166,8.90067,9.09584,9.09584,9.09584,9.43594,9.76606,9.76606,9.76606,9.76606,9.76606,9.76606,9.76606,9.38796,9.28733,9.28733,9.28733,9.28733,9.56910,9.76606,9.76606,9.76606,9.76606,10.28379,10.76993,11.65528,11.69522,12.61378,12.63843,12.86063,13.11716,13.01164,12.63843,12.22653,11.68097,11.68097,11.68097,11.68097,11.49930,10.78439,10.59932,10.24479,10.24479,10.24479,10.24479,10.24479,10.24479,10.10252,9.76606,10.19935,10.24479,10.24479,10.24479
2018,Thornton 33_11kV,04MAY2017,MW,11.06641,11.29799,11.03169,10.38146,9.80132,9.54535,9.01174,8.59810,8.32987,8.26962,7.75670,7.37242,7.09674,6.89369,6.89369,6.89369,6.89369,6.89369,6.89369,6.89369,6.90466,7.37242,7.75269,7.91010,8.65099,9.22498,9.80506,9.95755,9.95755,10.36487,10.43628,10.43628,10.43628,10.43628,10.43628,9.96210,9.95755,9.95755,9.62222,9.00009,9.43261,9.63944,10.24479,10.24479,9.87850,9.76606,9.76606,9.76606,8.66014,8.23413,8.63633,9.05436,9.99074,10.34053,10.34053,9.94374,9.86180,9.86180,9.86180,9.86180,9.86180,9.86180,9.86180,9.86180,9.86180,9.86180,9.86180,10.33387,10.79585,11.58858,11.77672,11.77672,11.77672,11.77672,11.77672,11.77672,11.77672,11.77672,11.77672,11.77672,11.68175,11.05254,10.34053,10.34053,10.34053,10.34053,10.34053,10.25805,10.17678,10.43628,10.11699,9.86180,10.46205,10.62777,10.62777,10.26290
2018,Thornton 33_11kV,05MAY2017,MW,10.46702,10.53202,10.53202,10.10703,10.05330,9.55134,8.61711,8.61711,8.61711,8.37458,7.43790,7.18093,7.18093,7.18093,7.18093,7.18093,7.18093,7.18093,7.18093,7.18093,7.18093,7.22845,8.17694,8.98971,9.00009,9.18897,10.04662,10.53202,10.53202,10.88515,11.01075,11.01075,11.01075,10.82231,10.53202,10.49930,9.55647,9.00009,9.00009,9.00009,9.00009,8.78324,8.76053,8.42562,8.42562,7.74796,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.66276,7.94689,8.46350,8.90435,8.90435,8.90435,9.42715,9.47882,9.47882,10.34381,10.91501,10.91501,10.91501,10.91501,10.91501,10.91501,10.91501,10.91501,10.91501,10.91501,10.91501,10.91501,10.91024,10.43628,10.43628,10.43628,10.43628,10.43628,10.76738,10.70630,10.34302,9.32939,10.57642,10.91501,10.91501,10.91501
2018,Thornton 33_11kV,06MAY2017,MW,10.91501,10.91501,10.91501,10.91250,9.56116,9.38308,8.60314,7.94689,7.94689,7.94689,7.94689,7.79174,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.78054,7.94689,8.75159,9.38308,9.38308,9.38308,9.38308,9.38308,9.38308,9.38308,9.38308,9.36940,8.91303,9.24376,8.87280,7.76528,7.46816,7.46816,7.46816,7.83287,7.39910,7.37242,7.37242,7.37242,7.37242,7.37242,7.37242,7.37242,7.12736,6.89369,6.89369,7.27985,7.37242,7.37242,7.37242,7.37242,7.37242,7.58221,7.85115,8.10180,8.83896,9.35469,9.53646,10.79625,10.91501,10.91501,10.91501,10.91501,10.91501,10.91501,10.91501,10.46043,9.89372,9.47882,9.47882,9.47882,9.47882,9.47882,9.36289,9.44247,9.57457,9.57457,9.46397,9.09584,8.33051,8.13838,8.13838,8.13838,8.13838
2018,Thornton 33_11kV,07MAY2017,MW,8.13838,8.13838,8.13838,8.13838,8.13838,7.61259,7.42302,7.08518,7.08518,7.08518,6.69205,6.17371,6.12772,6.12772,6.12772,6.12772,6.12772,6.12772,6.12772,6.12772,6.12772,6.12772,6.12772,6.12772,6.12772,6.54077,6.60645,6.60645,6.60645,6.60645,6.87846,7.08518,7.38691,8.13838,8.13838,8.13838,8.13838,8.13838,7.97480,7.65965,7.65965,7.65965,7.46388,6.99554,6.47000,6.22347,6.22347,6.22347,6.22347,6.22347,6.22347,6.22347,6.22347,6.22347,6.22347,6.22347,6.22347,6.22347,6.22347,6.22347,6.22347,6.45423,6.93453,7.52762,7.75540,7.89564,8.49212,9.69236,9.76606,10.65850,11.20224,11.49425,11.68097,11.68097,11.60962,11.20224,11.20224,11.20224,11.20224,11.20224,11.20224,10.83756,10.72352,10.61176,9.76606,9.69213,9.66340,9.76606,9.76606,9.45636,9.19158,8.97939,8.71286,8.71286,8.71286,8.36469
2018,Thornton 33_11kV,08MAY2017,MW,8.23413,7.81492,7.75540,7.75540,7.75540,7.75540,7.75540,7.75540,7.75540,6.91751,6.79794,6.79794,6.79794,6.79794,6.79794,6.79794,6.79794,6.79794,6.79794,6.79794,6.85032,7.58235,7.75540,8.36641,9.02404,9.28733,10.25167,10.91501,10.91501,11.22260,11.48948,11.62738,11.98212,12.40766,11.75642,11.40225,10.62777,10.62777,10.62777,10.62777,10.53892,9.68729,9.44122,9.19158,9.19158,9.19158,9.19158,9.19158,9.12931,8.60159,8.71286,8.82699,9.19158,9.19158,9.19158,9.19158,9.19158,9.19158,9.19158,9.19158,9.19158,9.19158,9.19158,9.19158,9.19158,9.22436,9.90311,10.23293,10.99067,11.97077,12.44785,12.92016,13.21290,12.81512,12.73417,12.73417,12.35459,12.13502,11.77672,11.77672,11.77672,11.39707,11.11314,10.55816,10.34053,10.34053,10.34053,10.71727,10.81926,10.81926,10.49193,9.74483,10.43752,10.81926,10.81926,10.81926
2018,Thornton 33_11kV,09MAY2017,MW,10.81926,10.81926,10.81926,10.81926,10.13895,9.38308,9.21504,8.90435,8.37390,7.94689,7.94689,7.47618,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,7.49375,7.94689,8.28023,9.22914,10.18810,10.81926,10.81926,10.81926,11.20163,11.29799,11.29799,11.14084,10.81926,10.81926,10.60064,10.28121,9.54613,9.38308,9.06596,8.90435,8.90435,8.90435,8.90435,8.90435,8.90435,8.90435,8.90435,8.90435,8.90435,8.90435,8.90435,8.90435,8.90435,9.05321,9.00009,9.00009,9.00009,9.00009,9.00009,9.00009,9.00009,9.00009,9.00009,9.00009,9.14462,10.13829,10.62777,11.08097,11.89355,12.73417,12.73417,12.73417,12.73417,12.73417,12.73417,12.43775,12.25545,12.25545,11.82826,11.77672,11.77672,11.77672,11.23635,10.81926,10.81926,10.81926,10.81926,11.05988,11.16611,10.81926,10.34686,11.07381,11.29799,11.01045,10.81926
2018,Thornton 33_11kV,10MAY2017,MW,11.34294,11.48948,11.15642,10.85463,10.22328,9.57051,8.93164,8.61711,8.61711,8.33501,8.13838,7.90923,7.65965,7.25926,7.18093,7.18093,7.18093,7.18093,7.18093,7.18093,7.18093,7.41733,7.77409,8.52657,9.57457,10.19583,11.00037,11.48948,11.48948,11.48948,11.48948,11.48948,11.48948,11.22631,10.60634,9.90342,9.50699,8.90435,8.90435,8.90435,8.74539,8.32638,7.94689,7.94689,7.94689,7.94689,7.65544,7.46816,7.46816,7.46816,7.46816,7.76206,8.38118,7.66497,7.46816,7.46816,7.46816,7.46816,7.46816,7.46816,8.11363,8.00975,7.94689,8.10228,8.83819,8.90435,10.05117,10.55546,10.72352,11.66380,12.25545,12.56147,12.73417,12.73417,12.73417,12.50430,12.25545,12.25545,12.25545,12.25545,12.00795,11.91276,10.89437,10.81926,10.81926,10.81926,10.81926,10.81926,11.19304,11.05229,10.81926,10.13415,10.54315,10.98359,10.89849,10.81926
