year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Tomago 33_11kV,01MAY2014,MW,4.61248,4.49996,4.44705,4.47150,4.49651,4.17338,3.66511,4.05697,4.07204,3.98002,3.86811,3.84236,3.71273,3.67074,3.86872,3.81570,3.68556,3.76139,3.87768,3.93463,4.26419,4.63551,5.07841,5.60249,6.30340,6.64782,7.17185,7.67283,8.46090,8.85876,9.12209,9.20052,9.12353,9.13675,9.34472,9.26976,8.84200,9.12541,9.09998,9.09050,9.36067,9.41114,9.30774,9.43690,9.42409,9.48525,9.44226,9.49220,9.29543,8.97678,9.00489,8.90508,9.21146,9.28250,9.27481,9.31054,8.99029,8.82369,8.63762,8.56979,7.96660,7.53116,7.27565,7.03601,6.71445,6.61900,6.29787,6.05531,5.99492,5.91077,6.03589,6.08589,6.27438,5.98968,5.73150,5.74156,5.76254,5.62166,5.35687,5.15336,4.88606,4.71308,4.63848,4.68080,4.43538,4.17096,4.30683,4.28063,4.68582,4.89233,5.02798,4.85550,4.85299,4.73687,5.06914,5.01924
2015,Tomago 33_11kV,02MAY2014,MW,4.81670,4.83057,4.70084,4.67828,4.59899,4.38798,4.20267,4.06482,4.08166,3.80171,3.53532,3.82493,3.82397,3.84153,3.82852,3.83114,3.73505,3.76855,3.97880,4.23213,4.59143,4.84186,5.38069,5.95002,6.59765,7.03594,7.20836,7.57995,7.93366,8.40562,8.71350,9.02267,8.91081,9.10047,9.11139,8.83706,8.55801,8.87551,8.95644,8.87174,9.05198,9.06223,8.98513,8.85639,9.08069,8.59878,8.39116,8.45457,8.34884,7.93484,7.71878,7.60013,7.43819,7.61087,7.51204,7.68734,7.58201,7.55336,7.18372,6.99956,6.53987,6.48959,6.69964,6.71992,6.34080,5.81441,5.37548,5.27293,5.31341,5.54661,5.84737,5.92754,5.96310,5.67778,5.69874,5.53587,5.41427,5.41373,5.28406,5.13139,5.15072,5.18034,5.19760,5.02154,5.01060,5.01842,5.07069,4.92322,4.76711,4.67890,4.38442,4.26731,4.44327,4.38392,4.32222,4.34128
2015,Tomago 33_11kV,03MAY2014,MW,4.26327,4.18153,4.19168,4.24194,4.12583,4.07606,4.16284,3.85119,3.80346,3.91330,3.90904,3.74015,3.64692,3.43044,3.56446,3.60592,3.57569,3.56868,3.60007,3.63730,3.82938,4.06085,4.30871,4.60296,4.75130,4.78281,4.97080,4.99388,5.13779,5.20659,5.16760,4.99012,5.02488,5.08648,5.13727,5.12533,5.04509,5.05345,5.09700,4.92011,4.99377,5.00258,4.96782,4.96083,4.71949,4.65325,4.67762,4.53132,4.05615,3.78064,3.51458,3.19596,2.92400,2.72999,2.62099,2.37501,2.44907,2.43733,2.45917,2.36185,2.43677,2.32659,2.28718,2.32343,2.54018,2.46148,2.38766,2.42649,2.56432,2.66511,2.71337,2.79750,2.85765,2.83217,2.69628,2.66067,2.81393,2.78618,2.73974,2.72227,2.66971,2.59339,2.57028,2.57451,2.57507,2.58820,2.65526,2.65662,2.53969,2.43699,2.39922,2.37385,2.54476,2.50622,2.45078,2.35919
2015,Tomago 33_11kV,04MAY2014,MW,2.37654,2.33649,2.32736,2.26509,2.25879,2.24727,2.30629,2.25738,2.28783,2.23291,2.13454,2.16124,2.26434,2.15493,2.18272,2.15164,2.14508,2.14431,2.21999,2.19323,2.27466,2.34005,2.45822,2.35278,2.34281,2.28421,2.27569,2.33668,2.38050,2.30511,2.24322,2.28128,2.45748,2.39599,2.40316,2.40850,2.45812,2.41509,2.39197,2.37799,2.31601,2.23890,2.23894,2.13315,2.20456,2.14276,2.32263,2.17204,2.22093,2.20449,2.02064,2.00697,2.16454,2.15069,2.19990,2.31216,2.34857,2.35071,2.37849,2.30362,2.33267,2.34180,2.34565,2.30034,2.31027,2.35590,2.37251,2.45259,2.59832,2.73988,2.92984,3.02266,3.05747,2.93330,2.90811,2.87392,2.81797,2.69505,2.77731,2.72803,2.77507,2.71612,2.65258,2.60762,2.61164,2.64930,2.64579,2.62693,2.61807,2.59598,2.50253,2.45737,2.55005,2.50614,2.47105,2.37825
2015,Tomago 33_11kV,05MAY2014,MW,2.30497,2.19921,2.29368,2.29368,2.27947,2.21971,2.22860,2.20315,2.23231,2.20553,2.22459,2.17638,2.17638,2.29722,2.37434,2.35019,2.38073,2.35245,2.42630,2.51468,3.08106,3.64996,3.86722,4.49009,5.15226,5.63534,6.35263,7.42695,8.11478,8.71214,8.83654,8.82568,8.59031,8.51243,8.25226,8.46614,8.20242,8.09463,7.93936,8.04989,7.91538,8.08042,8.48139,8.82395,8.94347,8.75660,8.76047,8.87836,8.95022,8.80357,8.80271,8.82302,9.14768,9.31733,9.22171,9.17133,9.18731,9.11920,8.92401,8.61993,8.13700,8.03478,7.53927,7.33082,7.19824,6.79180,6.67548,6.53817,6.29373,6.30867,6.53206,6.59655,6.69736,6.87276,6.44023,6.46146,6.27144,6.29421,6.31046,6.28204,6.25162,6.17128,5.98488,5.59900,5.24998,5.12432,4.92365,4.78680,4.62394,4.46411,4.16982,4.01929,4.08444,4.08537,3.96575,3.95873
2015,Tomago 33_11kV,06MAY2014,MW,3.97071,4.05138,3.83620,3.54438,3.25094,3.20894,3.01599,2.94172,3.08033,3.24228,3.08559,3.01851,2.97351,2.93722,2.96663,3.00809,2.88751,2.87384,2.91359,3.07018,3.40900,3.79919,4.46764,5.00990,5.68365,6.14860,6.56821,7.04607,7.93685,8.24889,8.69255,8.63167,8.57073,8.81415,8.68175,8.58979,8.16397,8.22658,8.37000,8.36170,8.39632,8.29767,8.01556,8.46172,8.65860,8.58451,8.59817,8.43169,9.04186,8.95998,9.09568,8.89228,9.27475,9.36691,9.32336,9.36998,9.47117,9.22374,9.14859,8.86192,8.36387,7.85127,7.59263,7.34575,7.20521,7.04928,6.85978,6.76577,6.45028,6.52571,6.83011,6.80224,6.73198,6.61671,6.33147,6.26569,6.15382,5.99307,5.91537,6.09813,6.04311,5.94504,5.62831,5.62843,5.60740,5.65034,5.66981,4.93415,4.65287,4.43906,4.34102,4.22379,4.38383,4.47997,4.46327,4.42107
2015,Tomago 33_11kV,07MAY2014,MW,4.13497,4.03987,3.80972,3.70205,3.56971,3.48274,3.52576,3.44272,3.30538,3.16365,3.00176,2.87973,2.87349,2.80376,2.87098,2.93037,2.89356,2.91980,3.04554,3.19530,3.56281,3.85146,4.32597,4.84927,5.48398,5.99593,6.48181,6.77586,7.44146,8.03237,8.31712,8.46799,8.39859,8.61495,9.43157,9.23779,8.70097,8.94398,9.19193,9.09073,9.10965,8.60788,8.59102,9.34237,9.58137,9.59177,9.50354,9.02017,8.10656,8.01613,8.03275,8.42316,8.50864,8.50178,8.84955,8.90734,8.74223,8.42183,8.34456,8.09499,7.53731,7.26839,7.13779,6.82301,6.60652,6.57460,6.36797,6.16523,6.05961,6.29088,6.44954,6.22483,6.17431,6.14508,5.49586,5.06474,5.49808,5.88494,5.92858,5.73430,5.77403,5.68255,5.52687,5.55243,5.65062,5.59380,4.86580,4.62624,4.52691,4.38517,4.33942,4.24866,4.33617,4.18118,4.23374,4.07610
2015,Tomago 33_11kV,08MAY2014,MW,4.02397,3.76618,3.64190,3.45019,3.43981,3.38352,3.30096,3.23687,3.19809,2.99599,2.89982,2.88252,2.76851,2.72751,2.64037,2.61724,2.80704,2.95365,3.04582,3.14602,3.40810,3.73448,4.04764,4.64621,5.32205,5.90376,6.08637,6.97439,7.47380,7.94607,8.08792,8.16933,9.05821,8.85104,9.05078,9.50077,8.90811,8.80449,8.69452,8.97188,8.95944,8.67840,8.38709,8.42806,8.38783,8.45858,8.97007,9.19389,8.91377,9.00306,8.72640,8.28370,8.95831,9.05704,9.14478,9.12674,9.15586,9.10819,8.93488,8.47122,7.92952,7.57075,7.32122,7.09906,6.40415,5.83679,6.15777,6.18605,6.02160,6.07107,6.18371,6.14708,6.06400,6.09868,5.78555,5.34930,5.22601,5.12787,5.20255,5.22025,5.13711,5.96855,5.93627,5.92438,5.88408,5.86023,6.15689,5.20713,4.80460,4.48943,4.52229,4.44191,4.50871,4.44736,4.29485,4.18061
2015,Tomago 33_11kV,09MAY2014,MW,3.92398,3.84863,3.88305,3.97380,3.74813,3.58769,3.60858,3.62088,3.41368,3.45057,3.35140,3.07743,2.99950,3.05640,3.06544,3.08013,2.96155,3.04994,3.18866,3.26570,3.61202,4.04279,4.49727,5.11271,5.74194,6.53424,7.39452,7.89532,8.43779,8.40236,8.55036,8.66254,8.58136,8.79232,8.50401,8.74971,8.70314,8.74114,8.74715,8.63157,8.75528,8.82095,8.70690,8.83818,8.68986,8.56046,8.56998,8.68442,8.53468,8.19251,8.01522,8.03565,7.93994,7.91308,8.04958,8.20384,7.73189,7.05023,6.86556,7.24375,6.73537,6.20233,6.60792,6.35491,5.74727,5.19428,5.74097,5.62452,5.03720,4.92991,4.72976,4.83235,4.71612,4.54774,4.67806,4.63673,4.59129,4.39268,4.28743,4.14443,4.06623,4.14834,4.18876,4.05805,4.02703,4.12901,4.18541,3.97288,3.68956,3.47613,3.50347,3.25662,3.37884,3.38509,3.30999,3.23615
2015,Tomago 33_11kV,10MAY2014,MW,3.09487,3.04904,2.99085,2.90362,2.91681,2.75589,2.72817,2.77116,2.76401,2.71281,2.68716,2.65131,2.48362,2.38489,2.39253,2.44879,2.40326,2.42731,2.45628,2.59707,2.83022,3.07682,3.29813,3.57652,3.78444,3.90960,4.24429,4.31127,4.29500,4.48942,4.39490,4.40172,4.20418,4.20579,4.17527,4.28307,4.19149,4.13885,4.01400,3.95754,3.86195,3.98731,4.09968,3.95919,3.70361,3.73970,3.54239,3.60795,3.38565,3.27198,3.17678,3.06685,3.00585,2.90741,2.85272,2.87251,2.88982,2.84661,2.77810,2.72854,2.64302,2.67488,2.44248,2.46226,2.38623,2.38623,2.34662,2.40922,2.47204,2.69450,2.76881,2.81917,2.89401,2.81312,2.64422,2.61219,2.58431,2.59689,2.59778,2.52571,2.57518,2.51461,2.49551,2.51727,2.61522,2.53252,2.66042,2.57225,2.44890,2.40517,2.40658,2.35625,2.47766,2.42563,2.34200,2.37274
