year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Tomalpin 33_11kV,01MAY2017,MW,,,,,,,,,,,,,,,,,0.02335,0.00826,0.31175,0.33505,0.29772,0.48187,0.17602,0.42662,0.27543,0.34418,0.50663,0.58339,0.57627,0.33033,0.34656,0.56924,0.39336,0.18560,0.19197,0.39983,0.30441,0.36171,0.43336,0.34270,0.45378,0.33677,0.33934,0.31454,0.35547,0.40086,0.39371,0.16931,0.08691,0.12609,0.19245,0.22357,0.17753,0.26933,0.40061,0.43231,0.38906,0.56166,0.46156,0.28315,0.32910,0.29101,0.30852,0.36844,0.36242,0.34040,0.35760,0.26825,0.15011,0.44066,0.48674,0.42486,0.38888,0.44347,0.41614,0.01331,,,0.39726,0.37255,0.40229,0.38053,0.39514,0.43553,0.42225,0.35941,0.35941,0.41349,0.50451,0.48674,0.50820,0.33811,0.59334,0.49898,0.17829,0.08144
2018,Tomalpin 33_11kV,02MAY2017,MW,0.04763,0.02945,0.03234,0.03225,0.02660,0.02285,0.04037,0.01786,0.01142,0.02594,0.02718,0.01142,0.01142,0.03297,0.02408,0.01169,0.03927,,0.17580,0.50331,0.57612,0.46949,0.48555,0.66307,0.63968,0.67105,0.41207,0.11707,0.34592,0.47287,0.28352,0.38388,0.34472,0.42169,0.52155,0.30224,0.16749,0.11944,0.39455,0.23996,0.27146,0.18605,0.48793,0.38763,0.60284,0.56903,0.57444,0.62054,0.58532,0.49714,0.57053,0.64410,0.61699,0.27110,0.41595,0.38829,0.42335,0.25860,0.24778,0.27500,0.38440,0.40873,0.32314,0.28842,0.30054,0.33873,0.40827,0.32084,0.41636,0.34585,0.37071,0.27444,0.51796,0.52608,0.60946,0.46400,0.46110,0.50954,0.65149,0.60726,0.51609,0.43101,0.52699,0.56930,0.65582,0.64645,0.52818,0.58973,0.43703,0.43765,0.73630,0.45819,0.08661,0.07751,0.02398,0.02592
2018,Tomalpin 33_11kV,03MAY2017,MW,0.03562,0.01819,0.01407,0.03470,0.01988,0.02219,0.02856,0.02481,0.02280,0.02856,0.02506,0.02198,0.02703,0.02587,0.01784,0.02654,0.03943,0.01714,0.07991,0.31923,0.38696,0.48431,0.45701,0.43670,0.47702,0.31435,0.41821,0.57715,0.58133,0.47906,0.38647,0.30055,0.31613,0.35088,0.58696,0.10039,0.66773,0.56122,0.33465,0.57047,0.61465,0.70137,0.16733,0.35749,0.46297,0.49133,0.44439,0.47325,0.39918,0.45697,0.44349,0.54554,0.59271,0.58589,0.40297,0.50520,0.51111,0.48250,0.27512,0.25959,0.47503,0.41912,0.09313,0.35218,0.50388,0.20006,0.48818,0.49453,0.49490,0.27239,0.43366,0.38112,0.34762,0.05173,0.44152,0.33316,0.44637,0.33691,0.06009,0.08571,0.09819,0.07211,0.07036,0.06305,0.05316,0.05876,0.11408,0.21573,0.37642,0.47706,0.20828,0.47077,0.10010,0.07001,0.02900,0.04527
2018,Tomalpin 33_11kV,04MAY2017,MW,0.02265,0.01256,0.04698,0.01142,0.01792,0.03999,0.01495,0.02163,0.03474,0.01651,0.01716,0.03405,0.00571,0.01917,0.03306,0.01142,0.02645,0.02837,0.12513,0.22845,0.27420,0.29107,0.51698,0.41202,0.40830,0.37765,0.41303,0.52734,0.28437,0.36672,0.33169,0.43249,0.60977,0.62256,0.59364,0.54750,0.44199,0.39465,0.43134,0.40543,0.28741,0.42687,0.33743,0.34998,0.16225,0.24217,0.38771,0.41816,0.40493,0.38081,0.34055,0.44244,0.43035,0.30416,0.39919,0.61682,0.54573,0.37919,0.46595,0.45429,0.48711,0.56200,0.70556,0.10967,0.09975,0.14250,0.32617,0.29906,0.28961,0.28137,0.33113,0.36966,0.40859,0.23906,0.26358,0.20334,0.09283,0.09118,0.09292,0.11577,0.35661,0.41379,0.55338,0.44328,0.40999,0.42439,0.38648,0.52737,0.61650,0.57689,0.61628,0.58681,0.60805,0.50502,0.28922,0.31100
2018,Tomalpin 33_11kV,05MAY2017,MW,0.34615,0.29128,0.09758,0.05471,0.03831,0.04383,0.05712,0.03666,0.02856,0.02856,0.00781,,,,0.00982,0.02669,0.01142,0.01142,0.16806,0.52308,0.29011,0.39158,0.16773,0.17753,0.04686,0.11292,0.09092,0.09313,0.40156,0.73220,0.68091,0.41192,0.48553,0.29670,0.46940,0.53718,0.35325,,0.21234,0.32339,0.34852,0.56596,0.37058,0.28907,0.39406,0.44323,0.33608,0.33388,0.33334,0.34889,0.25087,0.18640,0.24313,0.30660,0.19356,0.47502,0.26800,0.39648,0.41364,0.52344,0.53532,0.54999,0.30133,0.33531,0.49807,0.43091,0.58679,0.59587,0.56775,0.64109,0.66145,0.20958,0.07079,0.03427,0.04036,0.03707,0.03427,0.03427,0.03427,0.03427,0.03427,0.03427,0.03427,0.03427,0.01472,0.01927,0.03002,0.01142,0.03076,0.02869,0.01142,0.02587,0.02062,0.01677,0.03999,0.01357
2018,Tomalpin 33_11kV,06MAY2017,MW,0.02127,0.02408,0.01109,0.03427,0.02673,0.02729,0.03271,0.01687,0.03999,0.01177,0.02959,0.03216,0.03427,0.01588,0.00571,0.00571,0.25032,0.39781,0.60708,0.46014,0.22878,0.45615,0.59243,0.68715,0.64046,0.45794,0.49724,0.54102,0.56489,0.56742,0.54842,0.49692,0.66404,0.66848,0.39153,0.46526,0.53566,0.56262,0.25787,0.02285,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.01555,0.01580,0.00571,0.00631,0.01351,0.00571,0.02796,0.00571,0.00571,0.01999,0.02860,0.01392,0.00571,0.02819,0.03111,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571
2018,Tomalpin 33_11kV,07MAY2017,MW,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.00571,0.02253,0.03427,0.03427,0.02065,0.03427,0.03427,0.03427,0.02914,0.03862,0.03427,0.03427,0.00011,,,,,0.00750,,,,,,,,,,,,,,,,,
2018,Tomalpin 33_11kV,08MAY2017,MW,,,,,,,,,,,,,,,,0.04512,0.08467,0.06356,0.48090,0.33048,0.36562,0.45504,0.44159,0.56356,0.32617,0.54543,0.59645,0.48645,0.24593,0.49925,0.68328,0.63126,0.46333,0.51066,0.49388,0.28281,0.14708,0.45593,0.54056,0.46935,0.42857,0.42896,0.43794,0.41315,0.31308,0.46870,0.46138,0.45362,0.43565,0.03049,0.46538,0.60896,0.49089,0.68849,0.67372,0.67944,0.51229,0.35858,0.24948,0.14599,0.53409,0.56491,0.62023,0.59735,0.61237,0.60690,0.60323,0.59445,0.62159,0.63425,0.66137,0.60640,0.51881,0.37897,0.49572,0.08110,0.08622,0.15961,0.42733,0.37905,0.35178,0.51200,0.44639,0.62021,0.60885,0.65642,0.69731,0.66056,0.61644,0.54140,0.57676,0.54847,0.68506,0.69427,0.26649,0.08703
2018,Tomalpin 33_11kV,09MAY2017,MW,0.03930,0.04088,0.04281,0.03149,0.05312,0.05141,0.05141,0.03770,0.02285,0.02362,0.03097,0.02285,0.04172,0.02285,0.02285,0.05433,0.00238,,0.44054,0.36743,0.50837,0.51231,0.43152,0.38416,0.32077,0.19174,0.39727,0.34254,0.32615,0.33296,0.33144,0.28709,0.34596,0.43316,0.36778,0.35643,0.37911,0.40551,0.47368,0.40608,0.24721,0.06956,0.07030,0.05141,0.05297,0.11510,0.17028,0.55350,0.40603,0.52847,0.49644,0.56280,0.37172,0.49026,0.47778,0.46327,0.44895,0.43482,0.43743,0.44037,0.65032,0.55175,0.38280,0.30811,0.34983,0.17550,0.40817,0.29078,0.45210,0.38607,0.60369,0.33688,0.31399,0.43859,0.68310,0.53706,0.07250,,0.07378,0.38614,0.05537,0.02222,0.26469,0.36626,0.63441,0.31082,0.28776,0.17379,0.24172,0.19236,,0.01846,0.06098,0.08299,0.04377,0.04999
2018,Tomalpin 33_11kV,10MAY2017,MW,0.05654,0.05711,0.05525,0.04096,0.04467,0.05039,0.03420,0.02266,0.02009,0.01152,0.02308,0.02356,0.02834,0.02941,0.02201,0.05100,0.05034,0.23276,0.09648,0.48294,0.32990,0.61828,0.60165,0.47367,0.66562,0.40122,0.42056,0.56410,0.46236,0.46267,0.34169,0.22211,0.32191,0.31405,0.36638,0.59567,0.66384,0.42700,0.58870,0.58364,0.43132,0.38951,0.32173,0.30863,0.23703,0.27878,0.23059,0.24084,0.27313,0.22664,0.26637,0.21948,0.32881,0.35559,0.01952,0.00525,0.01325,0.05599,0.47460,0.14882,0.00053,0.27779,0.19341,0.55334,0.49537,0.42113,0.57098,0.59866,0.34168,0.31692,0.31733,0.58576,0.41494,0.44213,0.14872,,,0.16705,0.16124,0.27866,0.51560,0.45538,0.48632,0.61397,0.77100,0.78250,0.41873,0.68398,0.37124,0.47157,0.38815,0.46275,0.33334,0.19161,0.05161,0.06288
