year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Tomaree 33_11kV,01MAY2017,MW,6.30316,5.64395,5.59678,6.57577,5.73045,5.00341,4.78219,4.88474,4.49302,4.16595,4.02272,4.02272,4.02272,4.02272,4.02272,4.02272,4.02272,4.02272,4.02272,4.02272,4.02272,4.24461,4.45373,4.60715,4.93683,5.32460,5.86685,5.82798,5.74675,6.12208,6.17775,6.17775,6.17775,6.17775,6.17775,6.17775,5.95146,5.74675,5.42918,5.31574,5.42171,5.74675,5.32527,5.42364,5.31574,5.11696,4.88474,5.07137,4.88474,4.88474,5.23609,4.88474,5.17922,5.22956,5.31574,5.09983,5.31574,5.04622,5.03905,5.31574,5.31574,5.31574,5.31574,5.64094,5.74675,5.92239,6.17775,6.44486,6.79108,7.66299,8.18554,8.28539,8.45195,8.33278,8.33278,7.95799,7.79054,8.02571,7.49915,7.25444,6.89610,6.81905,6.46509,6.46509,6.28774,6.03408,6.03408,5.91087,7.64992,7.39810,6.67908,6.10226,6.88624,6.77003,6.81773,7.52594
2018,Tomaree 33_11kV,02MAY2017,MW,7.61444,7.24938,6.96099,7.75811,7.18375,6.46509,6.01436,6.27064,5.78402,5.32244,4.96489,4.59740,4.59740,4.27423,4.16639,4.16639,3.90104,3.83525,4.16639,4.16639,4.16639,4.16639,4.18585,4.59740,4.95817,5.34949,5.84467,5.54434,5.68131,5.89042,6.09275,6.32142,6.32142,6.01147,5.89042,5.89042,5.88789,5.55464,5.45941,5.29849,5.55355,5.45941,5.26934,5.02840,5.02840,5.02840,5.02840,5.30944,5.19112,5.02840,5.07165,5.20017,5.02840,5.02840,5.02840,5.02840,5.02840,5.02840,5.33185,5.45941,5.45941,5.45941,5.45941,5.81707,5.89042,5.89042,6.30950,6.89332,7.27218,8.08583,8.47645,8.47645,8.47645,8.47645,8.47645,8.10822,7.96156,8.28112,7.83229,7.56660,7.18343,7.18343,6.81006,6.40603,6.32142,6.17473,6.29205,6.00552,7.73162,7.35115,6.66650,6.17775,7.02122,6.85144,6.83329,7.17582
2018,Tomaree 33_11kV,03MAY2017,MW,7.60405,6.98779,6.87508,7.61444,7.19373,6.47775,6.03642,6.25554,5.79917,5.37197,5.00475,4.59740,4.59740,4.41276,4.16639,4.16639,4.16639,4.16639,3.79126,3.73539,4.11021,4.16639,4.53746,4.59740,4.88607,5.16229,5.54573,5.50813,5.56856,5.89042,5.89042,5.89042,6.20591,6.32142,6.19984,5.89042,5.94369,5.96159,5.52763,5.62139,5.45941,5.17184,5.45941,5.35140,5.06252,5.45941,5.45941,5.39039,5.89042,5.89042,5.52157,5.45941,5.74140,5.89042,5.89042,5.61540,5.53123,5.45941,5.34458,5.45941,5.45941,5.55014,5.89042,5.89042,5.92696,6.32142,6.43707,6.99445,7.45393,7.98472,8.52018,8.64615,8.73460,8.47645,8.47645,8.38337,8.10314,8.27799,7.84100,7.61444,7.51410,7.18343,7.18343,6.95376,6.59053,6.32142,6.32142,6.32142,8.01813,7.63274,6.84767,6.26769,6.88947,6.80630,6.84053,7.40030
2018,Tomaree 33_11kV,04MAY2017,MW,7.87170,7.25373,7.04174,7.75811,7.20369,6.46920,6.13318,6.43522,5.82084,5.36401,4.79802,4.74107,4.38087,4.31006,4.31006,4.19381,3.87905,3.87905,3.87905,3.87905,3.87905,4.30686,4.31006,4.48340,4.94331,5.41785,5.76202,5.68556,5.60308,5.98433,6.03408,6.37186,6.46509,6.18086,6.21824,6.03408,5.84086,6.03408,6.03408,6.03408,6.03408,5.57136,5.31852,5.17207,5.04714,4.88251,5.47926,5.60308,5.60308,5.43981,5.60308,5.60308,5.60308,5.60308,5.60308,5.60308,5.57614,5.17207,5.17207,5.48675,5.28289,5.53527,5.60308,5.60308,5.79103,6.03408,6.14236,6.46509,7.04370,7.77590,8.31177,8.23493,8.50844,8.62012,8.47685,8.18912,8.22007,8.28532,7.75811,7.51890,7.32710,7.32710,6.96529,6.89610,6.72438,6.34567,6.44790,6.24478,7.95585,7.69297,6.87969,6.41310,7.17369,6.95510,7.07002,7.66893
2018,Tomaree 33_11kV,05MAY2017,MW,7.95340,7.43615,7.11329,7.75811,7.23659,6.44619,6.00970,6.41860,5.81465,5.37022,5.11830,4.74107,4.50417,4.31006,4.29150,3.87905,3.87905,3.87905,3.87905,3.87905,3.91477,4.31006,4.31006,4.43562,4.96722,5.49945,5.77214,6.03408,5.93629,5.91563,6.03408,6.03408,6.03408,6.03408,6.03408,6.03408,6.03408,5.61382,5.60308,5.60308,5.60308,5.19161,5.58771,5.27121,5.17207,5.00848,5.03147,5.17207,5.17207,5.17207,5.17207,5.17207,5.17207,5.17207,5.17207,5.17207,5.17207,5.17207,5.17207,5.17207,5.17207,5.17207,5.41364,5.60308,5.60308,5.99250,6.03408,6.32088,6.61690,7.27587,7.93296,8.18912,8.18912,8.18912,8.18912,7.94461,7.75811,7.75811,7.69009,7.32710,7.32710,7.03206,6.89610,6.89610,6.76391,6.46509,6.46509,6.38364,7.90466,7.56945,6.76166,6.30535,7.03316,7.03977,7.14381,7.66806
2018,Tomaree 33_11kV,06MAY2017,MW,7.76107,7.34503,6.96567,7.75811,7.42524,6.68194,6.10442,5.60483,5.98914,5.68370,5.13886,4.74107,4.74107,4.57757,4.31006,4.31006,4.31006,3.92606,3.87905,3.87905,3.87905,3.93675,4.31006,4.31006,4.31006,4.62142,4.74107,5.14988,5.52338,5.93571,6.55749,6.89610,6.89610,7.05060,7.32710,7.32710,7.32710,7.32710,7.38627,7.45050,7.06230,6.89610,6.56429,6.46259,6.03408,6.03408,6.03408,6.03408,6.03408,5.61962,5.76652,5.66685,5.79861,5.74148,5.60308,5.60308,5.60308,5.60308,5.60308,5.60308,5.68644,6.03408,6.03408,6.18917,6.27739,6.46509,6.47229,6.57914,7.04649,7.57075,8.12718,8.18912,8.37804,8.18912,7.81912,7.75811,7.75811,7.75811,7.34263,7.29838,6.89610,6.80469,6.62507,6.46509,6.46509,6.23757,7.41240,6.93668,6.42245,6.17775,6.17775,6.03550,6.90771,6.49968,5.86991,6.10671
2018,Tomaree 33_11kV,07MAY2017,MW,6.19314,5.41244,5.49362,6.40633,5.52610,4.81233,4.47177,4.31006,4.55664,4.31006,4.27641,3.87905,3.87905,3.87905,3.87905,3.87905,3.87905,3.87905,3.87905,3.87905,3.87905,3.87905,3.87905,3.87905,4.07862,4.31006,4.65437,4.74107,5.16467,5.60308,5.98129,6.21255,6.67928,6.83218,6.89610,7.14561,7.31459,7.10291,7.29714,6.89610,6.66993,6.46509,6.46509,6.46509,6.08336,6.03408,6.03408,6.03408,5.84421,5.60308,5.88055,5.81207,5.75088,5.60308,5.60308,5.60308,5.60308,5.60308,5.60308,5.60308,5.60308,5.66022,5.87089,6.03408,6.03408,6.37514,6.71880,6.65581,7.13525,7.69904,8.15938,8.18912,8.39065,8.18912,7.99400,7.84141,7.75811,7.75311,7.32710,6.99198,6.89610,6.89610,6.71442,6.36351,6.03408,6.00743,7.37903,6.91116,6.46509,6.13459,6.36984,5.87169,6.88136,6.52769,5.88245,6.06500
2018,Tomaree 33_11kV,08MAY2017,MW,6.09071,5.56811,5.37036,6.47259,5.55382,4.97762,4.62103,4.85553,4.45373,4.45373,4.24922,4.02272,4.02272,4.02272,4.02272,4.02272,3.95805,3.59172,3.86752,4.02272,4.02272,4.19049,4.45373,4.58255,5.09533,5.31574,5.67227,5.74675,5.74675,5.85150,6.17775,6.17775,6.17775,6.17775,6.06212,5.74675,5.74675,5.74675,5.66273,5.74675,5.74675,5.49055,5.05669,5.07506,5.31574,5.10006,4.88474,4.88474,4.88474,5.08614,5.23629,5.31574,5.31574,5.09087,4.88474,4.88474,4.88474,4.88474,4.88474,4.88474,4.88474,5.30303,5.55136,5.74675,5.74675,6.14348,6.48531,6.75825,7.24619,7.98034,8.43410,8.76379,8.76379,8.58874,8.33278,8.04354,7.98145,8.28188,7.88978,7.61444,7.23853,7.18343,6.84511,6.62263,6.32142,6.19521,6.31403,5.95530,7.74523,7.55324,6.78196,6.25759,6.97254,6.86621,6.96171,7.30378
2018,Tomaree 33_11kV,09MAY2017,MW,7.75160,7.17289,7.10112,7.88860,7.25527,6.49418,6.26129,6.57000,6.00420,5.54734,5.26697,4.88474,4.82569,4.45373,4.12565,4.02272,4.02272,4.02272,4.02272,4.02272,4.02272,4.35745,4.45373,4.45373,5.04281,5.43953,5.83694,5.79737,5.74675,5.95872,6.46940,6.60876,6.94992,7.03977,6.64118,6.96889,6.59907,6.16036,5.94414,6.17775,6.17775,6.17775,6.17775,5.61906,5.44088,5.94611,5.77655,5.82948,6.03229,6.17775,6.17775,5.99627,5.74675,5.71624,5.31574,5.31574,5.51903,5.43612,5.31574,5.31574,5.53569,5.74675,5.74675,6.05720,6.27196,6.60876,6.73539,7.20292,7.68750,8.42212,8.87170,9.04027,9.19480,9.19480,8.79961,8.40723,8.41392,8.74171,8.44700,8.04545,7.72505,7.61444,7.61444,6.91904,6.75243,6.75243,6.75243,6.45581,8.22032,7.97097,7.26325,6.67092,7.03611,7.03977,7.10739,7.66970
2018,Tomaree 33_11kV,10MAY2017,MW,8.04545,7.50248,7.24991,7.90178,7.52687,6.93165,6.28323,6.66030,6.06418,5.74895,5.14964,5.02840,4.59930,4.59740,4.57339,4.16639,4.16639,4.16639,4.16639,4.16639,4.16639,4.55828,4.74060,4.65515,5.05087,5.51381,6.05952,5.99689,5.94115,6.32142,6.63628,6.75243,6.75243,6.49355,6.32142,6.20311,5.89042,6.11331,5.89042,6.23879,5.89042,5.89042,5.46835,5.68068,5.51411,5.28433,5.28400,5.02840,5.13414,5.45941,5.45941,5.45941,5.45941,5.45941,5.45941,5.45941,5.16606,5.45941,5.45941,5.11482,5.28671,5.45941,5.50345,5.89042,5.89042,6.27102,6.35814,6.84697,7.36075,8.39662,8.73835,8.90746,8.90746,8.90462,8.47645,8.47645,8.40659,8.61747,8.33278,7.90606,7.90178,7.53548,7.24864,7.03977,6.62362,6.56023,6.59418,6.36922,8.21032,7.87492,7.21293,6.63574,7.18053,7.17897,7.32520,7.68688
