year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Top Ryde 132_11kV,01MAY2015,MW,20.50641,20.39301,19.22121,19.46691,19.58031,18.69201,17.59582,16.72642,15.81923,15.17663,14.59073,14.08044,13.66464,13.32444,13.34334,13.22994,13.19214,13.45674,13.53234,13.53234,14.04264,14.53403,15.29003,16.19723,17.25562,18.63532,20.35521,21.58370,23.09569,24.19189,24.09739,25.21249,25.66608,25.43928,24.94789,24.92899,25.43928,25.26919,25.08019,24.98569,25.32588,25.68498,25.76058,25.28809,25.21249,24.96679,25.15579,24.83449,24.45649,24.30529,24.02179,23.85169,24.24859,24.09739,23.90839,23.56819,23.56819,23.70049,23.39809,23.17129,23.51149,23.81389,23.00120,23.77609,24.79669,25.02349,25.09909,25.28809,25.32588,26.44098,27.40488,28.08527,26.83788,26.38428,26.02518,25.68498,24.94789,24.47539,24.05959,23.73829,23.22799,22.73660,22.39640,22.01840,21.28130,20.71431,20.69541,20.12841,20.71431,21.09230,21.05450,20.37411,19.73151,20.16621,20.52531,19.92051
2016,Top Ryde 132_11kV,02MAY2015,MW,20.63871,20.27961,19.12671,19.12671,19.29681,18.37072,17.31232,16.42403,15.59243,15.00653,14.17494,13.62684,13.26774,13.26774,13.26774,13.22994,12.75744,12.68184,12.58734,12.66294,12.73854,13.02204,13.09764,13.36224,13.81584,14.36393,14.93093,14.85533,15.87593,16.61302,17.35012,17.65252,18.37072,18.99441,19.56141,19.73151,20.39301,20.50641,20.54421,20.33631,20.65761,20.96000,21.48920,21.35690,21.52700,21.13010,21.26240,21.13010,20.82771,20.67651,21.20570,21.18680,20.77101,20.90330,20.77101,20.46861,19.88271,20.27961,20.96000,21.60260,21.67820,21.94280,21.64040,22.03730,21.77270,21.81050,21.98060,22.45310,22.45310,23.49259,24.07849,24.00289,23.75719,23.41699,22.96340,22.37750,22.16960,21.60260,21.11120,20.78991,20.90330,20.58201,20.50641,20.10951,19.59921,19.22121,19.08891,18.88101,19.65591,19.92051,20.05281,19.41021,18.72981,19.24011,19.90161,19.20231
2016,Top Ryde 132_11kV,03MAY2015,MW,20.22291,19.97721,18.88101,19.24011,19.25901,18.40852,17.55802,16.40513,15.51683,14.74193,14.08044,13.64574,13.26774,12.92754,12.62514,12.37944,12.58734,12.36054,12.24714,12.53064,12.36054,12.58734,12.64404,12.75744,13.02204,13.36224,13.74024,13.75914,14.19384,14.43953,15.06323,15.74363,16.49962,17.21782,17.95492,18.46522,19.10781,19.69371,20.12841,20.56311,20.88441,21.07340,21.50810,21.82940,21.58370,21.48920,21.20570,21.33800,21.24350,20.73321,20.63871,20.58201,20.58201,20.22291,19.84491,20.09061,19.92051,19.97721,20.16621,19.88271,20.09061,20.39301,20.43081,20.60091,20.97890,21.69710,21.73490,22.43420,22.47200,23.41699,23.45479,23.73829,23.71939,23.28469,23.11459,22.37750,22.56650,22.09400,21.81050,21.71600,21.39470,21.05450,20.60091,20.31741,19.92051,19.61811,19.14561,18.84321,19.56141,19.82601,19.58031,18.93771,17.65252,18.72981,19.22121,18.74871
2016,Top Ryde 132_11kV,04MAY2015,MW,19.44801,19.20231,18.20062,18.48412,18.65422,17.61472,16.80202,15.83813,14.98763,14.57183,13.87254,13.47564,13.11654,12.75744,12.75744,12.56844,12.41724,12.41724,12.58734,12.75744,13.09764,13.68354,14.21274,14.83643,16.15943,17.61472,19.05111,19.93941,20.99780,22.22630,22.81220,23.13349,23.98399,24.21079,24.02179,24.30529,24.24859,24.30529,24.26749,24.45649,24.75889,24.34309,24.64549,24.60769,24.21079,24.15409,24.09739,24.38089,24.43759,24.41869,23.94619,24.07849,23.85169,23.98399,23.96509,23.79499,23.73829,23.81389,24.19189,23.83279,23.51149,23.56819,23.79499,24.32419,24.30529,24.22969,24.22969,25.08019,25.19359,26.30868,27.51827,28.16087,26.95128,26.49768,25.91178,25.40148,24.62659,23.60599,23.87059,23.54929,23.15239,22.45310,21.92390,21.47030,20.78991,20.41191,20.12841,19.39131,20.24181,21.14900,19.99611,19.58031,18.84321,19.16451,19.52361,18.78651
2016,Top Ryde 132_11kV,05MAY2015,MW,19.50471,19.33461,18.21952,18.42742,18.69201,17.65252,16.91542,16.15943,15.27113,14.51513,13.68354,12.98424,13.02204,13.02204,12.81414,12.68184,12.85194,13.02204,13.02204,13.05984,13.57014,13.83474,14.42063,15.38453,16.80202,18.04942,19.90161,20.54421,21.65930,22.52870,23.07680,23.07680,23.77609,23.73829,23.54929,23.53039,23.75719,23.71939,24.19189,24.24859,23.94619,23.77609,23.90839,24.04069,24.00289,23.94619,23.77609,24.11629,24.38089,24.21079,24.41869,24.11629,24.41869,24.53209,24.24859,24.38089,24.17299,24.07849,24.30529,23.87059,24.21079,24.04069,24.00289,24.05959,24.49429,24.55099,24.53209,24.58879,25.08019,25.51488,26.70558,27.19698,26.15748,25.51488,25.25029,24.81559,23.96509,23.54929,23.17129,22.71770,22.18850,21.48920,21.18680,21.05450,20.37411,19.63701,19.25901,18.97551,19.63701,20.09061,19.76931,18.89991,18.31402,18.80541,19.18341,18.38962
2016,Top Ryde 132_11kV,06MAY2015,MW,19.16451,18.86211,17.70922,18.08722,18.35182,17.42572,16.63192,15.78143,15.10103,14.42063,13.68354,13.36224,13.04094,12.73854,12.66294,12.51174,12.70074,12.64404,12.71964,13.00314,13.58904,14.09934,14.72303,15.34673,16.91542,18.50302,19.90161,20.67651,21.86720,22.77440,23.15239,23.28469,23.94619,23.87059,23.53039,23.22799,23.20909,23.36029,23.45479,23.37919,23.24689,23.34139,23.13349,23.17129,23.05790,22.73660,22.88780,23.03900,22.94450,22.83110,22.94450,22.66100,22.73660,22.86890,22.60430,22.62320,22.77440,22.73660,22.94450,22.88780,22.90670,22.58540,22.90670,23.20909,23.34139,23.66269,23.88949,24.15409,24.58879,25.74168,26.97018,27.70727,26.66778,26.62998,26.47878,26.19528,25.47708,25.17469,25.30698,24.83449,24.22969,23.92729,23.09569,23.03900,22.20740,21.90500,21.30020,20.78991,21.71600,22.03730,21.37580,20.63871,19.82601,20.12841,20.41191,19.56141
2016,Top Ryde 132_11kV,07MAY2015,MW,20.44971,20.10951,18.97551,19.41021,19.59921,18.55972,17.61472,16.65082,15.87593,15.38453,14.55293,13.98594,13.83474,13.49454,13.43784,13.36224,13.51344,13.70244,13.70244,13.85364,14.34503,14.83643,15.49793,16.40513,17.95492,19.56141,21.41360,22.22630,23.71939,24.34309,24.79669,24.91009,25.25029,25.11799,24.68329,24.26749,24.24859,23.94619,24.24859,24.22969,24.30529,24.00289,23.56819,23.49259,23.28469,23.03900,23.39809,23.26579,23.20909,22.96340,22.96340,23.19019,23.22799,23.11459,23.24689,23.28469,22.92560,22.96340,23.05790,22.86890,22.73660,22.77440,23.02010,23.28469,23.66269,24.28639,24.60769,25.13689,25.94958,26.59218,27.87737,28.86017,28.17977,28.72787,28.53887,28.55777,27.95297,27.80177,27.48048,27.27258,26.74338,26.13858,26.15748,25.70388,24.81559,23.68159,23.20909,22.05620,22.75550,23.11459,22.30190,21.43250,20.52531,20.61981,21.03560,20.18511
2016,Top Ryde 132_11kV,08MAY2015,MW,20.96000,20.63871,19.44801,19.82601,19.95831,18.97551,18.14392,16.93432,16.31063,15.87593,15.15773,14.49623,14.25054,13.94814,13.94814,13.94814,13.94814,13.94814,13.94814,14.21274,14.89313,15.49793,16.14053,17.08552,18.76761,20.03391,21.90500,22.86890,24.02179,25.00459,25.45818,25.72278,25.85508,25.83618,25.57158,25.11799,25.06129,24.98569,25.08019,24.72109,24.81559,24.43759,24.62659,24.36199,24.05959,23.58709,23.43589,23.60599,23.53039,23.32249,22.96340,23.28469,23.34139,23.17129,23.19019,23.11459,22.98230,23.02010,23.30359,23.20909,22.81220,23.03900,23.37919,23.66269,24.24859,24.19189,24.56989,25.17469,25.81728,27.04578,28.21757,28.69007,27.66947,27.36708,27.12138,27.10248,26.57328,26.02518,25.25029,25.25029,24.73999,24.28639,24.15409,24.15409,23.26579,22.77440,22.33970,21.62150,22.71770,22.77440,22.66100,21.84830,20.82771,21.16790,21.52700,20.75211
2016,Top Ryde 132_11kV,09MAY2015,MW,21.39470,21.09230,19.78821,20.09061,20.39301,19.27791,18.27622,17.31232,16.61302,16.10273,15.27113,14.79863,14.26944,13.94814,13.87254,13.64574,13.53234,13.53234,13.55124,13.64574,13.87254,13.87254,14.13714,14.36393,15.10103,15.72473,16.68862,17.21782,17.78482,18.33292,19.01331,19.46691,20.05281,20.31741,20.41191,20.60091,21.13010,20.77101,20.75211,20.60091,20.39301,20.33631,20.05281,19.82601,19.56141,19.44801,19.27791,19.18341,19.03221,18.97551,18.72981,18.76761,18.54082,18.33292,18.33292,18.31402,18.46522,18.23842,18.35182,18.71091,18.91881,19.35351,19.39131,19.54251,20.12841,20.43081,20.75211,21.39470,22.49090,23.62489,24.87229,25.17469,25.11799,24.73999,24.45649,24.00289,23.73829,23.47369,23.47369,23.11459,23.13349,22.96340,22.66100,22.45310,21.56480,21.50810,21.18680,20.77101,21.64040,22.09400,22.03730,21.39470,20.69541,21.09230,21.62150,20.78991
2016,Top Ryde 132_11kV,10MAY2015,MW,21.67820,21.41360,20.48751,20.56311,20.60091,19.76931,18.89991,17.93602,16.95322,16.32953,15.63023,14.98763,14.72303,14.19384,14.04264,13.87254,13.70244,13.38114,13.70244,13.64574,13.68354,13.66464,13.81584,14.04264,14.45843,15.06323,15.55463,15.78143,16.51852,16.97212,17.61472,18.14392,18.82431,19.25901,19.65591,20.07171,20.20401,20.41191,20.09061,20.05281,20.26071,20.24181,19.93941,19.50471,19.67481,20.01501,20.27961,20.37411,20.24181,20.27961,20.18511,19.20231,18.82431,18.63532,18.03052,18.40852,18.20062,17.89822,17.89822,18.20062,18.23842,18.74871,18.38962,19.65591,20.01501,20.54421,20.88441,21.64040,22.15070,22.96340,23.66269,24.15409,23.90839,23.96509,23.90839,23.64379,23.36029,23.20909,22.96340,22.69880,22.54760,22.54760,22.20740,21.79160,21.54590,21.13010,20.90330,20.29851,20.71431,21.09230,20.80881,19.84491,19.16451,19.59921,20.01501,19.46691
