year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Toronto 33_11kV,01MAY2016,MW,5.08002,4.53551,4.48421,4.76525,4.09122,3.68940,3.44767,3.51931,3.62655,3.46789,3.32649,3.17367,3.14195,3.11387,3.25393,3.21790,3.11697,3.12796,3.04019,3.23377,3.24274,3.23718,3.23545,3.38048,3.40987,3.42895,3.42148,3.57598,3.98787,4.37044,4.71637,4.66087,4.83959,4.85769,5.09202,5.33083,5.61958,5.80880,5.87744,5.77913,5.69822,5.78018,5.65807,5.66309,5.64973,5.56870,5.53049,5.51120,5.71557,5.72542,5.66710,5.52638,5.49715,5.53917,5.42492,5.34640,5.24071,5.17973,5.27114,5.33881,5.17829,5.31804,5.34174,5.50180,5.53535,5.75106,5.78810,5.74808,5.98944,6.17527,6.43436,6.37663,6.37772,6.31069,6.28977,6.29574,6.15494,5.77565,5.49425,5.21653,5.02518,5.02999,4.89069,4.94630,4.82860,4.56606,5.60968,5.27552,4.91808,4.68005,4.99670,4.72628,5.31173,4.96707,4.47644,4.58736
2017,Toronto 33_11kV,02MAY2016,MW,4.83424,4.49572,4.43087,4.49284,3.89452,3.52712,3.44237,3.57930,3.51224,3.42536,3.40407,3.21204,3.27638,3.21715,3.21206,3.21778,3.33573,3.44247,3.62603,3.50235,3.72805,3.68749,3.88352,4.16166,4.36327,4.56727,4.68391,4.65254,4.69703,5.01240,5.23859,5.18326,5.28371,5.26335,5.45187,5.44664,5.51111,5.57510,5.54415,5.54014,5.50866,5.61720,5.77948,6.00414,6.08439,6.08642,6.14383,6.09420,6.31158,6.30466,6.31369,6.19067,6.26538,6.34010,6.57801,6.39766,6.31102,6.37514,6.37883,6.33971,6.38810,6.40893,6.39772,6.21875,6.19631,6.45254,6.58501,6.93577,7.04395,7.40325,7.49759,7.32884,7.21301,7.10895,6.88087,6.73100,6.60239,6.49413,6.27793,6.03535,5.74842,5.65972,5.43915,5.24149,5.16490,5.21312,5.34106,5.27551,6.53648,6.49600,6.34631,6.04591,6.48761,6.34045,6.65128,6.80459
2017,Toronto 33_11kV,03MAY2016,MW,6.85600,6.42813,6.26075,6.28760,5.99645,5.78958,5.60182,5.73777,5.29732,4.82253,4.55681,4.46493,4.47926,4.36335,4.45873,4.39005,4.13505,4.13582,4.24963,4.42985,4.71975,4.78788,4.80246,4.83534,5.14706,5.42481,5.81118,5.89890,5.73869,5.94412,6.03578,6.17091,6.10229,6.10145,6.23348,6.25461,6.22573,6.22846,6.19224,6.13587,6.03528,6.08672,6.27800,6.33815,6.11684,6.33834,6.07676,6.05944,6.11361,6.35499,6.09435,6.10402,6.07669,5.89977,5.93102,5.90155,6.02331,6.06191,6.13441,6.25454,6.17397,6.01044,6.08132,6.09187,6.26984,6.34768,6.46254,6.67620,6.69951,7.09143,7.40846,7.40426,7.22202,7.22592,7.01079,6.86074,6.83065,6.73422,6.62611,6.32775,6.10177,6.06941,5.92417,5.83744,5.69437,5.51617,5.70079,5.63398,6.73753,6.43512,6.35547,6.22430,6.87990,6.53155,6.66349,6.59922
2017,Toronto 33_11kV,04MAY2016,MW,6.83663,6.39865,6.21146,6.27744,6.02640,5.60342,5.53091,5.53616,5.12841,4.82030,4.80934,4.77148,4.69810,4.59917,4.47035,4.32762,4.29787,4.34986,4.60421,4.71274,4.79736,4.72958,4.86323,5.01731,5.29358,5.52165,5.76980,5.85421,5.84701,5.94193,6.06393,6.07436,6.02678,5.91148,5.90708,5.92348,5.93193,5.90110,5.91238,5.83839,5.82796,5.90641,5.87048,5.89044,6.00601,5.96875,5.89539,5.92467,5.98942,6.06690,6.07197,6.05640,6.14370,6.17558,6.31085,6.17154,5.95385,5.86038,5.82821,5.95611,5.95070,5.83547,6.05785,6.36009,6.38710,6.55176,6.61999,6.68350,6.72276,6.82770,7.08819,7.11593,7.11477,7.03034,6.95526,6.73871,6.56622,6.53112,6.40564,6.19143,6.03456,6.03298,5.89977,5.78701,5.63332,5.48858,5.46740,5.35859,6.53600,6.42265,6.54573,6.40299,6.76077,6.48288,6.60648,6.65286
2017,Toronto 33_11kV,05MAY2016,MW,6.86512,6.47020,6.42888,6.44459,6.11494,5.56497,5.40600,5.60753,5.18849,4.94611,4.88467,4.84830,4.57278,4.40500,4.43013,4.45158,4.35986,4.56669,4.60192,4.62193,4.71973,4.74755,4.71918,4.94852,5.16725,5.47683,5.78656,5.76199,5.83677,5.80070,5.99824,5.93500,6.01065,5.94490,5.94057,5.91639,5.93976,6.04106,6.07082,5.95848,5.84608,5.87822,5.91470,5.92867,6.06522,6.01412,6.03699,6.03794,5.88917,5.85995,5.84162,5.99201,5.96398,5.96326,6.00637,5.86171,5.86301,5.91895,6.00292,6.01307,6.10066,6.06234,6.07086,6.03901,6.04368,6.46233,6.52552,6.64476,6.78994,6.88664,7.13603,7.03293,7.09403,7.08530,7.08859,6.81217,6.51141,6.48406,6.26691,5.99209,5.80172,5.92657,5.88186,5.82994,5.66109,5.54656,5.68079,5.55886,6.78618,6.60904,6.40209,6.13325,6.53310,6.35232,6.61973,6.82678
2017,Toronto 33_11kV,06MAY2016,MW,6.96088,6.45397,6.24004,6.15331,5.84166,5.51583,5.50477,5.70461,5.30786,4.98545,4.81431,4.58325,4.53222,4.57017,4.49682,4.41248,4.22727,4.32869,4.37255,4.42667,4.81553,4.93236,5.01713,4.95698,5.18954,5.52642,5.64383,5.74960,5.88178,5.97604,6.02395,5.89243,5.94213,5.89202,5.94670,5.87844,5.88382,5.92985,5.91890,5.85705,5.89885,5.81863,5.85601,5.77603,5.76664,6.04166,6.00913,5.75217,5.94093,5.95970,5.92758,5.93348,5.87944,5.67567,5.69945,5.64054,5.92778,5.91801,5.96679,5.88360,5.90440,5.95109,6.02560,6.00722,6.10609,6.27707,6.40917,6.31433,6.42529,6.70126,7.00488,6.94848,6.77590,6.82822,6.79928,6.55101,6.18428,6.10257,6.00957,5.97471,5.90361,5.80836,5.77978,5.70229,5.62574,5.40553,5.39742,5.21577,6.65585,6.60142,6.45425,6.25431,6.67331,6.22838,6.32848,6.59639
2017,Toronto 33_11kV,07MAY2016,MW,6.85034,6.57274,6.09380,6.04739,5.76100,5.29337,5.00390,4.89212,5.16181,4.94718,4.50325,4.18998,4.10447,3.93687,4.01138,3.88650,3.82179,3.88566,3.77028,3.84884,3.96922,4.00101,4.11484,4.23185,4.11881,4.08515,4.17157,4.27578,4.39242,4.57110,4.76423,4.91429,5.04233,5.19745,5.35448,5.36103,5.29946,5.25486,5.33489,5.11280,4.97527,5.01827,5.06868,4.83869,4.86780,4.81709,4.81049,4.73399,4.66655,4.62970,4.68558,4.50625,4.37269,4.53693,4.60877,4.51109,4.43895,4.41186,4.54851,4.99563,5.03878,4.88635,4.93073,5.06093,5.05008,5.23987,5.29522,5.24612,5.41302,5.76303,5.89386,5.75477,5.76552,5.89034,5.96805,5.84069,5.76368,5.65449,5.39202,5.16952,5.00849,5.06543,5.08367,4.99989,4.96827,4.81973,5.57451,5.12433,4.95343,4.99631,5.34530,5.04037,5.54244,5.16653,4.63615,4.73645
2017,Toronto 33_11kV,08MAY2016,MW,4.99532,4.55204,4.50743,4.59123,4.02747,3.61331,3.42770,3.25259,3.60226,3.56172,3.44844,3.22351,3.18373,3.06412,3.08676,3.01026,3.04610,3.14870,3.25763,3.15471,3.22064,3.22318,3.17261,3.19800,3.52860,3.72870,3.77044,3.70023,3.87420,4.07207,4.32631,4.71286,4.99277,5.16677,5.37434,5.52523,5.60588,5.74822,5.79669,5.78581,5.70877,5.74498,5.64025,5.64042,5.45439,5.44844,5.37251,5.36302,5.34139,5.13071,4.75904,4.72151,4.80607,4.67782,4.76766,4.88983,4.85608,4.69784,4.67582,4.75202,4.84266,4.93883,5.07201,5.10191,5.03140,5.26227,5.38438,5.54258,5.89834,6.05050,6.11115,6.07073,6.01560,5.98183,5.91228,5.83549,5.79076,5.63071,5.43555,5.23277,5.14642,5.34164,5.20931,5.09749,4.99659,4.85696,5.75191,5.27358,5.07054,5.00913,5.30345,4.78959,5.40215,4.86869,4.41101,4.46830
2017,Toronto 33_11kV,09MAY2016,MW,4.58998,4.30711,4.32792,4.50609,3.91279,3.58379,3.52893,3.69932,3.55855,3.48064,3.37263,3.22461,3.17850,3.18750,3.21874,3.25061,3.35506,3.45498,3.33057,3.46398,3.65746,3.77649,3.86540,4.04737,4.32551,4.86546,5.09263,4.91956,5.06987,5.40593,5.66869,5.87471,5.97396,6.08920,6.22277,6.18544,6.22425,6.38897,6.39693,6.43366,6.41083,6.50819,6.42684,6.28213,6.31395,6.58175,6.49501,6.40240,6.39041,6.39957,6.20636,6.17928,6.21741,6.29473,6.39338,6.32441,6.31811,6.29769,6.20162,6.25670,6.42399,6.36093,6.53459,6.52459,6.55138,6.61998,6.86875,7.09283,7.19100,7.38928,7.61626,7.43358,7.35030,7.14605,6.92572,6.78000,6.54108,6.51897,6.32561,6.11333,5.90615,5.63881,5.53959,5.52045,5.61686,5.60124,5.69643,5.58710,6.83610,6.51042,6.40482,6.16284,6.51367,6.28289,6.38312,6.50551
2017,Toronto 33_11kV,10MAY2016,MW,6.51940,6.06929,5.98874,6.21225,5.88986,5.41916,5.10940,5.37775,4.92535,4.66326,4.57236,4.43589,4.30169,4.00086,3.95206,3.91211,3.99031,4.17138,4.21219,4.24657,4.20540,3.91201,4.04740,4.39592,4.62344,5.26444,5.50141,5.45050,5.60165,5.64401,5.68451,5.72056,5.84465,5.82044,5.81609,5.81873,5.78506,5.83988,5.88630,5.84543,5.85611,5.95123,5.86904,5.73108,5.84002,5.95555,5.97115,6.05783,6.10018,6.00792,6.03889,6.07000,5.93645,5.89170,5.88713,5.68669,5.71296,5.95946,6.05826,5.99611,6.04545,5.92021,5.96872,5.91762,6.07091,6.22379,6.29781,6.41580,6.74394,7.06251,7.47877,7.35456,7.40768,7.33270,7.24364,7.13399,6.93486,6.91012,6.71839,6.38567,6.08061,5.96648,6.08364,5.93848,5.72915,5.58355,5.62894,5.61602,6.68722,6.48951,6.27798,6.23566,6.68198,6.38116,6.62164,6.70546
