year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Toronto West 132_11kV,01MAY2017,MW,1.53270,1.53270,1.53270,1.53270,1.53270,1.53270,1.53270,1.46301,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,1.33092,1.43370,1.43370,1.43370,1.43370,1.43370,1.43370,1.43370,1.43370,1.43370,1.43370,1.43370,1.43370,1.09896,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,0.90810,1.02585,1.42560,1.42560,1.42560,1.42560,1.88957,1.91610,1.91610,1.91610,1.91610,1.91610,1.91610,1.63921,1.43910,1.43910,1.43910,1.43910,1.43910,1.43910,1.43910,1.43910,1.79673,2.02680,2.02680,2.02680,2.02680,2.02680,2.02680,2.02680
2018,Toronto West 132_11kV,02MAY2017,MW,2.02680,2.02680,1.88028,1.54170,1.54170,1.54170,1.54170,1.54170,1.54170,1.54170,1.54170,1.54170,1.54170,1.54170,1.41695,1.04760,1.04760,1.04760,1.04760,1.04760,1.04760,1.04760,1.04760,1.04760,1.04760,1.15374,1.51650,1.51650,1.51650,1.51650,1.51650,1.51650,1.51650,1.51650,1.13348,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.06110,1.28034,1.54800,1.54800,1.54800,1.54800,1.54800,1.54800,1.54800,1.54800,1.54800,1.54800,1.54800,1.54800,1.54800,1.54800,1.54800,1.54800,1.54800,1.54800,1.54800,1.54800,1.70515,2.11230,2.11230,2.11230,2.11230,2.11230,2.11230,2.11230
2018,Toronto West 132_11kV,03MAY2017,MW,2.11230,2.11230,1.91246,1.44810,1.44810,1.44810,1.44810,1.44810,1.44810,1.44810,1.44810,1.44810,1.44810,1.44810,1.05371,0.97200,0.97200,0.97200,0.97200,0.97200,0.97200,0.97200,0.97200,0.97200,0.97200,0.97200,1.30925,1.46430,1.46430,1.46430,1.46430,1.46430,1.46430,1.46430,1.46430,1.46430,1.46430,1.46430,1.46430,1.46430,1.46430,1.46430,1.46430,1.01260,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,0.97830,1.07860,1.47870,1.47870,1.47870,1.82747,1.97280,1.97280,1.97280,1.97280,1.97280,1.97280,1.97280,1.92762,1.44810,1.44810,1.44810,1.44810,1.44810,1.44810,1.44810,1.44810,1.81496,2.05020,2.05020,2.05020,2.05020,2.05020,2.05020,2.05020
2018,Toronto West 132_11kV,04MAY2017,MW,2.05020,2.05020,1.90768,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.49609,1.06470,1.06470,1.06470,1.06470,1.06470,1.06470,1.06470,1.06470,1.06470,1.36589,1.51830,1.51830,1.51830,1.51830,1.51830,1.51830,1.51830,1.51830,1.51830,1.51830,1.51830,1.33232,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.05840,1.49959,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.57770,1.96537,2.04480,2.04480,2.04480,2.04480,2.04480,2.04480,2.04480
2018,Toronto West 132_11kV,05MAY2017,MW,2.04480,2.04480,2.04480,2.04480,2.04480,2.04480,1.82617,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.58760,1.43708,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.10700,1.25344,1.56330,1.56330,1.56330,1.56330,1.56330,1.56330,1.56330,1.56330,1.56330,1.56330,1.56330,1.56330,1.56330,1.56330,1.56330,1.56330,1.56330,1.56330,1.56330,1.96175,2.02320,2.02320,2.02320,2.02320,2.02320,2.02320,2.02320
2018,Toronto West 132_11kV,06MAY2017,MW,2.02320,2.02320,2.02320,2.02320,2.02320,2.02320,2.02320,1.77000,1.57230,1.57230,1.57230,1.57230,1.57230,1.57230,1.57230,1.57230,1.14512,1.11870,1.11870,1.11870,1.11870,1.11870,1.11870,1.11870,1.11870,1.11870,1.11870,1.11870,1.11870,1.46118,1.63080,1.63080,1.63080,1.63080,1.63080,1.63080,1.63080,1.63080,1.63080,1.63080,1.63080,1.63080,1.63080,1.63080,1.63080,1.63080,1.63080,1.15415,1.15380,1.15380,1.15380,1.15380,1.15380,1.15380,1.15380,1.15380,1.15380,1.15380,1.15380,1.15380,1.15380,1.15380,1.15380,1.15380,1.15380,1.15380,1.15380,1.15380,1.17792,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110,1.69110
2018,Toronto West 132_11kV,07MAY2017,MW,1.69110,1.69110,1.69110,1.69110,1.63841,1.23660,1.23660,1.23660,1.23660,1.23660,1.23660,1.23660,1.23660,1.23660,1.23660,1.23660,0.78156,0.77040,0.77040,0.77040,0.77040,0.77040,0.77040,0.77040,0.77040,0.77040,0.77040,0.77040,0.77040,0.77040,0.77040,0.77040,1.35069,1.39860,1.39860,1.39860,1.39860,1.39860,1.39860,1.39860,1.39860,1.39860,1.39860,1.39860,1.39860,1.39860,1.22338,0.90000,0.90000,0.90000,0.90000,0.90000,0.90000,0.90000,0.90000,0.90000,1.29077,1.39140,1.39140,1.39140,1.39140,1.39140,1.39140,1.39140,1.39140,1.39140,1.39140,1.39140,1.39907,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410,1.84410
2018,Toronto West 132_11kV,08MAY2017,MW,1.84410,1.84410,1.68938,1.33740,1.33740,1.33740,1.33740,1.33740,1.33740,1.33740,1.33740,1.33740,1.33740,1.33740,1.33740,1.33740,0.79923,0.79560,0.79560,0.79560,0.79560,0.79560,0.79560,0.79560,1.13416,1.34820,1.34820,1.34820,1.34820,1.34820,1.34820,1.34820,1.34820,1.34820,1.34820,1.34820,1.34820,1.34820,1.34820,1.34820,1.34820,1.34820,1.24321,0.87390,0.87390,0.87390,0.87390,0.87390,0.87390,0.87390,0.87390,0.87390,0.87390,0.87390,0.87390,0.87390,0.87390,0.87390,0.87390,0.87390,0.87390,0.87390,0.87390,0.87390,1.30704,1.34190,1.34190,1.34190,1.34190,1.34190,1.77987,1.87740,1.87740,1.87740,1.87740,1.87740,1.87740,1.87740,1.87740,1.87740,1.87740,1.87740,1.87740,1.87740,1.87740,1.87740,1.87740,1.80412,1.77872,1.84230,1.84230,1.84230,1.84230,1.84230,1.84230,1.84230
2018,Toronto West 132_11kV,09MAY2017,MW,1.84230,1.84230,1.84230,1.84230,1.84230,1.84230,1.84230,1.84230,1.48699,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.33560,1.22687,0.88200,0.88200,0.88200,0.88200,0.88200,0.88200,0.88200,0.88200,0.88200,0.88200,0.88200,0.88200,0.88200,0.88200,0.88200,0.88200,0.88200,1.15453,1.39230,1.39230,1.39230,1.39230,1.81434,1.86750,1.86750,1.86750,1.86750,1.86750,1.86750,1.86750,1.86750,1.86750,1.86750,1.86750,1.86750,1.86750,1.86750,1.86750,1.86750,1.80984,1.63607,2.14371,2.15460,2.15460,2.15460,2.15460,2.15460,2.15460
2018,Toronto West 132_11kV,10MAY2017,MW,2.15460,2.15460,1.96724,1.54440,1.54440,1.54440,1.54440,1.54440,1.54440,1.54440,1.54440,1.54440,1.54440,1.54440,1.21223,1.06290,1.06290,1.06290,1.06290,1.06290,1.06290,1.06290,1.06290,1.06290,1.06290,1.08226,1.56600,1.56600,1.56600,1.56600,1.56600,1.56600,1.56600,1.56600,1.56600,1.56600,1.56600,1.56600,1.41420,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.07640,1.61368,1.61370,1.61370,1.61370,1.61370,1.61370,1.61370,1.61370,1.61370,1.61370,1.61370,1.61370,1.61370,1.61370,1.61370,1.61370,1.61370,1.61370,1.61370,1.61370,1.75983,2.13930,2.13930,2.13930,2.13930,2.13930,2.13930,2.13930
