year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Turramurra 33_11kV,01MAY2015,MW,16.40685,16.17460,15.17552,15.19148,15.24260,14.47854,13.75219,13.02344,12.33086,11.82650,11.30569,10.83001,10.60180,10.29642,10.22121,10.19314,10.06537,10.01313,10.16117,10.05137,10.38223,10.80970,11.31462,12.21444,13.18243,14.89430,16.64862,17.33604,18.02701,18.49777,18.58324,18.49484,18.23799,18.05945,17.79113,17.85379,17.91021,17.82278,17.61060,17.55460,17.36351,17.25467,17.01590,16.50039,16.45265,16.53542,16.33196,16.28663,15.81342,15.45783,15.28272,15.24057,15.10326,14.94901,14.77331,14.64752,14.37325,14.42055,14.29986,14.11796,14.37081,14.65536,14.83065,15.03753,15.15731,15.46190,15.78212,16.26037,17.09909,18.40953,19.69536,20.47897,20.67499,21.03001,21.22887,21.02493,20.69727,20.34225,19.97748,19.74058,19.38293,19.05748,18.56291,18.16546,17.83404,17.58676,16.97753,16.52070,17.13788,17.64284,17.25951,16.61977,15.94860,16.16439,16.79825,15.83632
2016,Turramurra 33_11kV,02MAY2015,MW,16.35666,16.06624,15.17519,15.21637,15.21549,14.36194,13.48228,12.69575,12.13424,11.62339,11.07317,10.69822,10.30006,10.21568,9.95939,9.72565,9.72938,9.76373,9.71099,9.78923,9.95363,10.01943,10.01681,10.26810,10.63632,11.11854,11.65485,12.00132,12.24277,12.77820,13.58180,14.19261,14.52903,15.01503,15.15860,15.15625,15.85402,15.75057,16.10514,16.35565,16.36956,16.28353,16.09163,16.35890,16.18064,15.60646,15.50897,15.63501,16.02883,15.49531,15.43066,15.23380,15.16117,15.22004,15.21853,14.87411,14.71982,15.45475,15.63601,15.51854,15.67710,15.73060,16.03154,16.12121,16.29633,16.46015,16.80380,16.99060,17.51339,18.64359,19.74161,20.31693,20.24602,20.33094,20.08124,19.76802,19.32335,18.63747,18.19506,17.93232,17.38077,16.97410,16.71154,16.44982,16.17774,15.85611,15.87695,15.54093,16.43719,16.90867,16.66938,16.15888,15.48194,16.00007,16.52980,15.82247
2016,Turramurra 33_11kV,03MAY2015,MW,16.50184,16.32999,15.50307,15.48677,15.66147,14.73219,13.98007,13.08452,12.36796,11.63620,11.15558,10.67809,10.38033,10.04707,9.80569,9.75524,9.76905,9.70367,9.61836,9.55300,9.67391,9.82580,9.97139,10.07769,10.24686,10.45378,10.83241,10.96700,11.26904,11.90287,12.45251,13.13144,13.67583,14.21088,14.80347,15.35282,16.06317,16.24205,16.54894,16.71515,16.69938,16.83030,16.57943,16.42577,16.25352,16.33897,16.25146,16.16350,16.28354,16.10022,15.82138,15.75805,15.43059,15.37972,15.24973,15.10196,14.95815,14.72951,14.68713,14.55096,14.59939,14.94829,15.36176,15.63327,15.95144,16.44635,17.07162,17.65011,18.09342,19.25604,20.05133,20.63918,20.77259,20.58860,20.45905,20.08224,19.77000,19.23280,18.80367,18.36648,17.88441,17.61621,17.26083,16.87393,16.47348,15.94288,15.80861,15.21882,16.02927,16.57291,16.19444,15.53388,14.65704,15.21314,15.80934,15.06983
2016,Turramurra 33_11kV,04MAY2015,MW,15.65123,15.42964,14.50513,14.84559,14.89478,14.15864,13.27994,12.55905,11.94624,11.46569,10.98053,10.38376,10.12039,9.80616,9.72246,9.62476,9.69435,9.61857,9.53909,9.78372,9.89518,10.23295,10.70895,11.44410,12.37636,13.68815,14.90950,15.50536,15.83360,16.61527,16.71408,16.76445,16.60523,16.37897,16.40360,16.26952,16.21155,15.88285,15.80592,15.63791,15.71953,15.57220,15.22509,15.21521,14.99543,15.18747,14.98261,14.92820,14.97142,14.79270,14.84536,14.69542,14.50719,14.42674,14.50083,14.42817,14.35842,14.32425,14.44291,14.24546,14.11550,14.19421,14.44171,14.56639,14.82007,15.23669,15.56621,16.04364,16.48969,17.56233,18.66096,19.84048,20.13532,20.18322,20.49540,20.16176,19.99035,19.56640,19.26573,18.85356,18.51951,17.94197,17.50213,17.17098,16.75980,16.36437,16.03077,15.56887,16.44856,16.87555,16.24104,15.55569,14.75788,15.23691,15.84573,15.00268
2016,Turramurra 33_11kV,05MAY2015,MW,15.63317,15.39271,14.32502,14.41873,14.49209,13.74608,13.00576,12.37473,11.72387,11.15417,10.56867,10.38079,10.06890,9.82831,9.58706,9.56769,9.65575,9.60827,9.72768,9.73065,10.07623,10.32078,10.87171,11.59220,12.69141,14.09961,15.59922,15.83819,15.76913,16.35982,16.15061,16.31474,15.91551,15.76773,15.54182,15.25525,15.04495,14.93167,14.72516,14.54014,14.17514,13.94424,13.85990,13.91215,13.72703,13.58463,13.61816,13.66555,13.65925,13.56325,13.50116,13.49570,13.39578,13.24952,13.26729,13.34480,13.33550,13.38453,13.27708,13.32415,13.28953,13.32875,13.31615,13.63412,13.70417,13.93503,14.25517,14.70430,15.23931,16.16411,17.37250,18.16528,18.50243,18.98539,19.02163,18.93896,18.54427,18.31517,18.13202,17.76679,17.35347,16.97212,16.55360,16.07144,15.71547,15.47231,15.15509,14.46058,15.28737,15.87034,15.37797,14.80179,14.14775,14.57879,14.89322,14.47494
2016,Turramurra 33_11kV,06MAY2015,MW,15.01453,14.65914,13.91658,13.94735,14.15153,13.38893,12.73981,11.88109,11.23890,10.80078,10.42076,10.10869,9.80842,9.54100,9.51444,9.31919,9.42769,9.31956,9.40866,9.57205,9.74259,10.11571,10.68330,11.45264,12.50823,14.05551,15.49272,16.24378,16.44614,17.05840,17.04224,16.76132,16.59171,16.22313,16.06194,15.77262,15.72673,15.52994,15.23586,14.97945,14.72305,14.35379,14.23137,14.03766,13.96626,13.84937,13.56806,13.50607,13.42562,13.45444,13.30614,13.24598,13.09347,13.05470,13.01033,13.04327,13.01449,13.13383,13.11489,13.16987,13.27580,13.29678,13.62036,14.09759,14.39926,14.77537,15.50813,15.85228,16.46889,18.04193,19.59457,20.71207,21.37787,21.75199,22.04606,21.94946,21.59550,21.36413,21.35852,21.35639,20.94077,20.33223,20.09317,19.66155,19.18607,18.74679,18.36007,17.77544,18.17273,18.26347,17.56008,16.78631,15.77827,16.05741,16.61802,15.96183
2016,Turramurra 33_11kV,07MAY2015,MW,16.45517,16.09443,15.03549,15.06407,15.16809,14.46903,13.66062,12.97662,12.32924,11.95253,11.31349,10.95841,10.74926,10.37845,10.20696,10.00699,10.06299,10.16563,10.06654,10.19794,10.54813,11.09403,11.77771,12.51566,14.08694,15.84817,17.71849,18.40028,18.74849,19.14560,19.15480,18.98024,18.72706,18.23367,17.78425,17.52569,16.95861,16.66584,16.36863,16.02457,15.66491,15.28644,14.87759,14.77677,14.67809,14.41083,14.06852,13.99361,13.91005,13.82964,13.76986,13.74868,13.59841,13.72881,13.65553,13.56478,13.49901,13.54832,13.57439,13.50714,13.64024,13.63506,14.01513,14.27109,14.85200,15.42577,16.12661,16.81989,17.81640,19.43043,21.08776,21.89268,22.56626,23.18423,23.38024,23.56512,23.30996,23.10322,22.88926,22.61561,22.37073,21.92148,21.39836,21.14565,20.72481,20.14351,19.62205,18.68686,19.14826,19.56771,18.69804,17.75663,16.72716,16.92032,17.35261,16.56940
2016,Turramurra 33_11kV,08MAY2015,MW,17.00020,16.65162,15.57619,15.66822,15.89617,14.82419,14.05856,13.34686,12.77703,12.10450,11.73373,11.34442,11.02160,10.86068,10.66143,10.40670,10.45414,10.44435,10.49594,10.51097,10.89391,11.34511,11.79820,12.84325,14.23285,16.03259,18.18624,19.10640,19.46192,19.88611,19.76311,19.59244,19.15571,18.94789,18.61233,18.12317,17.93350,17.42355,17.07665,16.62544,16.25037,15.77329,15.48826,15.31447,14.95608,14.75850,14.40256,14.47596,14.33066,14.32621,14.30357,14.13204,14.10301,14.03735,14.02476,14.06623,13.79160,13.70124,13.66067,13.71008,13.81669,13.84318,14.17870,14.44882,14.84427,15.39541,16.04650,16.94301,17.89456,19.30204,20.63404,21.80324,22.37961,22.98294,23.12550,23.28398,23.18686,22.89726,22.68488,22.55323,21.94152,21.65988,21.31828,20.86822,20.45537,20.09876,19.63023,18.77028,19.36570,19.69726,18.89013,17.87487,16.90296,17.26147,17.65512,16.90710
2016,Turramurra 33_11kV,09MAY2015,MW,17.36788,16.95236,15.65668,15.81430,15.90336,15.04841,14.28106,13.50905,12.91095,12.27484,11.74274,11.26801,11.02608,10.69446,10.52708,10.52808,10.41040,10.23398,10.35454,10.31379,10.48611,10.67735,10.81031,11.30757,11.86115,12.78496,13.56815,14.15170,14.89624,15.82401,16.59657,17.15767,17.59542,17.72083,17.82349,17.70229,17.34940,17.25947,16.88345,16.41587,16.12815,15.67765,15.16958,14.97023,14.77061,14.54026,14.42171,14.30469,13.90232,13.69299,13.55841,13.52148,13.26304,13.49781,13.59131,13.58670,13.51614,13.44765,13.30812,13.61537,13.71008,13.94457,14.17993,14.46204,14.85986,15.33140,15.97645,17.11772,18.11016,19.74615,21.11785,22.17573,22.57136,22.97139,22.89763,22.67485,22.07746,21.61406,21.21496,20.84521,20.41317,20.35227,19.81485,19.63449,19.23355,18.91830,18.51241,18.08743,18.87191,19.17418,18.63561,17.99652,17.07811,17.62272,18.14638,17.25049
2016,Turramurra 33_11kV,10MAY2015,MW,17.82718,17.61942,16.59664,16.54011,16.59286,15.78108,15.09278,14.24530,13.53075,12.98847,12.42291,11.99884,11.46894,11.07536,10.99255,10.73896,10.67632,10.56971,10.46971,10.52492,10.67547,10.81378,10.93631,11.21911,11.55703,12.15429,12.87046,13.28718,13.84985,14.81505,15.81565,16.42650,17.09091,17.42698,17.67705,17.70747,17.59510,17.52791,17.28963,16.86645,16.52992,16.01138,15.76531,15.40944,15.09347,14.96623,15.00988,15.28654,15.29557,15.42111,15.25226,14.70854,14.29382,14.31663,13.99318,13.64426,13.55474,13.73674,13.69110,13.82213,14.10640,14.59288,15.22779,15.54693,16.07247,16.47745,17.13478,18.06561,19.02820,20.19245,21.38842,22.31717,22.61629,22.70133,22.91836,22.80551,22.35273,22.12513,22.00832,21.36744,21.04239,20.40656,19.83134,19.37306,18.88546,18.28009,17.88539,17.14921,17.52403,17.72432,17.20116,16.37427,15.51950,15.97184,16.65080,16.08305
2016,Turramurra 33_11kV,11MAY2015,MW,16.65915,16.30837,15.38973,15.44470,15.52972,14.77275,13.95940,13.30165,12.79068,12.06226,11.59584,11.15329,10.87885,10.61985,10.26469,10.25176,10.15255,10.21312,10.27048,10.34951,10.62106,10.97618,11.50397,12.31697,13.45663,15.10030,16.94395,17.38868,17.72493,18.04780,18.20222,18.04017,17.79107,17.59481,17.06783,16.79087,16.60886,16.23840,15.94544,15.72473,15.36997,15.00409,14.87573,14.71697,14.57276,14.37644,14.22525,14.22250,14.10760,14.06791,13.95047,13.91443,13.77057,13.84381,13.85695,13.60307,13.53405,13.60039,13.72271,13.82040,13.76702,13.93395,14.18305,14.47017,14.75099,15.24309,15.89732,16.52381,17.39752,19.07161,20.48486,21.51411,21.94100,22.36236,22.59178,22.40695,21.92098,21.70373,21.30915,21.12337,20.80568,20.32023,19.96289,19.55402,18.92086,18.17727,17.73862,16.92400,17.51294,17.73800,17.11029,16.46468,15.50979,15.89840,16.33131,15.69334
2016,Turramurra 33_11kV,12MAY2015,MW,16.36993,16.12795,15.22975,15.30305,15.41078,14.45595,13.81813,13.16263,12.60743,11.91003,11.47792,11.04576,10.75088,10.44008,10.34885,10.21134,10.23672,10.22634,10.18203,10.35897,10.66048,11.14189,11.69780,12.60975,13.91570,15.86192,17.70567,18.53522,18.58735,19.01240,19.12483,18.84943,18.34610,18.13148,17.66334,16.98890,16.48834,15.99689,15.81801,15.46843,15.18959,14.90320,14.64945,14.49258,14.28029,14.14947,14.10173,14.02892,13.85770,13.83848,13.77039,13.77990,13.60921,13.45923,13.33465,13.54928,13.35070,13.38647,13.40819,13.55410,13.63254,13.91993,14.00619,14.36595,14.82285,15.14491,15.86433,16.72591,17.62727,19.25696,20.56569,21.86743,22.23680,22.70089,22.75310,22.70507,22.45958,21.90251,21.69309,21.32746,21.06835,20.46705,19.99842,19.41841,18.98021,18.23820,17.81023,16.93246,17.54003,17.77641,16.96164,16.07366,15.33118,15.71598,16.26051,15.52714
2016,Turramurra 33_11kV,13MAY2015,MW,16.23804,15.97611,15.02978,15.22272,15.26273,14.44502,13.68835,12.97917,12.44295,11.92190,11.24843,10.90305,10.65695,10.29577,10.18001,10.24407,10.22049,10.00938,9.95770,10.21715,10.50135,10.96936,11.64590,12.72598,13.75936,15.53101,17.24542,18.12269,18.27971,18.86356,18.88960,18.56516,18.34833,17.92671,17.46077,17.13572,16.82023,16.61837,16.34939,16.11136,15.56724,15.26166,15.03441,14.97412,14.88672,14.67822,14.53686,14.49377,14.44065,14.53680,14.90978,14.99121,15.26267,14.77093,14.63677,14.42783,14.43668,14.32356,14.49474,14.52111,14.55682,14.77449,15.11926,16.34898,18.11006,19.31479,20.53848,21.78788,22.79986,24.05482,25.39222,26.41532,27.12480,27.71552,27.94711,27.94478,27.53922,27.21374,27.01299,26.74521,26.40053,25.68005,24.99245,24.46276,23.95505,22.93556,22.10127,21.05649,21.28769,21.20736,20.03853,19.06103,18.33698,18.33698,18.33698,18.33698
2016,Turramurra 33_11kV,14MAY2015,MW,18.33698,18.33698,18.33698,18.33698,18.33698,18.33698,18.33698,18.33698,18.33698,18.33698,18.33698,17.89311,11.86903,11.63014,11.45078,11.31991,11.45167,11.24595,11.20549,11.40964,11.82357,12.32083,13.09372,14.22758,15.84480,18.34065,20.59593,21.54074,22.11494,23.07348,24.18006,24.29268,23.91144,23.37684,22.77612,21.99478,21.13470,20.79819,20.79779,20.79779,20.79779,20.79779,20.79779,20.79779,20.79779,18.00239,16.69242,16.67881,16.56883,16.29025,16.42506,16.25969,16.04729,15.92849,15.85973,15.82116,15.84032,15.86078,15.75322,15.71951,15.96327,16.24877,16.66517,17.23537,18.04593,18.65084,19.51789,20.73992,22.15090,24.10899,26.01195,27.00557,26.75867,27.30747,27.87555,27.70930,27.55730,27.22728,26.98320,26.50183,26.26857,25.81446,25.21487,24.57343,23.84113,23.18517,22.26494,21.24018,21.70322,21.72614,20.63842,19.37889,18.27451,18.16940,18.55012,17.73586
2016,Turramurra 33_11kV,15MAY2015,MW,18.15096,17.81479,16.85578,16.89660,16.98707,16.22350,15.39105,14.73035,13.90001,13.20992,12.46076,12.10890,11.82727,11.60876,11.42744,11.19805,11.10408,11.07672,11.01984,11.23896,11.51003,12.21946,12.83673,13.81100,15.21295,17.16805,19.15558,20.31667,20.80696,21.49887,21.59698,21.59458,21.20112,20.84172,20.13878,19.62577,19.11923,18.55639,17.97300,17.58004,17.24180,16.68928,16.26262,16.14103,15.93971,15.98139,15.49518,15.30499,15.38504,15.14543,14.95815,14.91024,14.84324,14.44591,14.53496,14.83288,14.42922,14.49194,14.48855,14.47969,14.53483,14.86311,15.23670,15.80124,16.47875,17.07551,17.80589,18.61497,19.62038,21.10643,22.30397,22.99384,23.32297,23.70004,23.89555,23.56709,23.18270,22.96173,22.73981,22.41135,21.84126,21.44278,20.80781,20.39046,19.96413,19.45171,18.97672,18.25987,18.80268,19.10673,18.55491,17.93758,16.88490,17.31554,17.74607,17.00135
2016,Turramurra 33_11kV,16MAY2015,MW,17.32561,17.06127,16.03675,16.22373,16.14114,15.19275,14.44886,13.75410,13.15443,12.31400,11.74053,11.42116,11.14234,10.79955,10.64555,10.56612,10.45651,10.22122,10.28995,10.27852,10.60109,10.75522,11.07076,11.45278,11.96290,12.61657,13.50386,13.98175,14.55744,15.29021,15.91152,16.47704,16.78956,16.95361,17.30548,17.08746,17.10400,17.05941,16.63070,16.33881,16.35824,16.24741,16.04174,15.95083,15.62791,15.49830,15.22834,15.54852,15.40135,14.97847,14.88057,14.77422,14.58296,14.64957,14.55862,14.53250,14.59103,14.42839,14.39621,14.45547,14.54135,14.56224,14.99816,15.29754,15.87871,16.25082,16.93197,18.07902,19.21233,20.98278,22.21693,22.87961,23.21231,23.56122,23.35005,22.84409,22.29574,22.15494,21.43054,20.86141,20.56012,20.12388,19.83182,19.50522,18.98161,18.45573,18.04595,17.55901,18.19573,18.69720,18.35517,17.88250,16.98009,17.49034,17.99496,17.24535
