year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Umina 66_11kV,01MAY2015,MW,15.68904,18.35563,16.74837,14.37401,12.91287,12.58411,14.28269,12.94940,11.25082,10.10016,9.07736,8.38332,7.87192,7.21440,6.90391,6.92217,7.19614,7.19614,7.19614,7.19614,7.52490,7.79886,8.10935,8.43811,9.29653,10.33760,11.30561,11.26908,10.20975,10.84900,11.23255,11.37867,11.41519,11.52478,11.01338,10.97685,11.03164,10.84900,10.84900,10.81247,10.77594,10.26454,10.53851,10.83074,10.86727,11.06817,10.75768,10.79421,10.70289,10.73942,10.33760,10.46545,10.04537,9.47918,8.94951,9.07736,9.26001,9.13216,9.04083,9.31480,9.69835,9.93579,10.46545,10.50198,10.50198,10.97685,11.25082,11.87180,12.87634,13.99046,14.68451,15.41508,15.65251,15.39681,15.14111,14.99500,14.70277,14.39228,14.17311,13.84435,15.14111,14.00873,14.48360,13.57038,14.17311,13.20510,12.62064,11.89007,11.76222,14.52013,16.12739,14.39228,16.73011,15.63425,18.00861,16.52920
2016,Umina 66_11kV,02MAY2015,MW,15.34202,18.31910,16.58399,14.08178,12.71196,12.21882,14.22790,12.82155,11.17776,10.10016,9.02257,8.49290,7.78060,7.05002,6.84912,6.84912,6.79432,6.44730,6.44730,6.77606,6.79432,6.90391,7.03176,7.10482,7.43357,7.67101,8.36505,8.73034,8.36505,9.07736,9.47918,9.89926,10.00884,10.57504,10.83074,11.10470,11.57957,11.39693,11.96312,11.98139,11.57957,11.37867,11.17776,11.15949,11.52478,10.97685,10.75768,11.17776,11.70742,11.70742,11.57957,11.26908,10.50198,10.81247,11.72569,11.83527,11.54304,11.54304,11.26908,11.15949,11.01338,11.25082,11.57957,11.78048,11.72569,12.10924,12.58411,13.36948,13.60691,14.77583,15.52466,15.54293,15.72557,15.57946,15.12285,14.75756,14.30096,13.66170,13.33295,12.96766,13.95393,12.80328,13.73476,12.76675,13.51559,12.38320,11.85354,11.10470,11.25082,14.08178,15.72557,14.20963,16.54747,15.50640,17.77118,16.36482
2016,Umina 66_11kV,03MAY2015,MW,15.14111,18.33737,16.91275,14.44707,12.96766,12.76675,14.57492,13.18683,11.46999,10.31934,9.13216,8.38332,7.85365,7.28746,7.15961,7.23267,6.95870,6.81259,6.84912,6.53862,6.75780,6.81259,6.72127,7.06829,7.08655,7.19614,7.43357,7.98150,7.56142,8.32853,8.96778,9.64356,10.10016,10.75768,11.19602,11.45172,11.87180,12.10924,12.34667,12.58411,12.45626,12.60237,12.71196,12.82155,12.65717,12.54758,12.29188,12.23709,12.18230,11.99965,11.78048,11.78048,11.61610,11.50652,11.48825,11.23255,11.17776,11.21429,10.95859,10.83074,11.36040,11.43346,11.92660,12.43800,12.83981,13.35121,14.10005,14.62971,14.81236,15.26896,15.85342,16.10912,15.99954,15.59772,15.39681,15.01326,14.59318,14.11831,13.44253,13.05898,14.17311,13.07725,13.69823,12.65717,13.20510,11.98139,11.36040,10.66636,10.62983,13.29642,14.95847,13.36948,16.27350,14.95847,17.13192,15.85342
2016,Umina 66_11kV,04MAY2015,MW,14.62971,17.75291,16.36482,13.95393,12.76675,12.54758,14.26443,12.65717,10.97685,9.44265,8.51117,7.89018,7.47010,7.10482,6.86738,6.90391,6.73953,7.14135,6.95870,7.21440,7.72580,7.96324,8.09109,8.49290,9.09563,9.97231,10.53851,10.90379,9.64356,10.35586,10.61156,10.95859,10.88553,11.03164,10.77594,10.35586,10.52024,10.33760,10.33760,10.52024,10.24628,10.17322,10.15496,10.19149,10.22801,10.02711,10.15496,10.15496,10.04537,10.02711,9.97231,10.17322,10.22801,10.13669,10.17322,10.08190,10.08190,10.08190,9.71661,9.73488,9.80794,10.04537,10.24628,10.53851,10.72115,11.06817,11.65263,12.60237,13.09551,14.08178,15.32376,15.79863,15.87169,15.59772,15.25070,14.99500,14.22790,13.64344,13.51559,13.31468,14.41054,13.38774,14.19137,13.13204,13.62518,12.49279,11.70742,11.17776,11.46999,14.08178,15.56119,13.71650,16.32829,14.94021,17.22325,15.92648
2016,Umina 66_11kV,05MAY2015,MW,14.68451,17.84423,16.09086,13.77129,12.36494,12.32841,13.95393,12.45626,10.94032,9.68009,8.45638,7.94498,7.43357,7.47010,7.30572,6.99523,6.99523,6.97697,7.21440,7.32399,7.61622,8.14588,8.40158,8.89472,9.58876,10.55677,11.17776,11.32387,9.97231,10.46545,10.95859,10.92206,10.57504,10.52024,9.99058,9.47918,9.42438,9.02257,9.04083,8.93125,8.74861,8.76687,8.58423,8.38332,8.41985,8.27373,8.32853,8.27373,8.31026,8.36505,8.36505,8.31026,8.38332,8.41985,8.16415,8.41985,8.41985,8.47464,8.65728,8.65728,8.78513,8.98604,9.27827,9.53397,9.82620,10.19149,10.68462,10.79421,11.17776,12.36494,13.40600,14.37401,14.44707,14.50186,14.41054,14.04526,13.49733,13.18683,13.02245,12.58411,13.91741,12.83981,13.33295,12.29188,12.83981,11.90833,11.25082,10.52024,10.41066,13.22336,14.86715,13.07725,15.67078,14.35575,16.69358,15.17764
2016,Umina 66_11kV,06MAY2015,MW,14.11831,17.09540,15.28723,12.96766,11.85354,11.65263,13.42427,12.01792,10.35586,9.27827,8.51117,7.56142,7.32399,7.23267,7.14135,6.84912,6.90391,6.95870,7.17787,7.37878,7.68928,8.18241,8.51117,9.07736,9.77141,10.75768,11.57957,11.98139,10.26454,10.97685,10.83074,11.08644,11.06817,10.66636,10.10016,9.88099,9.78967,9.46091,9.20521,8.94951,8.78513,8.63902,8.29200,8.14588,7.81713,7.92671,7.83539,8.05456,8.16415,8.07283,7.92671,7.99977,7.90845,7.79886,7.94498,7.99977,7.92671,7.92671,7.96324,8.01803,8.34679,8.52943,8.62076,9.24174,9.42438,10.13669,10.57504,11.26908,12.07271,13.42427,14.73930,15.59772,15.50640,15.61599,15.65251,15.37855,15.36029,14.94021,14.77583,14.37401,15.67078,14.66624,15.26896,14.28269,14.68451,13.55212,12.83981,12.05445,11.96312,14.52013,16.10912,14.44707,16.73011,15.46987,17.77118,16.20044
2016,Umina 66_11kV,07MAY2015,MW,14.99500,18.30084,16.58399,14.33748,13.15030,12.91287,14.62971,13.00419,11.36040,10.13669,9.02257,8.29200,7.92671,7.76233,7.41531,7.05002,7.12308,7.52490,7.65275,7.81713,8.25547,8.82166,9.15042,9.62529,10.73942,11.36040,12.62064,12.91287,11.56131,12.09097,12.47452,12.49279,12.07271,11.81701,11.39693,10.68462,10.17322,10.06364,9.88099,9.44265,9.13216,8.85819,8.52943,8.47464,8.65728,8.41985,8.14588,8.18241,8.12762,8.31026,8.20068,8.10935,8.10935,7.87192,8.07283,8.05456,8.05456,8.10935,7.99977,8.10935,8.25547,8.62076,9.27827,9.24174,9.53397,10.39239,11.19602,11.79875,12.51105,14.08178,15.12285,16.12739,16.32829,16.47441,16.45614,16.16392,15.79863,15.74384,15.39681,15.06806,16.51094,15.70731,16.25524,15.03153,15.61599,14.53839,13.82608,12.98593,12.87634,15.54293,16.80317,14.92194,17.44242,15.96301,18.33737,16.74837
2016,Umina 66_11kV,08MAY2015,MW,15.70731,18.64786,17.18672,14.68451,13.33295,13.36948,15.15938,13.55212,11.72569,10.50198,9.62529,8.96778,8.51117,7.72580,7.39705,7.39705,7.63448,7.54316,7.39705,7.76233,8.27373,8.67555,9.27827,9.84446,10.92206,12.12750,13.07725,13.42427,12.21882,12.65717,12.83981,12.54758,12.47452,12.10924,11.89007,11.41519,10.83074,10.28281,10.24628,9.88099,9.68009,9.26001,8.94951,8.65728,8.41985,8.23720,8.23720,8.36505,8.41985,8.47464,8.18241,8.32853,8.21894,8.47464,8.10935,8.10935,8.34679,8.45638,8.36505,8.49290,8.74861,8.85819,9.33306,9.55223,10.13669,10.75768,11.23255,12.09097,12.76675,14.06352,15.28723,16.18218,16.49267,16.62052,16.94928,16.83970,16.51094,15.99954,15.90822,15.61599,17.24151,16.27350,17.05887,16.05433,16.45614,15.46987,14.88541,13.95393,13.88088,16.03607,17.46068,15.70731,18.44695,16.76664,18.97662,17.47895
2016,Umina 66_11kV,09MAY2015,MW,16.27350,19.52455,18.26431,15.52466,14.10005,13.84435,15.61599,14.11831,12.27362,10.99512,10.04537,9.24174,8.82166,8.36505,8.18241,7.94498,7.70754,7.70754,7.61622,7.63448,7.83539,8.12762,8.14588,8.23720,8.93125,9.58876,10.35586,11.17776,10.66636,11.30561,11.76222,12.47452,12.78502,12.87634,12.87634,12.65717,12.43800,12.47452,12.10924,11.83527,11.36040,10.81247,10.52024,10.19149,9.99058,9.68009,9.44265,9.57050,9.62529,9.09563,9.24174,9.20521,9.16868,8.85819,9.00431,8.83993,9.00431,9.04083,9.13216,9.20521,9.58876,9.44265,9.80794,10.10016,10.61156,11.14123,11.79875,12.82155,13.53385,14.68451,16.05433,16.47441,16.73011,16.65705,16.62052,16.36482,16.29177,15.56119,15.14111,14.88541,16.25524,15.30549,15.96301,14.97674,15.65251,14.48360,14.02699,13.04072,12.91287,15.59772,17.18672,15.57946,18.15473,16.83970,19.26885,17.71638
2016,Umina 66_11kV,10MAY2015,MW,16.83970,20.05421,18.42869,16.05433,14.88541,14.57492,16.09086,14.48360,12.67543,11.46999,10.41066,9.68009,8.93125,8.36505,7.98150,7.59795,7.57969,7.48837,7.48837,7.48837,7.48837,7.94498,8.10935,8.10935,8.49290,8.74861,9.69835,10.44719,10.02711,11.08644,11.54304,12.20056,12.62064,13.15030,13.18683,12.98593,12.89460,12.71196,12.29188,12.07271,11.59784,11.48825,10.97685,10.83074,10.55677,10.31934,9.77141,9.91752,10.42892,10.75768,10.66636,10.55677,10.77594,10.00884,9.69835,9.95405,9.27827,9.24174,9.36959,9.35133,9.49744,9.60703,9.75314,10.26454,10.99512,11.70742,12.52932,13.20510,13.66170,14.57492,15.54293,15.85342,16.07259,16.07259,16.14565,15.67078,15.46987,15.06806,14.75756,14.33748,15.45161,14.53839,15.19591,13.97220,14.42881,13.09551,12.56585,11.79875,11.59784,14.17311,15.41508,13.82608,16.63879,15.36029,17.91729,16.73011
