year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Vales Point 33_11kV,01MAY2016,MW,1.98525,1.95616,1.96681,1.96681,1.96681,1.96681,1.96681,1.96681,1.96681,1.96681,1.96681,1.96681,1.96681,1.96681,1.96681,1.96681,1.96599,1.88076,1.88076,1.88076,1.88529,1.92043,1.94222,1.89217,1.88691,1.88691,1.92240,1.90747,1.89927,1.92849,1.95271,1.89363,1.93275,1.93695,1.94448,1.92995,1.94596,1.94752,1.93608,1.93608,1.93608,1.93203,1.97728,1.94093,1.92513,1.91764,1.94379,2.00316,1.91764,1.94064,1.91390,1.52756,1.68407,1.71560,1.74574,1.78324,1.72710,1.77064,1.72089,1.71091,1.68993,1.68408,1.68408,1.70593,1.68801,1.60231,1.68862,1.70254,1.78730,1.80701,1.75346,1.76191,1.71771,1.80725,1.84246,1.84620,1.83774,1.81319,1.75565,1.72839,1.74075,1.78837,1.78306,1.80567,1.84065,1.88515,2.01598,2.05446,2.08284,2.10806,2.16709,2.17572,1.99970,2.08504,2.04850,2.06296
2017,Vales Point 33_11kV,02MAY2016,MW,2.10961,1.99847,2.02827,2.02827,2.02827,2.02827,2.02827,2.03414,1.99512,2.03262,1.99523,2.01226,2.00433,1.99754,2.00449,2.02386,2.00899,2.09894,2.07977,2.30585,2.22867,2.29070,2.37750,2.50837,2.53547,2.47964,2.29735,2.38086,2.33380,2.52808,2.11438,2.01168,2.05046,2.11173,2.25570,2.23740,2.23110,2.23110,2.23110,2.23110,2.23110,2.23110,2.23110,2.23110,2.23110,2.23110,2.23110,2.23110,2.16169,2.12183,2.14507,2.38531,2.49211,2.70150,2.60602,2.60602,2.60602,2.60602,2.60602,2.95530,2.78027,2.77812,2.77812,2.71496,2.80099,2.89300,2.84429,2.80728,2.89238,2.87897,2.90104,2.90104,2.90104,2.90104,2.90104,2.90104,2.90104,2.90104,2.90104,2.90104,2.90104,2.90104,2.90104,2.90104,2.90104,3.09319,3.55251,3.71417,3.77538,3.54662,3.28350,3.73497,3.70926,3.80798,3.55992,3.31874
2017,Vales Point 33_11kV,03MAY2016,MW,2.77283,2.76339,3.13755,3.61523,3.22742,3.57617,3.69290,3.81684,3.81684,3.81684,3.81684,3.81684,3.81684,3.81684,3.77684,3.12777,2.97229,2.87279,2.84936,2.79043,2.79679,3.16941,3.45468,3.39880,3.48317,3.15732,3.15342,3.40618,3.05352,3.10208,3.10135,3.27131,3.03158,2.89322,3.17907,2.69415,2.58979,2.78041,2.74739,2.74739,2.74739,2.74739,2.74739,2.74739,2.74739,2.74739,2.74739,2.74739,2.74739,2.74739,2.74739,2.74739,2.74739,2.74739,2.74739,2.74739,2.74739,2.74739,2.74739,2.73440,2.86195,3.30639,3.34253,3.65968,3.58568,3.72438,3.99473,4.16103,4.16103,4.16103,4.16103,4.16103,4.16103,4.16103,4.16103,4.16103,4.16103,4.16103,4.16103,4.16103,4.12425,3.77173,3.98521,4.10112,3.42388,3.19293,3.79135,3.46986,3.40348,3.50320,3.52325,3.53700,3.61376,3.81684,3.81684,3.81684
2017,Vales Point 33_11kV,04MAY2016,MW,3.81684,3.81684,3.81684,3.81684,3.81684,3.81684,3.81684,3.70334,3.38834,3.78854,3.49985,3.37621,3.56730,3.36455,2.82683,2.82646,3.27582,3.49870,3.64994,3.63295,2.97183,3.05119,3.35825,3.35921,2.88770,3.03726,2.84858,2.74306,2.52426,2.62485,2.59971,2.51630,2.44487,2.62068,2.50176,2.37543,2.42777,2.29034,2.29871,2.29871,2.29871,2.29871,2.29871,2.29871,2.29871,2.29871,2.29871,2.29871,2.20010,2.21328,2.30138,2.46594,2.20020,2.28762,2.26786,2.30907,2.35158,2.49678,2.29021,2.28642,2.28642,2.28642,2.28642,2.28642,2.28642,2.28642,2.28831,3.32633,3.42770,3.44061,3.61253,3.54078,3.36707,3.41188,3.09804,2.85729,2.65153,2.91074,2.94670,2.71720,2.72516,2.72355,2.80562,2.63252,2.60166,2.74178,2.80977,2.89299,2.84212,2.76519,2.87577,2.98210,2.83517,2.67763,2.81675,2.82068
2017,Vales Point 33_11kV,05MAY2016,MW,2.77290,2.93772,3.05379,2.83146,2.88820,2.66665,2.91233,2.91217,2.79155,3.27752,2.94745,3.06430,3.29884,2.91258,3.02211,3.27079,3.18919,2.96738,2.94926,2.96187,2.88112,3.00291,2.86109,2.67070,2.53564,2.54518,2.64651,2.77202,2.46644,2.50155,2.40400,2.57936,2.40282,2.34775,2.39644,2.40785,2.41288,2.34186,2.28929,2.46435,2.69698,2.53022,2.85489,3.06895,3.07314,3.07314,3.07314,3.07314,3.07314,3.07314,3.07314,3.07314,3.07314,3.07314,3.07314,3.18889,3.22335,3.03264,2.90015,3.56204,3.18184,3.11716,3.70423,4.00309,3.95220,4.03787,3.85993,4.01177,3.88168,3.94958,4.02521,3.75860,3.60691,3.82944,3.94067,3.39061,3.65543,3.85092,3.39750,3.79049,3.81845,3.83427,3.74440,4.06884,4.06884,4.06884,4.06884,4.06884,4.06884,3.99195,3.12232,3.19553,3.24873,3.34896,3.32171,3.70833
2017,Vales Point 33_11kV,06MAY2016,MW,3.60921,3.68991,3.61612,3.35773,3.30665,3.44484,3.36727,3.35747,3.50165,3.49622,3.50094,3.59286,3.65450,3.35064,3.50026,3.35641,3.68731,3.49499,3.13182,3.08217,3.54018,3.54793,3.89890,3.34765,3.64015,3.53932,3.20047,2.94191,2.96425,2.99515,3.09921,3.06505,2.81480,3.36980,3.07718,3.65471,3.55741,3.25110,3.12320,3.42401,3.28621,3.49351,3.33112,3.02535,2.97572,3.22864,3.17602,3.63252,3.85843,3.99585,3.94456,4.03985,3.82530,3.75161,3.71600,3.60128,3.65717,3.93078,3.60978,3.32509,3.03185,2.73977,2.71660,2.37823,2.41173,2.46915,2.39928,2.44635,2.51542,2.41506,2.42213,2.50504,2.39161,2.33919,2.41557,2.35304,2.32953,2.35119,2.38369,2.41610,2.51132,2.44088,2.53946,2.56431,2.72880,2.78608,2.77539,2.77131,2.71578,2.62321,2.62643,2.92140,2.77673,2.61078,2.65582,2.68173
2017,Vales Point 33_11kV,07MAY2016,MW,2.79542,2.57283,2.64342,2.60920,2.62568,2.93689,2.79103,2.65163,2.54814,2.46046,2.46463,2.45554,2.40810,2.39649,2.16266,2.08730,1.99883,1.91474,1.89136,1.93888,1.99002,1.91378,2.14849,1.93233,1.87737,1.87929,1.87995,1.85383,1.78182,1.77255,1.73025,1.77468,1.72963,1.72603,1.78793,1.87750,1.87139,1.86060,1.81777,1.84128,1.81124,1.80247,1.77176,1.83390,1.77515,1.76830,1.80383,1.80695,1.84986,1.91692,1.90204,1.91623,1.89091,1.89133,1.85188,1.83980,1.92105,1.93094,1.93288,1.92245,1.92777,1.91286,1.95242,1.88811,1.79613,1.86127,1.91065,1.88133,1.85356,1.85625,1.87462,1.87462,1.86939,1.86290,1.86697,1.87462,1.89403,1.92796,1.82048,1.83159,1.85201,1.83774,1.83789,1.80657,1.73378,1.79267,1.65190,1.72398,1.81937,1.84063,1.81491,1.90644,1.83991,1.79835,1.81867,1.86133
2017,Vales Point 33_11kV,08MAY2016,MW,1.87449,1.82824,1.79039,1.76963,1.75169,1.72695,1.68406,1.69023,1.69023,1.70221,1.71481,1.75827,1.75784,1.73238,1.77963,1.73325,1.73527,1.74023,1.74581,1.72575,1.74861,1.70943,1.74394,1.73910,1.75682,1.69570,1.69023,1.68622,1.67793,1.64786,1.68120,1.68408,1.69767,1.68945,1.71079,1.78017,1.74947,1.77013,1.72609,1.71494,1.70040,1.67793,1.67793,1.71312,1.73027,1.70867,1.70867,1.76140,1.70867,1.72577,1.75961,1.73039,1.73352,1.70853,1.69807,1.69281,1.70777,1.68949,1.67326,1.69283,1.69337,1.73083,1.79580,1.74182,1.74407,1.77294,1.75375,1.74828,1.78825,1.74244,1.72710,1.75297,1.74554,1.75907,1.75489,1.79455,1.76398,1.75828,1.86426,1.73267,1.78333,1.78874,1.83280,1.87462,1.87462,1.87462,1.87462,1.87462,1.87462,1.87462,1.87462,1.87462,1.87462,1.87462,1.87462,1.87462
2017,Vales Point 33_11kV,09MAY2016,MW,1.87462,1.87462,1.87462,1.87462,1.87462,1.84953,1.78881,1.91891,1.87756,1.89192,1.95947,1.95727,1.88054,1.90912,1.91154,1.95221,1.94408,1.98525,2.01390,1.96506,1.91962,1.92680,1.94364,2.05328,2.04131,1.95352,1.61632,1.63599,1.89028,2.02309,2.11547,2.04597,2.13900,2.82919,2.70288,2.65869,2.80142,2.80481,2.92256,2.84045,2.96988,2.95337,3.03458,2.97545,2.86634,2.79060,2.61832,2.61832,2.61832,2.61832,2.61832,2.61832,3.06995,2.84048,2.76453,2.89989,2.98483,3.03152,3.05318,3.54214,3.64966,3.55487,3.89953,4.05565,3.99966,3.91409,3.78399,3.95442,3.86828,3.57647,3.45708,3.38327,3.32635,3.56334,3.73442,3.95186,3.98132,3.55965,3.35127,3.70738,3.36882,3.40711,3.43709,3.13106,3.03447,3.43333,3.60311,3.51588,3.77066,3.57205,3.33509,3.78175,3.72688,4.16030,4.43386,4.21328
2017,Vales Point 33_11kV,10MAY2016,MW,3.92705,3.86448,4.29568,4.18272,4.35829,4.13066,3.84253,3.48177,3.96332,4.25199,3.99090,3.80736,3.81162,4.18853,4.06124,4.18204,4.18419,4.09526,4.04892,3.48577,3.57349,3.73982,3.92496,3.46733,3.50078,4.01278,3.27919,3.35965,3.00599,3.00835,3.39717,3.16962,3.14586,2.98084,2.95169,2.91462,2.84317,2.66161,2.52589,2.49601,2.72405,2.62500,2.62297,2.71356,2.68298,2.50401,2.80429,2.82995,2.80655,2.66473,2.88772,2.74208,2.71088,2.74749,2.72156,2.80309,2.69430,2.74686,2.64624,2.91126,2.68510,2.89545,2.82669,2.83836,2.80548,2.62607,2.76068,2.79463,2.76716,2.97754,2.78135,2.75126,2.75531,2.36295,2.42058,2.45913,2.60777,2.84559,2.72235,2.86291,2.77322,2.71791,2.77912,2.79239,3.36390,3.21725,3.48906,3.59743,3.78255,3.62026,3.29315,3.77262,3.72015,3.78733,3.77382,3.77382
2017,Vales Point 33_11kV,11MAY2016,MW,3.77382,3.77382,3.77382,4.23165,4.40839,3.98094,3.69938,4.35085,4.11424,4.10503,4.24163,3.99064,3.78722,3.90535,4.41481,4.30036,4.28467,4.12030,3.78231,3.67707,4.10785,4.16626,4.14387,3.79338,4.18058,3.89296,3.48682,3.39813,3.27384,3.11435,3.01043,2.92590,2.82262,2.87820,2.90461,3.10105,2.95790,2.91888,2.80419,2.76688,2.78837,2.76519,2.82521,2.74110,2.80929,2.54689,2.59225,2.83797,2.75834,2.64894,2.58537,2.63807,2.93400,2.97617,2.89653,2.76856,2.81471,2.94704,3.66986,3.77705,3.43150,3.82157,3.78180,3.90817,3.60201,3.83677,4.02900,3.87225,4.04298,4.07237,3.97154,4.15423,4.13285,4.12286,4.25707,4.27747,4.19219,3.63114,3.98098,4.21347,4.12954,4.47527,4.38914,3.94579,3.44226,3.70548,4.29154,4.16558,4.18643,4.09009,4.20071,4.37983,4.07669,4.44163,4.36873,4.33489
2017,Vales Point 33_11kV,12MAY2016,MW,4.24795,4.12464,3.75183,3.16864,3.63934,3.47335,3.89499,4.04776,3.19881,3.84221,4.31097,4.26881,4.12925,3.75097,3.87828,4.28036,4.18103,3.97259,3.86458,3.73327,3.98079,4.18174,4.45486,4.38130,3.89738,3.23793,3.60857,3.62645,3.42087,3.65460,3.52778,3.08250,3.13893,3.38708,3.07943,3.01412,2.89933,2.88982,2.72537,3.20286,3.06042,3.08186,3.13953,3.04314,3.09590,3.03761,3.25932,3.30785,3.24033,3.09943,3.34231,3.37722,3.31894,3.37570,3.22517,3.00699,2.81385,2.82874,2.87665,3.37562,3.22587,3.12456,3.15865,3.54097,3.59319,3.52894,3.34027,3.44206,3.43271,3.65944,3.76090,3.79712,4.02615,4.22155,4.23239,4.42890,4.03042,4.10422,4.10080,4.14495,4.25100,4.15434,4.23457,3.85155,4.03983,4.20551,4.08766,3.93498,4.08871,3.66894,3.41876,3.86193,3.89495,4.24058,4.12476,4.16811
