year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Wallalong 33_11kV,01MAY2014,MW,1.47602,1.32518,1.30471,1.19528,1.13563,1.13563,0.96657,0.95287,0.88127,0.78441,0.78441,0.78441,0.78441,0.76171,0.61760,0.61760,0.68711,0.68796,0.68796,0.68796,0.68796,0.73280,0.78020,0.79898,0.95328,1.11869,1.11869,1.14352,1.24204,1.26443,1.38095,1.38095,1.38095,1.38095,1.38095,1.19749,1.16297,1.16297,1.08269,0.97652,0.97652,0.97652,0.97652,0.95048,0.91336,0.99365,0.99365,0.99365,0.99365,0.99365,0.99365,0.99365,0.99365,0.99365,0.94498,0.95802,0.87939,1.01848,1.01848,0.97534,0.94504,1.00606,1.04957,1.01371,1.09088,1.18872,1.18872,1.18872,1.34815,1.38732,1.52509,1.37322,1.37322,1.37322,1.37322,1.37322,1.37322,1.37322,1.36178,1.17715,1.17715,1.17715,1.17715,1.17715,1.17715,1.17715,1.17715,1.17715,1.17715,1.17715,1.17715,1.17715,1.48074,1.49212,1.49212,1.39425
2015,Wallalong 33_11kV,02MAY2014,MW,1.29080,1.29080,1.29080,1.24137,1.11460,1.01740,0.95184,0.95184,0.92642,0.77918,0.77918,0.77918,0.77918,0.77918,0.77918,0.77918,0.62626,0.61404,0.61404,0.61404,0.74831,0.80662,0.80662,0.80662,0.89546,0.99365,1.05647,1.38032,1.65689,1.71837,1.71837,1.71837,1.62859,1.53370,1.53370,1.53370,1.52578,1.36602,1.36602,1.36602,1.36602,1.36602,1.36602,1.36602,1.36602,1.36602,1.26881,1.32247,1.37768,1.26865,1.20476,1.20476,1.14051,1.03837,0.99935,1.04828,1.04828,1.03286,0.93718,1.15780,1.08123,1.07914,0.87313,0.74031,0.74031,0.82784,0.90529,0.94603,1.08634,1.08634,1.17027,1.26302,1.34851,1.44955,1.32004,1.28123,1.28123,1.28123,1.28123,1.28123,1.19696,1.08801,1.08801,1.08801,1.08801,1.08801,1.08801,1.11151,1.25390,1.19054,1.08494,1.08730,1.51266,1.51776,1.51776,1.43913
2015,Wallalong 33_11kV,03MAY2014,MW,1.35026,1.28867,1.17290,1.17290,1.17290,1.00384,0.99546,0.99546,0.84355,0.82924,0.82924,0.82924,0.79977,0.65531,0.65531,0.65531,0.63910,0.63890,0.63890,0.63890,0.63890,0.63890,0.63890,0.75609,0.84583,0.89235,1.17636,1.17636,1.26092,1.34455,1.41133,1.51506,1.53606,1.48999,1.60594,1.50234,1.34043,1.34043,1.39634,1.52175,1.52175,1.52175,1.50979,1.57638,1.55576,1.10033,0.96666,0.85648,0.85648,0.85648,0.85648,0.88894,0.87488,0.86284,0.93067,1.02674,1.02674,1.02674,1.02674,1.02674,1.02674,1.02674,1.02674,1.02674,1.02674,1.05344,1.20154,1.20154,1.26047,1.38597,1.56988,1.67973,1.74722,1.74722,1.87903,1.74950,1.74950,1.74950,1.67849,1.57073,1.46529,1.39082,1.39082,1.39082,1.39082,1.39082,1.39082,1.39082,1.39082,1.39082,1.30314,1.22379,1.49974,1.50363,1.48213,1.33896
2015,Wallalong 33_11kV,04MAY2014,MW,1.33896,1.19123,1.16459,1.16459,1.08429,0.98504,0.98504,0.98504,0.94576,0.81866,0.81866,0.81866,0.81866,0.81866,0.79776,0.65148,0.65148,0.65148,0.65148,0.65148,0.71669,0.81565,0.81565,0.81565,0.81565,0.81565,0.81565,0.98069,1.01848,1.15957,1.15957,1.30120,1.33009,1.33009,1.33009,1.33009,1.43641,1.50647,1.39953,1.42383,1.46963,1.32662,1.32662,1.24086,1.13296,0.98239,0.98239,0.98239,1.12622,1.15911,1.15911,0.97651,0.96288,0.96288,0.96288,0.96288,0.96288,0.96288,0.96288,0.96288,0.96288,0.96288,0.96288,0.96288,1.12896,1.14799,1.16382,1.31084,1.33633,1.53544,1.65662,1.73496,1.82350,1.82350,1.82350,1.82350,1.75765,1.61736,1.52886,1.42883,1.42883,1.42883,1.42883,1.42883,1.42883,1.32034,1.26263,1.26263,1.26263,1.26263,1.11336,1.09523,1.43021,1.44076,1.41127,1.26671
2015,Wallalong 33_11kV,05MAY2014,MW,1.26671,1.11314,1.10266,1.10266,0.99787,0.93195,0.90182,0.76508,0.76508,0.76508,0.76508,0.76508,0.76508,0.76508,0.76508,0.76508,0.76508,0.76508,0.76508,0.76508,0.76508,0.84040,0.94002,0.94002,1.04368,1.21726,1.40420,1.77065,1.95710,1.95710,1.83394,1.79468,1.59813,1.54235,1.64872,1.41896,1.34828,1.44823,1.44823,1.44823,1.44229,1.28386,1.28386,1.23748,0.99097,0.99097,0.99097,0.99097,0.92202,0.79855,0.79855,0.79855,0.79855,0.79855,0.79855,0.79855,0.79855,1.00948,1.24470,1.24470,1.24470,1.36409,1.45437,1.38279,1.45454,1.49982,1.59536,1.67992,1.85727,1.96756,1.74032,1.50645,1.67897,1.67897,1.67897,1.67897,1.67897,1.67897,1.56796,1.48776,1.48776,1.48776,1.48776,1.48776,1.48776,1.48776,1.48776,1.48776,1.47419,1.29237,1.29237,1.29237,1.59838,1.79616,1.79870,1.64542
2015,Wallalong 33_11kV,06MAY2014,MW,1.56475,1.47110,1.47110,1.38236,1.30385,1.17436,1.04564,0.96679,0.96679,0.96679,0.96679,0.96679,0.80445,0.79540,0.79540,0.79540,0.69943,0.69765,0.69765,0.69765,0.69765,0.08333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16317,0.38998,1.13928,1.25886,1.25886,1.25886,1.25886,1.25886,1.25886,1.25886,1.25886,1.25886,1.19374,1.09262,1.09262,1.09262,1.09262,1.09262,1.09262,1.09262,1.09262,1.03302,1.21991,1.36761,1.36761,1.20605
2015,Wallalong 33_11kV,07MAY2014,MW,1.19503,1.17648,1.03211,1.03211,1.03211,0.89132,0.86372,0.86372,0.68455,0.66152,0.66152,0.66152,0.66152,0.66152,0.66152,0.66152,0.57407,0.57300,0.57300,0.57300,0.57300,0.57300,0.70262,0.83369,0.83369,0.84092,1.09234,1.13781,1.20161,1.15941,1.28818,1.34022,1.42735,1.44425,1.30852,1.44854,1.27355,1.25590,1.25590,1.25590,1.15599,1.22502,1.22445,1.21644,1.12531,1.23036,1.04554,1.13099,1.16432,1.16432,1.22614,1.33684,1.64435,1.68217,1.59670,1.59670,1.59670,1.59670,1.59670,1.60468,1.68302,1.54507,1.56796,1.70604,1.70604,1.81137,1.79305,1.88910,1.98870,1.90032,1.22116,1.22116,1.22116,1.22116,1.35413,1.39523,1.38741,1.20752,1.20752,1.20752,1.20752,1.20752,1.17376,1.04547,1.04547,1.04547,1.04547,1.04547,1.04547,1.04547,1.04547,1.04547,1.23268,1.24312,1.24312,1.24312
2015,Wallalong 33_11kV,08MAY2014,MW,1.22650,1.07224,1.07224,1.04600,0.90651,0.88354,0.73064,0.73064,0.73064,0.73064,0.73064,0.73064,0.73064,0.65243,0.55575,0.55575,0.56352,0.56367,0.56367,0.56367,0.65096,0.72000,0.72000,0.73291,0.89203,0.71666,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.05025,0.68273,1.36227,1.40280,1.40280,1.50737,1.63989,1.50187,1.21061,1.21061,1.21061,1.21061,1.21061,1.21061,1.21061,1.21061,1.21061,1.13006,1.01063,1.02821,1.17295,1.16302,1.00277,1.00277,1.00277,1.00277,1.00277,1.00277,1.00277,1.21382,1.38317,1.32020,1.22300
2015,Wallalong 33_11kV,09MAY2014,MW,1.18353,1.05966,1.05966,1.05966,0.91408,0.89740,0.89740,0.74829,0.72913,0.72913,0.72913,0.72913,0.72913,0.72913,0.72913,0.66814,0.56404,0.56404,0.56404,0.56404,0.65462,0.74419,0.74419,0.74419,0.87224,0.93083,1.01724,1.52232,1.53193,1.61480,1.61480,1.61480,1.61480,1.61480,1.61480,1.45861,1.44991,1.43045,1.27909,1.27909,1.27909,1.27909,1.27909,1.27909,1.27909,1.27909,1.27909,1.27909,1.27909,1.27909,1.27909,1.27909,1.27909,1.27909,1.27909,1.27909,1.17671,0.92057,0.91741,0.91741,0.94255,1.01265,1.01265,1.01265,1.01265,1.01265,1.01265,1.01265,1.01265,1.01265,1.01265,1.01265,1.09224,1.29080,1.29080,1.29080,1.29080,1.29080,1.26309,1.12171,1.12171,1.12171,1.12171,1.12171,1.12171,1.12171,1.12171,1.12171,1.12171,1.12171,1.12171,1.12171,1.27874,1.31333,1.31333,1.31333
2015,Wallalong 33_11kV,10MAY2014,MW,1.29314,1.12693,1.12693,1.08707,0.95813,0.95813,0.83165,0.79493,0.79493,0.75035,0.61854,0.61854,0.61854,0.61854,0.61854,0.61854,0.61854,0.61854,0.61854,0.61854,0.61854,0.61854,0.61854,0.61854,0.67373,0.78275,0.89839,1.08013,1.16274,1.19248,1.33272,1.33272,1.33272,1.33272,1.33272,1.31422,1.17027,1.00549,1.08605,1.04180,1.04180,1.04180,1.04180,1.04180,0.95548,0.76204,0.67857,0.67857,0.67857,0.67857,0.80998,0.74639,0.68015,0.70766,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.71120,0.78097,1.02130,1.02130,1.02130,1.02130,1.02130,1.02130,0.85748,0.85328,1.12544,1.13402,1.11786,0.94644
