year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Waverley 132_11kV,01MAY2016,MW,11.29025,10.87443,10.41313,10.30111,9.55124,9.55124,9.55124,9.55124,8.89447,8.67032,8.67032,8.67032,8.53644,7.77608,7.77608,7.77608,7.77608,7.77608,7.77608,7.77608,7.77608,7.77608,7.77608,7.77608,7.77608,8.28605,8.65700,9.02643,9.52270,10.39758,11.08426,11.75568,12.38900,13.07872,13.53221,14.39150,14.81773,15.68707,16.44322,16.55865,16.55865,16.55865,16.55865,16.55865,16.55865,16.77912,17.22491,16.67471,16.67471,16.67471,16.67471,16.67471,16.67471,16.13527,15.81281,15.81281,15.81281,15.81281,15.81281,15.81281,15.81281,15.81281,15.81281,15.81281,15.81281,15.81281,15.81281,15.85250,16.71847,17.55051,18.52137,18.68955,19.47729,19.84169,20.33538,20.14101,19.43163,18.77372,17.98983,17.65837,17.50386,16.79648,16.79648,16.24418,15.93458,15.45389,15.06508,15.06508,14.82619,14.15181,13.44630,12.76085,12.35192,11.64117,11.42784,10.63003
2017,Waverley 132_11kV,02MAY2016,MW,10.63003,10.07528,9.76243,8.98648,8.90244,8.90244,8.88504,8.00059,8.00059,8.00059,8.00059,8.00059,8.00059,8.00059,8.00059,8.00059,8.00059,8.00059,8.00059,8.00059,8.00059,8.00059,8.00059,8.78955,9.50869,10.21274,11.53606,12.64298,13.71987,14.85931,15.27246,15.27246,15.45814,16.15110,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,15.30100,16.15738,16.50828,17.17510,17.17510,17.17510,17.17510,17.17510,17.17510,17.17510,17.17510,17.17510,17.17510,17.17510,17.17510,17.17510,17.17510,17.17510,17.17510,17.17510,16.99307,16.24852,15.52439,15.30797,14.46004,13.77864,13.17652,12.27830,11.79064,11.04025,10.47354
2017,Waverley 132_11kV,03MAY2016,MW,10.05163,10.05163,9.18971,9.17832,9.17832,8.96298,8.31643,8.31643,8.31643,8.31643,8.31643,8.31643,8.31643,8.31643,8.31643,8.31643,8.31643,8.31643,8.31643,8.31643,8.31643,8.31643,8.33800,8.84491,9.55163,10.53823,11.76614,13.10610,14.23673,15.46424,15.46653,15.46653,15.46653,15.51838,15.68328,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.44941,15.43600,15.41516,15.41516,15.41516,15.41516,15.41516,15.41516,15.41516,15.41516,15.41516,15.41516,15.41516,15.41516,15.41516,15.41516,15.41516,15.41516,15.41516,16.02886,17.11802,17.11802,17.06672,16.24281,16.24281,15.56079,15.32384,14.47791,14.08997,13.34644,12.71913,12.71913,12.71913,12.71913
2017,Waverley 132_11kV,04MAY2016,MW,12.71913,12.71913,12.71913,12.71913,12.71913,12.71913,12.71913,12.71913,12.71913,12.71913,12.71913,12.66295,7.45834,7.45834,7.45834,7.45834,7.45834,7.45834,7.45834,7.45834,7.45834,7.73973,8.34687,8.95812,9.85657,10.78793,11.75592,13.11685,14.27333,15.45566,15.47795,15.47795,15.47795,15.47795,15.47795,15.47795,15.47795,14.71515,14.61796,14.61796,14.61796,14.61796,14.61796,14.61796,14.61796,14.61796,14.61796,14.61796,15.40879,15.47605,14.59259,14.58942,14.58942,14.58942,14.58942,14.58942,15.21872,15.48175,15.48175,15.48175,15.48175,15.48175,15.48175,15.48175,15.48175,15.48175,15.48175,16.07718,16.44829,17.17838,17.52947,18.28053,18.28053,18.28053,18.98133,19.27561,18.77052,18.41562,18.41562,18.41562,17.51334,17.50997,16.96141,16.64236,16.64236,16.34372,15.72910,15.36940,14.86911,14.11600,13.99960,13.33224,12.42994,11.70738,11.24185,10.43406
2017,Waverley 132_11kV,05MAY2016,MW,10.43406,9.88747,9.57597,8.72748,8.71027,8.71027,8.71027,8.71027,7.85575,7.83886,7.83886,7.83886,7.83886,7.83886,7.83886,7.83886,7.83886,7.83886,7.83886,7.83886,7.83886,7.83886,8.26082,8.71978,9.71913,10.87832,11.94246,13.20463,13.76263,15.07378,15.66856,15.97644,15.97644,15.97644,15.89553,15.11835,15.11835,15.11835,14.57509,14.24314,14.87377,15.13167,15.13167,15.13167,15.13167,15.13167,15.13167,15.13167,15.13167,15.13167,15.13167,15.13167,15.13167,15.13167,15.13167,15.13167,15.13167,14.32540,14.31734,14.31734,14.50428,15.25154,15.25154,15.25154,15.25154,15.25154,15.25154,15.55480,16.36268,17.30564,18.19768,18.26912,18.26912,18.26912,18.26912,18.99119,19.14243,19.14243,19.14243,19.14243,18.71399,18.28434,17.68129,17.40151,17.40151,17.40151,17.40151,17.40151,17.40151,17.40151,14.93796,13.32822,12.61865,12.01896,11.27463,11.01829
2017,Waverley 132_11kV,06MAY2016,MW,10.26282,10.26273,9.39712,9.39712,8.71093,8.51620,8.51620,8.51620,8.51620,8.13359,7.62387,7.62387,7.62387,7.62387,7.62387,7.62387,7.62387,7.62387,7.62387,7.62387,7.62387,7.62387,8.26514,8.84336,9.60962,10.70468,11.93672,13.16700,14.24825,15.56566,15.70056,15.70056,15.70056,15.70056,15.70056,15.70056,15.70056,15.70056,14.89847,14.83676,14.83676,14.83676,15.69111,15.71007,15.71007,15.71007,15.71007,15.71007,15.79644,15.79950,15.79950,14.98686,14.88623,14.88623,15.62212,15.47639,14.98942,14.76066,14.76066,14.76066,14.76066,14.76066,14.76066,14.91303,15.77096,16.45351,16.67280,16.67280,16.82188,17.63554,18.35848,18.52978,18.52978,18.52978,18.52978,18.52978,18.51135,17.66979,17.13615,16.80980,16.14813,15.92507,15.92507,15.50790,15.06698,14.96936,14.20889,14.20889,14.20889,13.87888,13.30324,13.09096,12.36714,12.08865,11.49383,11.27093
2017,Waverley 132_11kV,07MAY2016,MW,10.61481,10.61481,9.90990,9.73389,9.49362,8.87390,8.87390,8.87390,8.87390,8.25852,7.97014,7.97014,7.97014,7.97014,7.97014,7.97014,7.97014,7.97014,7.97014,7.97014,7.97014,7.97014,7.97014,7.97014,8.80211,8.85297,9.61034,9.73769,10.56501,11.43653,12.05287,12.42993,13.20462,14.36542,15.06888,15.06888,15.68740,15.94600,16.67481,16.82121,16.82121,16.82121,17.10870,16.75272,16.75272,16.75272,16.75272,16.75272,16.75272,16.65502,15.83184,15.83184,15.83184,15.83184,15.83184,15.83184,15.83184,15.83184,15.83184,15.83184,15.83184,15.83184,15.83184,15.83184,15.83184,15.83184,15.83184,16.70804,16.92382,17.64125,18.09916,18.58305,18.58305,18.58305,18.58305,18.58305,17.72556,17.31190,16.64714,15.89272,15.89272,15.35323,15.03464,14.86955,14.17084,14.17084,14.17084,14.17084,14.17084,13.87130,13.30324,13.25870,12.40519,12.40519,11.70938,11.24904
2017,Waverley 132_11kV,08MAY2016,MW,10.63954,10.52042,9.77384,9.77384,9.77384,9.77384,8.99940,8.89673,8.89673,8.89673,8.85773,8.01010,8.01010,8.01010,8.01010,8.01010,8.01010,8.01010,8.01010,8.01010,8.01010,8.01010,8.01010,8.01010,8.01010,8.01010,8.58347,8.87580,9.54387,10.32981,10.64906,11.42970,11.94963,13.05266,14.13927,14.24934,15.02702,15.17722,15.88511,16.00599,16.78696,16.78696,16.78696,16.78696,16.78696,16.78696,16.78696,16.78696,16.78696,16.78696,16.78696,16.60574,15.88131,15.88131,15.88131,15.88131,15.88131,15.88131,15.88131,15.88131,15.25459,14.97185,15.00814,15.85087,15.85087,15.85087,15.85087,16.46170,16.79248,17.71141,18.48031,18.48031,19.26986,19.34981,19.34981,19.34981,18.97638,18.48412,17.63076,17.62603,16.97009,16.71466,16.71466,16.71466,16.71466,16.71466,16.71466,16.71466,16.71466,16.71466,16.71466,16.71466,16.71466,16.71466,16.71466,16.71466
2017,Waverley 132_11kV,09MAY2016,MW,16.71466,16.71466,16.71466,16.71466,16.71466,16.71466,16.71466,13.40072,7.94161,7.94161,7.94161,7.94161,7.94161,7.94161,7.94161,7.94161,7.94161,7.94161,7.94161,7.94161,7.94161,7.94161,8.06465,8.80160,9.64546,11.09019,12.04242,13.31072,14.47570,15.56743,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.96883,15.10408,15.08410,15.08410,15.37068,15.95551,15.95551,15.95551,15.95551,15.95551,15.95551,17.47209,17.82580,17.88429,18.70482,18.86912,19.58574,19.58574,19.58574,19.58574,19.58574,19.58574,19.58574,19.39824,18.67818,18.45769,17.71926,17.65677,16.84404,16.09529,15.97263,15.54727,15.11455,14.62983,13.83112,13.33178,12.52000,11.78704,11.28926,10.70994
2017,Waverley 132_11kV,10MAY2016,MW,10.43352,9.81190,9.63214,8.91385,8.91385,8.91385,8.89946,8.00820,8.00820,8.00820,8.00820,8.00820,8.00820,8.00820,8.00820,8.00820,8.00820,8.00820,8.00820,8.00820,8.00820,8.00820,8.24448,8.87580,9.43784,10.65698,12.08077,13.39375,14.55988,15.63501,15.93458,15.93458,15.93458,15.93458,15.93458,15.93458,15.93458,15.02319,15.02132,15.02132,15.02132,15.02132,15.02132,15.02132,15.02132,15.02132,15.02132,15.02132,15.02132,15.02132,15.02132,15.02132,15.02132,15.02132,15.02132,15.02132,14.98863,14.72831,14.72831,14.72831,14.72831,14.72831,14.72831,14.72831,14.72831,15.13293,15.65870,15.65870,16.38961,17.14099,18.00773,18.39469,18.39469,18.58023,19.28893,19.28893,19.28893,19.28893,18.81686,18.42513,18.40321,17.56134,17.56134,17.55234,16.68803,16.68803,16.32603,15.78618,14.95170,14.63720,13.97487,13.26947,12.52992,12.24347,12.24347,12.24347
