year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,West Gosford 132_11kV,01MAY2017,MW,19.10637,19.31262,20.10013,18.86262,18.39387,17.28761,16.21885,15.48760,14.68134,14.10009,13.89384,13.40634,13.21883,13.03133,13.10633,13.03133,13.23758,13.35009,13.57509,14.19384,15.22510,15.73135,16.55636,17.17511,17.70011,18.56262,19.59388,20.71888,21.80639,22.59389,23.49390,24.07515,24.45016,24.63766,24.75016,24.86266,25.10641,25.21891,24.91891,25.46266,25.29391,25.35016,24.67516,24.65641,25.38766,25.18141,25.38766,25.38766,25.16266,25.18141,25.48141,25.68766,26.49392,25.89392,26.00642,26.10017,26.26892,25.91267,25.96892,26.28767,25.93142,25.96892,26.00642,25.96892,25.51891,25.57516,25.68766,25.78141,25.36891,25.98767,26.21267,26.19392,25.89392,25.35016,25.06891,24.71266,24.90016,23.77515,24.11265,23.26890,23.70015,22.31264,21.58139,20.96263,20.45638,21.93764,22.61264,21.28139,22.50014,21.37514,21.95639,20.45638,19.25637,20.94388,21.01888,19.78138
2018,West Gosford 132_11kV,02MAY2017,MW,19.20012,19.27512,19.95013,18.76887,18.09387,17.02511,16.29385,15.30010,14.73759,13.95009,13.53759,13.27508,13.12508,13.08758,13.25633,12.97508,13.42509,13.50009,13.63134,14.43759,15.41260,15.90010,16.98761,17.56886,17.83136,18.71262,19.78138,20.68138,21.50639,22.61264,23.51265,24.18765,24.37516,24.43141,24.80641,25.16266,24.95641,25.14391,25.14391,24.86266,25.20016,25.27516,25.35016,25.12516,25.35016,25.65016,25.48141,25.44391,25.78141,26.06267,25.98767,26.21267,26.40017,26.83142,26.53142,26.66267,26.68142,26.28767,26.53142,26.79392,26.26892,25.93142,25.76266,25.29391,24.88141,25.20016,25.06891,25.21891,25.33141,25.95017,26.06267,25.83767,25.50016,25.42516,24.95641,24.61891,25.38766,24.18765,24.80641,23.64390,23.98140,22.53764,21.78764,20.77513,20.43763,21.99389,22.51889,21.37514,22.72515,21.48764,22.12514,20.86888,19.42512,21.00013,21.24389,19.98763
2018,West Gosford 132_11kV,03MAY2017,MW,19.27512,19.46262,20.13763,18.71262,18.18762,17.04386,16.12510,15.43135,14.60634,14.25009,13.87509,13.63134,13.21883,13.20008,13.16258,13.14383,13.42509,13.46259,13.61259,14.53134,15.16885,16.05010,16.87511,17.17511,17.83136,18.90012,20.08138,20.81263,21.95639,22.87515,23.96265,24.56266,25.27516,25.61266,25.80017,26.00642,26.02517,26.49392,26.53142,26.30642,26.45642,26.45642,25.74391,25.23766,26.08142,25.83767,25.96892,25.70641,25.06891,24.88141,25.14391,25.72516,26.23142,26.55017,26.06267,25.85642,25.31266,25.40641,25.59391,25.23766,24.99391,24.95641,24.88141,24.86266,24.63766,25.12516,25.53766,25.87517,26.02517,26.85017,26.94392,26.94392,26.56892,26.36267,26.10017,25.72516,26.36267,25.06891,25.51891,24.58141,24.75016,23.62515,22.74390,21.80639,21.50639,22.93140,23.34390,21.99389,23.49390,22.29389,22.76265,21.28139,19.98763,21.33764,21.52514,20.15638
2018,West Gosford 132_11kV,04MAY2017,MW,19.65013,19.85638,20.49388,19.08762,18.24387,17.26886,16.36885,15.67510,14.94385,14.45634,13.89384,13.66884,13.44384,13.40634,13.36884,13.27508,13.65009,13.76259,14.04384,14.47509,15.48760,16.21885,16.85636,17.77511,18.18762,19.01262,19.78138,20.92513,21.99389,22.98765,23.94390,24.15015,24.60016,24.63766,25.03141,25.21891,25.35016,25.38766,25.53766,25.36891,25.74391,25.59391,25.25641,25.33141,25.55641,26.17517,26.13767,25.98767,26.04392,26.36267,26.55017,26.26892,26.04392,25.72516,25.78141,25.98767,25.80017,25.87517,25.85642,25.78141,25.25641,25.05016,24.99391,25.06891,25.03141,25.08766,25.27516,25.33141,25.46266,26.17517,26.71892,26.41892,26.25017,26.23142,26.10017,25.72516,26.15642,25.20016,25.31266,24.46891,24.58141,23.43765,22.55639,21.86264,21.20639,22.72515,23.32515,21.95639,23.38140,22.27514,22.85640,21.45014,20.11888,21.67514,21.69389,20.55013
2018,West Gosford 132_11kV,05MAY2017,MW,19.81888,19.83763,20.62513,19.25637,18.73137,17.55011,16.55636,15.45010,14.92510,14.40009,14.13759,13.53759,13.35009,13.42509,13.18133,13.35009,13.35009,13.72509,13.89384,14.62509,15.43135,16.01260,16.74386,17.56886,18.13137,19.06887,20.34388,21.28139,22.31264,23.28765,24.09390,24.48766,24.76891,24.84391,24.99391,25.16266,25.20016,25.12516,24.97516,24.84391,24.86266,24.86266,25.10641,25.29391,25.40641,25.46266,24.90016,24.97516,25.10641,24.99391,25.12516,25.08766,24.80641,24.99391,24.58141,24.75016,24.45016,24.63766,24.22516,24.45016,24.07515,24.03765,24.33766,24.30016,24.07515,23.92515,24.01890,24.05640,24.05640,24.73141,25.20016,25.03141,24.82516,24.82516,24.50641,24.33766,24.95641,23.73765,24.24391,23.38140,23.86890,22.57514,21.73139,21.18764,20.90638,22.80015,23.38140,21.80639,23.23140,21.97514,22.53764,21.07513,19.83763,21.52514,21.61889,20.45638
2018,West Gosford 132_11kV,06MAY2017,MW,19.83763,19.81888,20.56888,19.14387,18.35637,17.08136,16.20010,15.48760,14.56884,14.08134,13.83759,13.23758,13.23758,13.16258,12.90008,12.82508,12.86258,12.86258,12.93758,13.05008,13.44384,13.57509,13.78134,14.11884,14.32509,14.83134,15.15010,15.84385,16.53761,17.11886,17.79386,18.54387,19.18137,19.74388,19.80013,20.49388,20.25013,20.26888,20.04388,19.74388,19.61263,19.74388,19.44387,19.51887,20.21263,19.70638,19.10637,19.06887,18.63762,18.61887,18.61887,18.41262,18.60012,18.63762,18.75012,18.63762,18.56262,18.65637,18.67512,18.82512,18.75012,18.86262,19.06887,19.31262,,,,,,,,22.46264,22.16264,21.99389,21.82514,21.60014,22.18139,21.37514,21.67514,20.86888,21.37514,20.21263,19.50012,18.84387,18.78762,20.66263,21.30014,20.41888,21.73139,20.79388,21.50639,20.36263,19.18137,20.92513,21.26264,20.28763
2018,West Gosford 132_11kV,07MAY2017,MW,19.72513,19.50012,20.36263,19.25637,18.61887,17.51261,16.51886,15.58135,14.77509,14.26884,13.81884,13.55634,13.06883,13.05008,13.01258,12.69383,12.91883,12.71258,12.67508,12.84383,13.06883,13.29384,13.36884,13.59384,13.57509,13.66884,13.68759,14.00634,14.64384,15.03760,15.61885,15.91885,16.33135,16.74386,17.19386,17.47511,17.66261,17.88761,17.79386,17.83136,17.88761,17.98137,17.70011,17.58761,17.62511,17.47511,17.51261,17.41886,17.15636,17.19386,17.10011,17.23136,17.11886,17.06261,17.23136,17.06261,16.89386,17.00636,17.21261,17.13761,17.43761,17.55011,17.90636,17.83136,17.88761,18.43137,18.84387,19.44387,20.30638,21.30014,22.61264,23.19390,23.08140,23.15640,22.80015,22.20014,23.02515,22.10639,22.42514,21.45014,21.91889,20.88763,20.25013,19.85638,19.61263,21.28139,21.61889,20.70013,22.06889,21.03763,21.73139,20.47513,19.25637,20.81263,21.01888,19.98763
2018,West Gosford 132_11kV,08MAY2017,MW,19.44387,19.59388,20.36263,18.95637,18.30012,17.38136,16.42511,15.52510,14.75634,14.28759,13.93134,13.53759,13.18133,13.08758,13.20008,13.06883,13.36884,13.51884,13.61259,14.38134,15.37510,16.05010,16.83761,17.60636,18.18762,19.14387,20.10013,21.20639,22.38764,23.98140,25.01266,25.74391,26.28767,26.56892,26.96267,26.73767,26.51267,26.51267,25.98767,25.46266,25.35016,24.95641,24.76891,24.48766,24.78766,24.45016,24.43141,24.37516,24.22516,24.15015,24.33766,24.48766,24.61891,25.08766,24.71266,24.73141,24.50641,24.61891,24.50641,24.31891,24.15015,24.05640,24.30016,24.39391,24.28141,24.50641,24.52516,24.97516,25.50016,26.23142,26.75642,26.90642,26.68142,26.49392,26.51267,25.96892,26.40017,25.55641,25.93142,24.84391,25.06891,23.70015,22.93140,23.00640,22.23764,23.83140,23.98140,22.83765,23.90640,22.74390,23.25015,21.75014,20.36263,21.90014,22.01264,20.98138
2018,West Gosford 132_11kV,09MAY2017,MW,19.95013,20.21263,20.92513,19.74388,19.14387,18.18762,17.00636,15.99385,15.46885,14.85010,14.40009,14.00634,13.87509,13.68759,13.68759,13.68759,13.68759,14.19384,14.38134,15.01885,15.67510,16.29385,17.13761,18.09387,18.65637,19.95013,20.98138,22.72515,24.07515,25.16266,26.19392,26.70017,27.07517,27.33767,27.11267,26.86892,26.68142,26.47517,26.19392,26.00642,25.68766,25.35016,24.99391,24.88141,24.90016,25.05016,24.86266,24.69391,24.52516,24.56266,24.71266,24.67516,24.76891,24.73141,24.78766,24.91891,25.08766,24.80641,24.65641,24.61891,24.67516,24.80641,24.71266,24.54391,24.82516,25.06891,25.03141,25.38766,25.61266,26.23142,27.24392,27.33767,26.92517,26.51267,26.47517,26.17517,25.65016,24.13140,23.53140,23.13765,23.47515,22.66890,23.10015,22.06889,22.20014,20.77513,20.30638,19.53763,19.44387,20.56888,21.03763,19.72513,20.79388,19.95013,21.76889,20.81263
2018,West Gosford 132_11kV,10MAY2017,MW,20.19388,21.65639,20.38138,19.12512,18.52512,18.20637,18.93762,17.90636,16.65011,15.76885,15.05635,14.51259,14.04384,13.55634,13.23758,13.42509,13.55634,13.57509,13.72509,14.19384,15.00010,16.20010,17.15636,18.15012,19.38762,20.86888,22.61264,23.92515,23.92515,24.78766,25.98767,26.66267,27.15017,27.26267,26.85017,26.71892,26.71892,26.30642,25.98767,25.78141,25.44391,25.51891,25.08766,24.93766,24.86266,24.93766,25.01266,24.97516,25.06891,24.93766,24.63766,24.58141,24.54391,24.88141,24.75016,24.75016,24.86266,25.14391,25.12516,24.54391,24.58141,24.88141,25.05016,24.95641,24.88141,24.82516,25.03141,25.10641,25.35016,26.38142,27.26267,27.37518,27.16892,26.94392,26.41892,26.19392,25.85642,25.38766,25.01266,24.45016,25.08766,23.75640,24.33766,23.25015,23.73765,22.51889,21.54389,20.64388,20.43763,21.95639,22.29389,20.86888,21.76889,21.01888,23.04390,22.01264
