year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Williamtown 33_11kV,01MAY2017,MW,1.45450,1.39937,1.36713,1.34890,1.30652,1.26326,1.24836,1.27242,1.22987,1.19091,1.14910,1.09760,1.08600,1.08816,1.10175,1.09141,1.21576,1.23053,1.32008,1.40950,1.49769,1.55079,1.55813,1.70049,1.79658,1.98896,2.09281,2.12394,2.30732,2.33819,2.37120,2.39820,2.46805,2.45298,2.39733,2.36687,2.33808,2.32340,2.36434,2.30470,2.22682,2.21774,2.23994,2.20846,2.30940,2.27169,2.27268,2.32649,2.34667,2.28107,2.44461,2.37475,2.39087,2.38940,2.37888,2.36280,2.37593,2.39091,2.37034,2.22936,2.33545,2.39658,2.46256,2.46259,2.45059,2.43724,2.54123,2.41026,2.36879,2.49672,2.48832,2.52826,2.45878,2.41971,2.35820,2.28891,2.23253,2.16312,2.11732,2.09289,2.06403,2.05935,2.06064,2.04700,1.99526,1.99716,1.96179,1.87156,1.94792,1.90073,1.72058,1.65552,1.80670,1.75779,1.68207,1.67340
2018,Williamtown 33_11kV,02MAY2017,MW,1.61580,1.54446,1.53197,1.47224,1.40405,1.34441,1.31608,1.36565,1.33413,1.31011,1.22591,1.21882,1.20550,1.19891,1.22694,1.21624,1.28256,1.30329,1.37523,1.37832,1.44723,1.53660,1.60566,1.71229,1.83942,1.90595,1.95819,2.13046,2.20990,2.27048,2.35784,2.31040,2.30593,2.30453,2.31974,2.31139,2.35729,2.37256,2.40303,2.32789,2.37574,2.35796,2.42082,2.40955,2.38492,2.32569,2.35458,2.36560,2.37897,2.45637,2.26369,2.30277,2.30408,2.40656,2.40314,2.43108,2.41135,2.36774,2.23696,2.22651,2.29234,2.41361,2.37140,2.46725,2.47439,2.46907,2.44565,2.37628,2.35432,2.43498,2.48858,2.50753,2.50711,2.47139,2.38787,2.34042,2.33750,2.25403,2.22837,2.12968,2.07666,2.07410,2.07334,2.01061,1.97554,1.95013,1.96210,1.86881,1.94059,1.94249,1.93199,1.86211,1.98565,1.91552,1.83768,1.81044
2018,Williamtown 33_11kV,03MAY2017,MW,1.78364,1.72524,1.69481,1.64699,1.59162,1.56648,1.52105,1.53293,1.45390,1.32835,1.27714,1.22757,1.23656,1.26688,1.24260,1.24074,1.34285,1.33599,1.38006,1.53007,1.65517,1.71822,1.80387,1.90507,2.04053,2.19960,2.25050,2.26886,2.27172,2.33796,2.35566,2.40105,2.74400,2.83408,2.99967,2.91259,2.85130,2.78446,2.80898,2.72286,2.82327,2.69827,2.79757,2.68073,2.73787,2.78567,2.72497,2.80175,2.89028,2.83258,2.80792,2.73252,2.73811,2.78631,2.66553,2.72411,2.75084,2.67321,2.67397,2.66375,2.69912,2.60305,2.70734,2.68028,2.70505,2.77807,2.83138,2.81633,2.89026,2.93879,2.79066,2.71160,2.67573,2.63365,2.61512,2.56446,2.47407,2.46296,2.45318,2.39148,2.37238,2.36004,2.31097,1.96888,1.89971,1.82171,1.83863,1.95776,2.10486,2.06202,2.00580,1.93130,2.07238,2.04246,1.98825,1.89744
2018,Williamtown 33_11kV,04MAY2017,MW,1.86097,1.79664,1.75375,1.71323,1.63695,1.60310,1.57518,1.57779,1.52070,1.48572,1.42849,1.42778,1.42099,1.41950,1.38901,1.39236,1.48999,1.44619,1.51668,1.62035,1.69763,1.74707,1.76400,1.92235,2.03029,2.09123,2.14871,2.14961,2.16714,2.20843,2.26981,2.36120,2.37399,2.32029,2.26949,2.25365,2.27460,2.38013,2.33114,2.34815,2.38050,2.34295,2.28731,2.28163,2.37749,2.33726,2.39419,2.30743,2.22174,2.25676,2.30110,2.31459,2.37072,2.54037,2.54937,2.56303,2.48239,2.50997,2.42387,2.51904,2.55721,2.50428,2.51256,2.36982,2.39236,2.42323,2.48773,2.52591,2.55361,2.65707,2.66699,2.76809,2.78299,2.75692,2.75311,2.68485,2.67760,2.60948,2.59938,2.60705,2.56027,2.49751,2.48097,2.49824,2.42053,2.20634,2.00676,1.80903,1.90043,1.85009,1.77385,1.70195,1.83064,1.81055,1.74358,1.72530
2018,Williamtown 33_11kV,05MAY2017,MW,1.67246,1.61973,1.57694,1.55391,1.51711,1.44615,1.41853,1.38718,1.33015,1.29342,1.34249,1.26114,1.24901,1.24151,1.19800,1.22917,1.27729,1.32368,1.45193,1.40373,1.42047,1.47935,1.53581,1.67516,1.80867,1.92804,1.92077,1.94807,2.10092,2.23878,2.25769,2.16822,2.29474,2.28868,2.21818,2.15280,2.21749,2.22927,2.20749,2.24241,2.21792,2.20743,2.14392,2.27869,2.28186,2.31594,2.23177,2.26101,2.16347,2.21018,2.21052,2.23101,2.10492,2.15873,2.14010,2.08985,2.01666,1.97171,2.03057,2.00375,1.92281,1.88361,1.94800,1.96569,1.98484,1.97052,2.01625,2.10315,2.08547,2.17939,2.12043,2.04530,2.03685,1.96974,1.91554,1.91507,1.89221,1.85660,1.83609,1.82024,1.75385,1.74362,1.71764,1.71734,1.68621,1.68999,1.74254,1.71070,1.75102,1.70409,1.65292,1.60481,1.78230,1.73464,1.67009,1.65773
2018,Williamtown 33_11kV,06MAY2017,MW,1.64793,1.56667,1.55025,1.52776,1.50338,1.43228,1.35448,1.30626,1.33102,1.31999,1.24872,1.25227,1.20283,1.19807,1.18928,1.18777,1.29296,1.29687,1.37191,1.33411,1.39592,1.39684,1.41210,1.45622,1.67980,1.66872,1.61209,1.60717,1.64685,1.66671,1.75271,1.75088,1.76728,1.73541,1.71839,1.71594,1.79731,1.83804,1.75506,1.69208,1.73134,1.70856,1.66190,1.63916,1.64539,1.64525,1.70411,1.69549,1.59028,1.61480,1.61211,1.65928,1.67490,1.68744,1.62614,1.62134,1.63530,1.68794,1.67954,1.59245,1.54121,1.56051,1.55605,1.57971,1.60423,1.67033,1.68744,1.74075,1.78346,1.92437,1.94871,1.97867,1.95566,1.96091,1.96474,1.89662,1.84811,1.82886,1.79990,1.77564,1.70434,1.66646,1.65991,1.65178,1.64814,1.60575,1.66122,1.63631,1.60301,1.57412,1.58060,1.52749,1.64355,1.57574,1.47547,1.46871
2018,Williamtown 33_11kV,07MAY2017,MW,1.45209,1.40478,1.39656,1.41817,1.35330,1.27580,1.23798,1.25903,1.26454,1.23621,1.17820,1.17539,1.19260,1.18602,1.18893,1.20619,1.24630,1.26585,1.33089,1.32953,1.43798,1.52704,1.51614,1.55787,1.56125,1.52940,1.51916,1.58327,1.60012,1.62930,1.66584,1.62811,1.73475,1.76448,1.78317,1.75597,1.80285,1.74577,1.80207,1.75098,1.72081,1.76901,1.72807,1.71957,1.71938,1.65466,1.69667,1.69172,1.67599,1.65810,1.69896,1.67403,1.70814,1.66665,1.70547,1.72264,1.67279,1.56109,1.48604,1.47567,1.47468,1.51392,1.54656,1.56732,1.58025,1.63929,1.69982,1.73743,1.81579,1.92015,2.03739,1.98868,2.02367,1.97593,1.98329,1.88770,1.86466,1.84726,1.83497,1.80975,1.76408,1.76549,1.76851,1.75571,1.71481,1.66504,1.82721,1.77406,1.72395,1.66436,1.60975,1.53151,1.68099,1.59929,1.46429,1.43603
2018,Williamtown 33_11kV,08MAY2017,MW,1.43451,1.41847,1.37207,1.37375,1.29259,1.22356,1.22004,1.22639,1.25013,1.21974,1.22369,1.20806,1.14913,1.18646,1.19683,1.19266,1.27840,1.33815,1.43045,1.41982,1.47298,1.51148,1.61640,1.70258,1.84731,1.94916,2.08969,2.08944,2.19071,2.33266,2.37422,2.45372,2.47724,2.48261,2.47218,2.39163,2.38966,2.40593,2.35000,2.31873,2.31623,2.30518,2.29822,2.32661,2.34339,2.26242,2.25172,2.30118,2.27864,2.28051,2.24636,2.34723,2.30388,2.35549,2.25418,2.23163,2.27382,2.25632,2.24168,2.28725,2.28498,2.24893,2.25241,2.07047,2.17770,2.03228,2.13417,2.24334,2.30355,2.36241,2.37437,2.33253,2.34190,2.32030,2.31091,2.26966,2.23530,2.16087,2.08478,2.08151,2.05512,2.01498,2.00220,1.97994,1.90871,1.89216,1.94509,1.80726,1.97276,1.92081,1.84219,1.73608,1.89205,1.90159,1.83827,1.82686
2018,Williamtown 33_11kV,09MAY2017,MW,1.78748,1.70767,1.68023,1.65830,1.64698,1.59620,1.56860,1.57143,1.50304,1.45674,1.43234,1.46712,1.37793,1.38026,1.41852,1.43225,1.39305,1.38677,1.50045,1.52941,1.54547,1.57792,1.66531,1.73137,1.85183,1.95348,2.03474,2.16812,2.31334,2.30437,2.29423,2.34471,2.34750,2.30780,2.35938,2.33090,2.37429,2.33669,2.25838,2.20691,2.21249,2.31770,2.24826,2.25626,2.13874,2.21224,2.14253,2.25633,2.18046,2.22234,2.16316,2.27567,2.27279,2.31914,2.27577,2.34638,2.24595,2.26262,2.28193,2.15804,2.22146,2.25977,2.33746,2.20150,2.27268,2.24722,2.31820,2.30142,2.28666,2.30401,2.35920,2.41084,2.36719,2.35946,2.33410,2.29971,2.28237,2.23997,2.18254,2.15193,2.14070,2.10203,2.01787,2.00498,1.97371,1.99775,2.02565,1.95399,2.01986,2.01956,1.95715,1.85043,1.87653,1.78532,1.77038,1.71913
2018,Williamtown 33_11kV,10MAY2017,MW,1.69247,1.60766,1.55794,1.55756,1.49891,1.44319,1.37153,1.32249,1.29987,1.25440,1.24935,1.27576,1.23760,1.22232,1.21426,1.26285,1.40230,1.38115,1.42137,1.48187,1.57144,1.63857,1.69468,1.82417,1.84672,1.96639,2.02950,2.12533,2.22714,2.19509,2.23438,2.26051,2.26350,2.23078,2.22336,2.14810,2.20559,2.17740,2.22854,2.15870,2.12712,2.10326,2.10636,2.20740,2.13138,2.19633,2.17292,2.26445,2.31587,2.19737,2.26716,2.26483,2.26740,2.22328,2.22442,2.25378,2.16239,2.08651,2.10036,2.21536,2.20910,2.06872,2.12162,2.24320,2.27555,2.28733,2.26215,2.10454,2.14574,2.16367,2.31547,2.37531,2.33644,2.34385,2.30273,2.28576,2.24941,2.23008,2.20201,2.11258,2.08398,2.13853,2.09538,2.03795,2.00469,1.91327,1.96779,1.90764,1.98756,1.95422,1.88995,1.78430,1.93207,1.87644,1.83843,1.82174
