year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Wyong 132_11kV,01MAY2017,MW,12.71992,12.98296,13.24600,12.28778,11.55502,10.89742,10.22103,9.65737,8.86825,8.34216,8.34216,8.21064,8.26701,8.19185,8.24822,8.45489,8.58642,8.88703,8.81188,9.13129,9.82647,10.42770,11.19804,11.47987,12.17505,13.02054,13.79087,14.44848,14.76788,15.35033,15.68853,15.76368,15.44427,15.10608,14.99335,14.65515,14.59878,14.24180,14.82425,14.03513,13.56541,13.50904,13.94118,13.88482,14.29817,13.94118,13.69693,14.82425,14.65515,13.90360,14.12907,14.16665,14.07270,14.58000,14.41090,15.04971,14.65515,14.24180,13.64056,13.73451,13.97876,14.22301,13.86603,14.05391,13.94118,14.14786,14.42969,14.86183,15.40670,16.06430,16.83463,17.15404,17.36072,17.09768,16.62796,16.42128,16.62796,15.68853,16.04551,15.59458,15.42549,14.74909,14.24180,13.71572,13.45268,14.16665,14.65515,14.03513,14.73031,14.11028,14.46726,13.45268,12.77629,13.99755,14.01634,12.92659
2018,Wyong 132_11kV,02MAY2017,MW,12.90781,13.11448,13.54662,12.36294,11.57381,11.04773,10.27739,9.54464,9.07492,8.73672,8.34216,8.09791,8.11670,8.09791,8.26701,8.21064,8.54884,8.60520,8.86825,9.18765,9.99556,10.44649,11.12288,11.66775,12.45688,13.07690,13.99755,14.74909,15.21881,15.66974,15.91399,16.06430,16.34613,15.85762,15.31275,14.95577,14.74909,14.56121,14.20422,14.24180,13.79087,13.62177,13.50904,13.77208,13.79087,13.82845,14.01634,14.05391,14.14786,13.69693,13.82845,14.05391,14.16665,14.59878,14.71152,14.93698,14.61757,14.42969,14.26059,14.24180,14.71152,15.29397,15.01214,15.16244,14.18543,14.54242,14.44848,14.84304,15.40670,16.38371,17.00373,17.30435,17.22920,17.06010,16.94737,16.66554,16.89100,16.28976,16.57159,15.91399,15.68853,15.01214,14.61757,14.07270,13.64056,14.35453,14.97456,14.35453,15.16244,14.37332,14.54242,13.73451,13.02054,14.20422,14.33574,13.47147
2018,Wyong 132_11kV,03MAY2017,MW,13.03933,13.00175,13.49025,12.23141,11.42350,10.76590,10.16466,9.71373,9.11250,8.62399,8.39853,8.30459,8.13549,8.11670,8.13549,8.39853,8.39853,8.51126,8.66157,9.09371,9.61979,10.27739,10.89742,11.36714,12.19384,13.43389,14.59878,14.84304,15.10608,15.98915,17.52982,17.81164,17.98074,17.92438,18.03711,17.94317,17.60497,17.66134,17.45466,17.62376,17.41708,17.07889,17.39829,17.69891,18.09347,17.98074,17.99953,17.96195,17.77407,17.56739,17.69891,17.99953,17.94317,17.69891,17.64255,17.64255,17.43587,17.13525,16.98494,16.44007,15.98915,15.83884,15.95157,16.34613,16.21461,16.17703,15.50064,16.04551,16.10188,16.87221,17.79286,18.03711,18.33773,18.20621,18.07469,17.84922,18.03711,17.45466,17.75528,17.13525,17.00373,16.12067,15.46306,14.99335,14.65515,15.29397,15.50064,14.84304,15.66974,14.84304,15.14366,14.24180,13.35873,14.11028,14.41090,13.58420
2018,Wyong 132_11kV,04MAY2017,MW,13.20842,13.32116,13.71572,12.47567,11.78049,11.21683,10.55922,9.80768,9.28160,8.84946,8.54884,8.36095,8.19185,7.91002,8.15428,8.09791,8.36095,8.54884,8.77430,8.96219,9.65737,10.01435,10.95379,11.40471,12.40051,13.45268,14.22301,14.80546,15.14366,16.34613,16.85342,17.00373,16.72190,16.30855,15.98915,15.97036,16.12067,15.93278,15.29397,15.33154,15.16244,15.78247,16.44007,16.32734,16.04551,15.57580,15.27518,15.03092,15.46306,15.91399,15.87641,15.74489,15.91399,15.50064,15.63216,15.85762,15.55701,15.51943,15.59458,15.40670,15.16244,15.63216,16.15824,16.00793,15.51943,16.12067,16.13945,15.98915,16.12067,16.74069,17.49224,17.68012,17.66134,17.43587,17.36072,17.28556,17.49224,16.85342,17.13525,16.59038,16.55281,15.65095,14.95577,14.52363,14.09149,14.91819,15.42549,15.04971,15.74489,14.73031,15.04971,14.33574,13.65935,14.61757,14.65515,13.67814
2018,Wyong 132_11kV,05MAY2017,MW,13.17085,13.20842,13.65935,12.73871,11.94958,11.08531,10.25861,9.69495,9.07492,8.75551,8.56763,8.30459,8.22943,8.22943,8.37974,8.22943,8.53005,8.51126,8.71794,9.11250,9.90162,10.50286,11.04773,11.31077,12.15626,13.22721,14.24180,15.25639,15.80126,16.12067,16.13945,16.19582,15.82005,15.66974,15.29397,15.04971,14.63636,14.42969,14.29817,14.33574,13.88482,13.79087,13.82845,13.84724,13.97876,14.05391,13.97876,13.75330,13.26479,13.18964,13.24600,13.09569,13.07690,13.07690,13.39631,13.24600,13.26479,13.62177,13.33995,13.20842,12.87023,12.92659,13.13327,13.17085,13.13327,13.56541,13.58420,13.73451,14.09149,15.16244,16.28976,16.60917,16.55281,16.62796,16.53402,16.40250,16.81585,16.42128,16.68433,16.02672,15.98915,15.20002,14.71152,14.20422,13.95997,14.58000,15.03092,14.31696,15.35033,14.61757,14.86183,14.12907,13.35873,14.54242,14.73031,13.82845
2018,Wyong 132_11kV,06MAY2017,MW,13.33995,13.20842,13.77208,12.70113,11.85564,11.29198,10.35255,9.75131,9.24402,8.90582,8.64278,8.49247,8.30459,8.06033,8.17306,7.92881,8.13549,7.92881,8.09791,8.28580,8.56763,8.66157,9.28160,9.39433,9.45069,9.84526,10.40891,10.63438,10.99136,11.38592,11.83685,12.00595,12.38172,12.47567,12.30657,12.40051,11.78049,11.64897,11.14167,10.70953,10.40891,10.08951,10.01435,9.33796,9.39433,9.84526,9.33796,8.99977,8.98098,8.60520,8.69915,8.90582,8.75551,8.56763,8.79309,9.01855,8.88703,9.09371,9.24402,9.28160,9.58221,9.92041,10.23982,10.33376,,,,,,,,14.65515,14.61757,14.65515,14.24180,14.05391,14.44848,13.73451,13.90360,13.47147,13.65935,13.22721,12.60719,12.15626,11.87443,12.87023,13.15206,12.66355,13.88482,13.15206,13.58420,13.18964,12.41930,13.43389,13.62177,13.02054
2018,Wyong 132_11kV,07MAY2017,MW,12.53203,12.55082,12.83265,11.79928,11.42350,10.31497,9.75131,9.20644,8.66157,8.39853,8.17306,7.92881,7.64698,7.60941,7.38394,7.36515,7.59062,7.55304,7.34636,7.47788,7.59062,7.75971,8.00397,7.92881,8.13549,8.45489,8.53005,8.69915,8.71794,9.07492,9.22523,9.26281,9.58221,9.52585,9.61979,9.61979,9.84526,9.63858,9.77010,9.46948,9.22523,9.26281,9.01855,8.94340,8.64278,8.62399,8.39853,8.51126,8.28580,8.28580,8.49247,8.45489,8.21064,8.30459,8.41732,8.58642,8.64278,8.69915,8.83067,9.15007,9.43190,9.75131,10.22103,10.44649,10.70953,11.21683,11.61139,12.47567,13.62177,14.82425,15.53822,17.22920,17.47345,17.22920,16.79706,16.66554,16.96616,16.25219,16.40250,15.85762,16.15824,15.61337,15.01214,14.20422,13.60299,14.31696,14.71152,13.92239,14.78667,13.95997,14.22301,13.39631,12.85144,13.95997,14.01634,13.32116
2018,Wyong 132_11kV,08MAY2017,MW,13.00175,13.02054,13.50904,12.70113,12.09989,11.29198,10.46528,9.78889,9.33796,8.90582,8.58642,8.37974,8.32337,8.15428,8.26701,8.30459,8.69915,8.88703,9.16886,9.35675,10.05193,10.69074,11.57381,12.36294,13.18964,14.67394,15.74489,16.81585,17.41708,17.99953,18.61956,18.52561,18.50683,18.07469,17.81164,17.43587,17.32314,17.07889,16.68433,16.23340,15.65095,15.50064,15.25639,14.61757,14.65515,14.54242,14.65515,14.24180,13.99755,13.95997,13.77208,13.52783,13.82845,14.58000,14.65515,14.69273,14.54242,14.29817,13.64056,13.39631,13.50904,13.86603,14.41090,14.63636,14.59878,14.89940,15.38791,15.82005,16.62796,18.14984,18.99533,19.69051,19.63414,19.35231,18.93896,18.63835,18.76987,18.46925,18.69471,17.88680,17.71770,17.28556,16.55281,16.06430,15.78247,16.28976,16.87221,16.15824,16.47765,15.68853,15.93278,14.89940,14.18543,15.29397,15.40670,14.44848
2018,Wyong 132_11kV,09MAY2017,MW,13.88482,14.07270,14.44848,13.45268,12.81386,11.98716,11.10410,10.48407,9.95799,9.63858,9.13129,8.99977,8.73672,8.54884,8.47368,8.64278,8.79309,8.86825,9.16886,9.52585,10.23982,11.04773,12.09989,12.70113,13.43389,14.76788,16.04551,17.13525,17.98074,19.52141,20.27296,20.32932,20.16023,19.91597,19.22079,18.58198,18.18742,17.56739,16.75948,16.40250,16.25219,16.06430,15.82005,15.12487,14.97456,14.97456,14.78667,14.63636,14.56121,14.65515,14.73031,14.63636,15.12487,15.16244,15.38791,15.76368,15.38791,15.12487,14.03513,14.86183,14.74909,14.33574,14.46726,14.41090,14.33574,14.65515,15.33154,15.78247,16.70311,18.13105,19.25837,19.67172,19.61536,19.63414,19.48384,19.18322,18.97654,18.50683,18.39409,18.09347,18.20621,17.83043,17.75528,16.87221,16.94737,16.30855,15.76368,14.84304,14.35453,14.84304,15.04971,14.05391,14.88061,14.14786,15.40670,14.61757
2018,Wyong 132_11kV,10MAY2017,MW,14.46726,15.51943,14.71152,13.64056,12.87023,12.45688,13.05812,12.40051,11.40471,10.70953,10.14587,9.67616,9.56343,9.24402,9.22523,9.24402,9.33796,9.52585,9.48827,9.84526,10.70953,11.46108,12.23141,13.02054,14.42969,16.06430,17.24799,18.50683,18.50683,19.59657,19.85961,19.59657,19.33353,18.90139,18.22500,18.45046,18.22500,17.86801,17.28556,16.96616,16.77827,16.62796,16.53402,16.45886,16.15824,16.23340,16.02672,15.93278,15.66974,15.63216,15.65095,15.74489,15.97036,16.17703,16.10188,16.36492,16.21461,16.02672,15.08729,15.48185,15.10608,15.18123,15.35033,14.56121,14.27938,14.73031,15.04971,15.57580,16.08309,17.07889,18.20621,18.63835,18.78866,19.01412,18.76987,18.80744,18.45046,18.31894,18.13105,17.81164,17.86801,17.24799,17.32314,16.60917,16.94737,16.13945,15.68853,15.06850,14.27938,14.71152,14.80546,13.90360,14.84304,14.18543,15.42549,14.73031
