year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Zetland 132_11kV,01MAY2014,MW,25.41914,24.65057,23.82576,23.28213,23.58206,22.96346,22.32610,21.98868,21.46380,21.46380,21.46380,21.46380,21.46380,21.46380,21.18262,20.95767,21.33258,21.52004,21.91370,21.96994,22.58854,22.98220,24.03196,25.49412,27.63113,28.69963,29.54319,31.30528,34.15463,35.86048,37.34139,38.40990,40.11575,40.62189,40.79060,41.46544,42.25276,42.62767,42.77764,42.60893,43.17130,43.34001,43.54621,43.77116,44.12733,44.40851,44.98963,44.89590,44.89590,45.30831,44.95214,44.95214,45.42078,45.30831,44.91465,44.59597,44.33353,43.95862,43.69618,43.80865,43.34001,43.41499,42.49645,42.27151,41.59666,41.99032,40.75311,40.22823,39.89080,40.00328,40.50941,40.65938,40.13450,39.38467,39.21596,39.23471,38.55986,37.88502,37.36014,36.96648,36.25414,36.47909,35.80425,35.74801,35.24188,35.24188,35.24188,35.24188,34.96069,29.78688,28.94333,29.05580,27.98730,27.55615,26.86256,26.30019
2015,Zetland 132_11kV,02MAY2014,MW,25.28792,24.29440,23.97572,23.54457,22.98220,22.94471,22.02617,21.96994,22.34485,22.06366,21.83872,21.85746,21.33258,20.88269,21.29509,21.37007,21.55753,21.76373,21.80122,21.80122,22.45732,23.18840,23.88199,24.70680,26.97503,28.41845,29.73065,30.96786,33.98592,35.95421,37.39763,38.72857,39.83457,40.41568,41.39046,41.65290,42.51520,43.22754,43.56496,43.82740,44.03360,44.31478,44.57722,44.65221,44.83966,45.21458,45.57074,45.15834,45.30831,45.02712,45.02712,45.36454,44.95214,44.40851,43.99611,43.86489,43.86489,43.47123,43.69618,43.60245,42.75889,42.74015,42.42147,41.40920,41.40920,41.50293,40.65938,40.86558,40.30321,40.52816,40.32195,39.60962,38.72857,37.66007,36.98522,36.76028,35.44808,34.43581,33.92968,33.21734,32.84243,32.78619,32.16758,32.13009,31.90515,31.23030,30.74291,30.34925,29.43072,28.77462,28.56841,27.94981,27.12500,26.46890,26.18771,25.90653
2015,Zetland 132_11kV,03MAY2014,MW,25.34416,24.74430,24.10694,23.61956,23.33837,23.05718,22.64478,22.08241,21.89495,21.63251,21.61377,21.48255,21.25760,21.25760,21.25760,21.25760,21.44506,21.46380,21.07014,21.38882,21.87621,22.11990,22.47607,22.19488,22.77600,23.31962,23.93823,24.23816,25.73782,26.30019,27.14374,28.24974,30.01183,30.85539,31.56772,32.39253,33.06738,33.66724,34.22961,34.67951,35.24188,35.80425,35.86048,35.89797,36.02919,36.31038,36.38536,36.21665,35.93547,36.21665,36.25414,36.34787,36.02919,36.01045,34.97944,34.54829,34.36083,33.98592,33.76097,33.96717,33.57351,33.70473,33.46104,33.51727,33.27358,33.16111,33.19860,33.89219,34.39832,35.37310,35.59804,35.37310,34.75449,34.54829,34.21086,34.19212,33.42355,32.71121,32.35504,32.14884,31.66145,31.81142,31.34277,31.54898,31.28654,30.91162,30.55546,29.93685,29.50570,28.84960,28.13726,28.24974,27.57489,27.29371,27.08751,26.37517
2015,Zetland 132_11kV,04MAY2014,MW,25.83155,25.47538,24.95050,24.27565,23.41335,23.07593,22.47607,22.79475,22.49481,22.26987,22.15739,21.85746,21.85746,21.50129,21.40757,21.08889,21.12638,21.25760,21.25760,21.44506,21.76373,21.76373,21.65126,21.78248,22.15739,22.70102,22.70102,22.38234,23.18840,23.80701,24.40687,25.15670,26.50639,27.25622,27.68737,28.39970,29.82437,30.16180,31.21156,31.77393,32.46752,33.06738,33.08612,33.44229,33.83595,33.74222,33.94842,34.22961,34.39832,34.34208,34.11714,33.87344,33.92968,33.64849,32.69246,31.90515,31.64271,31.75518,31.64271,31.66145,31.49274,31.53023,31.49274,31.49274,31.69894,31.83016,31.99887,32.46752,32.91741,33.89219,35.01693,35.61679,35.31686,35.31686,35.31686,35.31686,35.01693,34.52954,33.81720,33.44229,32.76745,33.34856,33.06738,33.16111,32.86117,31.92389,31.41776,30.74291,29.91810,28.96207,28.47469,27.79984,27.16249,26.39392,26.09398,25.40039
2015,Zetland 132_11kV,05MAY2014,MW,24.63182,23.78827,23.39461,23.16966,23.07593,22.41983,22.08241,21.87621,21.46380,21.42631,21.42631,21.42631,21.42631,21.37007,20.95767,21.07014,21.67000,21.76373,21.95119,22.04492,22.55105,23.69454,24.66931,25.81280,28.43719,29.82437,30.81790,32.37379,35.37310,37.58509,38.97227,40.13450,41.99032,42.38398,42.32774,42.68391,43.73367,43.73367,43.93987,43.60245,43.77116,44.37102,43.88363,44.07109,44.31478,44.70844,44.76468,44.44600,44.40851,44.53973,44.52099,44.83966,44.44600,44.08984,43.69618,43.17130,43.47123,43.13381,43.09632,42.77764,42.14029,41.82161,41.52168,40.99680,40.84683,41.22175,40.99680,40.75311,40.56565,40.88433,41.42795,41.48419,40.86558,40.04077,39.90955,39.66586,38.85979,38.44739,37.84753,37.77254,37.52885,37.34139,36.53533,36.19791,35.86048,35.07316,34.49205,33.61100,32.41128,31.36152,30.74291,29.65566,28.94333,28.13726,27.48116,26.82507
2015,Zetland 132_11kV,06MAY2014,MW,25.68158,24.96924,24.48186,23.69454,23.33837,23.03844,23.31962,23.24464,23.16966,22.28861,22.02617,22.04492,22.15739,21.98868,21.95119,21.85746,22.04492,22.04492,22.17614,22.66353,23.52583,24.20067,24.85677,25.73782,27.85608,29.84312,31.17406,32.69246,35.57930,37.30390,38.80355,39.81582,41.50293,41.87785,42.14029,42.34649,43.07757,43.11506,42.87137,42.68391,43.28377,43.58370,43.56496,44.18356,44.10858,44.55848,44.61472,45.28956,45.25207,45.17709,45.49576,45.04587,44.48350,44.05234,43.48997,43.00259,42.72140,42.60893,42.59018,42.29025,42.14029,41.95283,41.50293,41.10927,40.97805,40.86558,40.65938,40.64063,40.86558,41.24049,41.29673,41.14676,40.60314,39.90955,39.49715,39.32843,38.61610,37.79129,37.39763,36.92899,36.36662,36.46035,35.82299,35.67303,34.67951,34.15463,33.57351,32.78619,31.49274,30.55546,29.86187,28.94333,27.98730,27.27496,26.71259,26.13148
2015,Zetland 132_11kV,07MAY2014,MW,25.60660,25.02548,24.36938,23.41335,23.33837,23.26339,22.92597,22.36359,22.04492,22.13865,21.67000,21.63251,21.63251,21.63251,21.63251,21.61377,21.44506,21.57628,22.04492,22.47607,23.15091,23.82576,24.27565,25.36290,27.55615,29.11204,30.27427,31.90515,35.74801,37.22892,38.61610,39.62836,40.97805,41.27798,41.40920,42.08405,43.04008,42.92760,43.02133,43.39625,43.19004,43.73367,43.50872,43.71492,43.62119,44.23980,44.35228,44.35228,44.42726,44.38977,44.95214,44.59597,43.88363,43.82740,44.16482,43.11506,42.51520,42.68391,42.64642,42.32774,42.23401,42.08405,42.06530,41.50293,40.88433,40.39694,40.32195,40.50941,40.95931,41.44670,41.44670,41.42795,40.60314,40.20948,39.89080,39.85331,38.74732,37.84753,37.37888,37.06021,36.44160,36.38536,35.91672,35.61679,35.41059,34.67951,33.89219,33.42355,32.26131,31.08034,30.03058,29.52444,28.39970,27.93106,27.57489,26.67510
2015,Zetland 132_11kV,08MAY2014,MW,25.75656,24.98799,24.76304,24.20067,23.90074,23.22590,23.00095,22.36359,22.21363,22.43858,22.41983,22.08241,21.87621,21.46380,21.42631,21.55753,21.91370,22.19488,22.38234,22.38234,22.92597,23.73203,24.83802,25.75656,27.87482,29.59943,31.04284,32.57999,36.12292,38.01624,39.38467,40.39694,41.91534,42.85262,42.98384,42.59018,43.37750,43.39625,43.62119,43.71492,43.75241,43.97736,43.73367,43.37750,43.82740,43.78991,44.01485,44.40851,44.50224,44.63346,44.25855,43.92113,43.65869,43.90238,43.54621,42.79638,42.68391,42.42147,42.77764,42.15903,42.10279,42.29025,42.12154,41.63415,41.46544,41.31548,40.80934,40.88433,41.03429,41.74663,42.40273,42.47771,41.37171,40.95931,40.65938,40.41568,40.04077,39.38467,38.80355,38.48488,38.63484,38.84105,37.75380,37.39763,36.19791,35.26062,34.45456,33.70473,32.43002,31.86765,30.81790,29.82437,28.77462,27.61238,27.40618,26.90005
2015,Zetland 132_11kV,09MAY2014,MW,26.39392,25.51287,24.95050,24.44437,23.80701,23.78827,23.45084,23.35712,22.94471,22.68227,22.06366,22.04492,22.04492,22.04492,22.04492,22.10116,21.96994,21.96994,22.70102,22.75725,23.52583,23.84450,24.61308,25.56911,27.46242,29.24326,30.61169,32.33630,35.65428,37.41637,38.63484,39.36593,41.48419,41.61541,41.61541,41.85910,42.74015,42.98384,43.54621,43.62119,43.88363,44.38977,44.65221,43.92113,43.56496,44.08984,44.27729,44.12733,44.12733,44.12733,44.22106,44.05234,43.86489,43.88363,43.54621,43.11506,42.66516,42.10279,41.76537,41.31548,41.09053,41.46544,41.10927,40.99680,40.60314,40.80934,40.82809,40.75311,40.58439,41.27798,41.07178,40.47192,39.27220,38.46613,37.90376,37.69756,36.85400,36.40411,36.02919,35.29811,34.04215,34.47330,34.13588,33.98592,33.32982,32.80494,32.41128,31.88640,30.81790,30.40549,29.56194,28.86835,28.13726,27.48116,27.29371,26.99378
2015,Zetland 132_11kV,10MAY2014,MW,26.60012,25.96276,25.28792,24.83802,24.38813,23.82576,23.30088,22.60729,22.40109,22.19488,22.19488,22.19488,21.91370,21.80122,21.80122,21.68875,21.40757,21.40757,21.44506,22.21363,22.25112,22.47607,22.49481,22.62603,23.26339,23.69454,24.03196,24.65057,26.33768,27.12500,28.23099,29.33699,31.17406,31.62396,32.05511,33.16111,34.11714,34.69825,35.12940,35.59804,35.95421,35.89797,36.23540,36.36662,36.61031,36.62906,36.47909,36.57282,36.46035,36.31038,36.29163,36.06669,36.04794,35.80425,35.05442,34.60452,34.00466,33.46104,33.29233,32.93616,32.93616,33.01114,32.91741,32.59874,32.97365,33.21734,33.61100,33.96717,34.34208,35.57930,35.87923,35.50432,34.73574,34.26710,34.00466,33.40480,33.14236,32.46752,32.22382,31.60521,31.39901,31.53023,31.41776,31.23030,31.13657,30.49922,30.08681,29.26200,28.66214,28.26848,28.08103,27.94981,27.59364,27.03127,26.90005,26.24395
